"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"307222016","Fourth degree perineal tear during delivery - delivered","L343100","199934009","CPRD_AURUM"
"105971000006116","Third degree perineal tear during delivery","L342.00","10217006","CPRD_AURUM"
"106001000006119","Third degree perineal tear during delivery with p/n problem","L342200","199931001","CPRD_AURUM"
"696811000006111","Mucosal tear of anus or rectum","L343.11","399031001","CPRD_AURUM"
"785231000006116","Immed repair obstetric laceration perineum & anal sphincter","7F23100","177219009","CPRD_AURUM"
"2662671000006117","Laceration of tissues between vaginal AND/OR perineal muscular layers and rectal mucosa","","10217006","CPRD_AURUM"
"6616051000006119","CPT - Complete perineal tear","","399031001","CPRD_AURUM"
"6616041000006116","Fourth degree perineal laceration","","399031001","CPRD_AURUM"
"2662661000006112","Obstetrical laceration, third degree","","10217006","CPRD_AURUM"
"2621564018","Fourth degree perineal tear during delivery","L343.00","399031001","CPRD_AURUM"
"307217016","Third degree perineal tear during delivery, unspecified","L342000","10217006","CPRD_AURUM"
"307224015","Fourth degree perineal tear during delivery NOS","L343z00","399031001","CPRD_AURUM"
"790461000006119","Fourth degree perineal tear during delivery with p/n problem","L343200","199935005","CPRD_AURUM"
"6616071000006112","Obstetric laceration, fourth degree","","399031001","CPRD_AURUM"
"6616061000006117","Fourth degree perineal tear","","399031001","CPRD_AURUM"
"307220012","Third degree perineal tear during delivery NOS","L342z00","10217006","CPRD_AURUM"
"307221011","Fourth degree perineal tear during delivery, unspecified","L343000","399031001","CPRD_AURUM"
"307218014","Third degree perineal tear during delivery - delivered","L342100","199930000","CPRD_AURUM"
"7375141000006113","Type 3a third degree perineal laceration","","449807005","CPRD_AURUM"
"7375181000006119","Type 3c third degree perineal laceration","","449809008","CPRD_AURUM"
"5102381000006114","Repair of complete perineal tear","","237027001","CPRD_AURUM"
"6208371000006114","Repair of obstetric laceration of anal sphincter","","359944002","CPRD_AURUM"
