"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"11650","Third degree perineal tear during delivery","L342.00","","CPRD_GOLD"
"14970","Immed repair obstetric laceration perineum & anal sphincter","7F23100","","CPRD_GOLD"
"19604","Third degree perineal tear during delivery, unspecified","L342000","","CPRD_GOLD"
"39168","Third degree perineal tear during delivery - delivered","L342100","","CPRD_GOLD"
"39576","Fourth degree perineal tear during delivery","L343.00","","CPRD_GOLD"
"40876","Third degree perineal tear during delivery NOS","L342z00","","CPRD_GOLD"
"57652","Fourth degree perineal tear during delivery NOS","L343z00","","CPRD_GOLD"
"61597","Fourth degree perineal tear during delivery with p/n problem","L343200","","CPRD_GOLD"
"62862","Third degree perineal tear during delivery with p/n problem","L342200","","CPRD_GOLD"
"72021","Fourth degree perineal tear during delivery - delivered","L343100","","CPRD_GOLD"
"72022","Fourth degree perineal tear during delivery, unspecified","L343000","","CPRD_GOLD"
