"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"I21","Acute myocardial infarction","I21","","ICD10"
"I210","Acute transmural myocardial infarction of anterior wall","I21.0","","ICD10"
"I211","Acute transmural myocardial infarction of inferior wall","I21.1","","ICD10"
"I212","Acute transmural myocardial infarction of other sites","I21.2","","ICD10"
"I213","Acute transmural myocardial infarction of unspecified site","I21.3","","ICD10"
"I214","Acute subendocardial myocardial infarction","I21.4","","ICD10"
"I219","Acute myocardial infarction, unspecified","I21.9","","ICD10"
"I22","Subsequent myocardial infarction","I22","","ICD10"
"I220","Subsequent myocardial infarction of anterior wall","I22.0","","ICD10"
"I221","Subsequent myocardial infarction of inferior wall","I22.1","","ICD10"
"I228","Subsequent myocardial infarction of other sites","I22.8","","ICD10"
"I229","Subsequent myocardial infarction of unspecified site","I22.9","","ICD10"
