"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"294773015","Cyclic schizophrenia","E107.11","191567000","CPRD_AURUM"
"294803011","Single manic episode, mild","E110100","191583000","CPRD_AURUM"
"294804017","Single manic episode, moderate","E110200","191584006","CPRD_AURUM"
"294806015","Single manic episode, severe, with psychosis","E110400","191586008","CPRD_AURUM"
"294828015","Single major depressive episode, severe, with psychosis","E112400","191604000","CPRD_AURUM"
"294847017","Manic-depressive - now manic","E114.11","191618007","CPRD_AURUM"
"294849019","Bipolar affective disorder, currently manic, mild","E114100","191620005","CPRD_AURUM"
"294860011","Manic-depressive - now depressed","E115.11","191627008","CPRD_AURUM"
"294862015","Bipolar affective disorder, currently depressed, mild","E115100","191629006","CPRD_AURUM"
"294869012","Mixed bipolar affective disorder","E116.00","191636007","CPRD_AURUM"
"294893019","Atypical manic disorder","E11y100","191658009","CPRD_AURUM"
"294917018","Reactive depressive psychosis","E130.00","191676002","CPRD_AURUM"
"294918011","Psychotic reactive depression","E130.11","191676002","CPRD_AURUM"
"401765010","Manic disorder, single episode","E110.00","268619003","CPRD_AURUM"
"1975941000006115","Bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome","","1975941000006104","CPRD_AURUM"
"1976921000006116","Post-schizophrenic depression, other","","1976921000006100","CPRD_AURUM"
"294802018","Single manic episode, unspecified","E110000","268619003","CPRD_AURUM"
"294848010","Bipolar affective disorder, currently manic, unspecified","E114000","191618007","CPRD_AURUM"
"294858014","Bipolar affective disorder, currently manic, NOS","E114z00","191618007","CPRD_AURUM"
"294861010","Bipolar affective disorder, currently depressed, unspecified","E115000","191627008","CPRD_AURUM"
"294868016","Bipolar affective disorder, currently depressed, NOS","E115z00","191627008","CPRD_AURUM"
"294880012","Unspecified bipolar affective disorder","E117.00","13746004","CPRD_AURUM"
"294881011","Unspecified bipolar affective disorder, unspecified","E117000","13746004","CPRD_AURUM"
"294882016","Unspecified bipolar affective disorder, mild","E117100","13313007","CPRD_AURUM"
"294888017","Unspecified bipolar affective disorder, NOS","E117z00","13746004","CPRD_AURUM"
"294891017","Other and unspecified manic-depressive psychoses","E11y.00","13746004","CPRD_AURUM"
"294897018","Other and unspecified affective psychoses","E11z.00","441704009","CPRD_AURUM"
"294898011","Unspecified affective psychoses NOS","E11z000","441704009","CPRD_AURUM"
