"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1531","[X]Manic-depressive illness","Eu31.11","","CPRD_GOLD"
"2117","Schizo-affective schizophrenia","E107.00","","CPRD_GOLD"
"2560","Depressive psychoses","E11..12","","CPRD_GOLD"
"2741","[X]Hypomania","Eu30000","","CPRD_GOLD"
"3702","Bipolar affective disorder, currently manic","E114.00","","CPRD_GOLD"
"4677","Bipolar affective disorder, currently depressed","E115.00","","CPRD_GOLD"
"4678","[X]Mania NOS","Eu30z11","","CPRD_GOLD"
"4732","[X]Bipolar affect dis cur epi severe depres with psyc symp","Eu31500","","CPRD_GOLD"
"6710","[X]Manic-depressive psychosis","Eu31.12","","CPRD_GOLD"
"6874","[X]Bipolar affective disorder","Eu31.00","","CPRD_GOLD"
"8478","Reactive depressive psychosis","E130.00","","CPRD_GOLD"
"8567","Bipolar psychoses","E11..11","","CPRD_GOLD"
"9422","[X]Schizoaffective disorders","Eu25.00","","CPRD_GOLD"
"9521","[X]Bipolar disorder, single manic episode","Eu30.11","","CPRD_GOLD"
"10575","Schizo-affective schizophrenia NOS","E107z00","","CPRD_GOLD"
"11055","[X]Schizoaffective disorder, depressive type","Eu25100","","CPRD_GOLD"
"11596","Unspecified manic-depressive psychoses","E11y000","","CPRD_GOLD"
"12099","[X]Severe depressive episode with psychotic symptoms","Eu32300","","CPRD_GOLD"
"12173","[X]Manic episode","Eu30.00","","CPRD_GOLD"
"12831","Manic-depressive - now depressed","E115.11","","CPRD_GOLD"
"13024","[X]Mania without psychotic symptoms","Eu30100","","CPRD_GOLD"
"14656","Affective psychoses","E11..00","","CPRD_GOLD"
"14728","Single manic episode, mild","E110100","","CPRD_GOLD"
"14784","Unspecified bipolar affective disorder","E117.00","","CPRD_GOLD"
"15923","Bipolar affective disorder, currently depressed, unspecified","E115000","","CPRD_GOLD"
"16347","Bipolar affect disord, currently manic, severe, no psychosis","E114300","","CPRD_GOLD"
"16562","[X]Bipolar affect disorder cur epi mild or moderate depressn","Eu31300","","CPRD_GOLD"
"16808","[X]Bipolar affective disorder, current episode hypomanic","Eu31000","","CPRD_GOLD"
"16905","[X]Schizoaffective psychosis, manic type","Eu25011","","CPRD_GOLD"
"17385","Manic-depressive - now manic","E114.11","","CPRD_GOLD"
"17770","Psychotic reactive depression","E130.11","","CPRD_GOLD"
"18510","[X]Single episode of psychogenic depression","Eu32.12","","CPRD_GOLD"
"18909","Hypomanic psychoses","E110.11","","CPRD_GOLD"
"20110","Single manic episode, unspecified","E110000","","CPRD_GOLD"
"20785","[X]Post-schizophrenic depression","Eu20400","","CPRD_GOLD"
"21065","[X]Mania with psychotic symptoms","Eu30200","","CPRD_GOLD"
"22713","Manic mood","1S42.00","","CPRD_GOLD"
"23713","[X]Bipol aff disord, curr epis sev depress, no psychot symp","Eu31400","","CPRD_GOLD"
"23731","[X]Endogenous depression with psychotic symptoms","Eu33311","","CPRD_GOLD"
"24112","[X]Single episode of psychotic depression","Eu32313","","CPRD_GOLD"
"24117","[X]Single episode of major depression and psychotic symptoms","Eu32311","","CPRD_GOLD"
"24640","Single manic episode, moderate","E110200","","CPRD_GOLD"
"24689","Mixed bipolar affective disorder, mild","E116100","","CPRD_GOLD"
"26143","[X]Cycloid psychosis with symptoms of schizophrenia","Eu23112","","CPRD_GOLD"
"26161","Manic psychoses","E11..13","","CPRD_GOLD"
"26299","[X]Bipolar affect disorder cur epi manic wout psychotic symp","Eu31100","","CPRD_GOLD"
"27890","Bipolar affective disorder, currently depressed, moderate","E115200","","CPRD_GOLD"
"27986","Unspecified bipolar affective disorder, NOS","E117z00","","CPRD_GOLD"
"28277","[X]Bipolar affect disorder cur epi manic with psychotic symp","Eu31200","","CPRD_GOLD"
"28677","[X]Manic-depress psychosis,depressed type+psychotic symptoms","Eu33312","","CPRD_GOLD"
"28863","[X]Single episode of reactive depressive psychosis","Eu32314","","CPRD_GOLD"
"29451","[X]Manic-depress psychosis,depressd,no psychotic symptoms","Eu33213","","CPRD_GOLD"
"30282","Profile of mood states, bipolar","ZRby100","","CPRD_GOLD"
"31316","Mixed bipolar affective disorder","E116.00","","CPRD_GOLD"
"31535","Mixed bipolar affective disorder, unspecified","E116000","","CPRD_GOLD"
"31633","[X]Affective psychosis NOS","Eu3z.11","","CPRD_GOLD"
"32088","[X]Other manic episodes","Eu30y00","","CPRD_GOLD"
"32159","Single major depressive episode, severe, with psychosis","E112400","","CPRD_GOLD"
"33410","[X]Schizoaffective psychosis NOS","Eu25z11","","CPRD_GOLD"
"33425","Other affective psychosis NOS","E11zz00","","CPRD_GOLD"
"33426","Other and unspecified manic-depressive psychoses NOS","E11yz00","","CPRD_GOLD"
"33693","[X]Schizoaffective disorder, mixed type","Eu25200","","CPRD_GOLD"
"33751","[X]Bipolar affective disorder, unspecified","Eu31z00","","CPRD_GOLD"
"33847","[X]Schizoaffective disorder, manic type","Eu25000","","CPRD_GOLD"
"35274","[X]Schizoaffective psychosis, depressive type","Eu25111","","CPRD_GOLD"
"35607","Bipolar affect disord, now depressed, severe, no psychosis","E115300","","CPRD_GOLD"
"35734","Bipolar affective disorder, currently depressed, mild","E115100","","CPRD_GOLD"
"35738","Bipolar affective disorder, currently manic, unspecified","E114000","","CPRD_GOLD"
"36126","Bipolar affective disorder, currently manic, mild","E114100","","CPRD_GOLD"
"36611","Manic disorder, single episode NOS","E110z00","","CPRD_GOLD"
"37070","Manic disorder, single episode","E110.00","","CPRD_GOLD"
"37102","[X]Mania with mood-congruent psychotic symptoms","Eu30211","","CPRD_GOLD"
"37296","Bipolar affective disorder, currently depressed, NOS","E115z00","","CPRD_GOLD"
"37580","[X]Mixed schizophrenic and affective psychosis","Eu25212","","CPRD_GOLD"
"37681","[X]Schizoaffective disorder, unspecified","Eu25z00","","CPRD_GOLD"
"41022","[X]Schizophreniform psychosis, depressive type","Eu25112","","CPRD_GOLD"
"41992","Other and unspecified affective psychoses","E11z.00","","CPRD_GOLD"
"43093","Single manic episode, severe without mention of psychosis","E110300","","CPRD_GOLD"
"44513","[X]Manic episode, unspecified","Eu30z00","","CPRD_GOLD"
"44693","[X]Bipolar affective disorder, current episode mixed","Eu31600","","CPRD_GOLD"
"46434","Bipolar affective disorder, currently manic, moderate","E114200","","CPRD_GOLD"
"48632","[X]Mania with mood-incongruent psychotic symptoms","Eu30212","","CPRD_GOLD"
"49763","Unspecified bipolar affective disorder, unspecified","E117000","","CPRD_GOLD"
"50218","Single manic episode, severe, with psychosis","E110400","","CPRD_GOLD"
"51903","[X]Schizophreniform psychosis, manic type","Eu25012","","CPRD_GOLD"
"52678","[X]Single episode of psychogenic depressive psychosis","Eu32312","","CPRD_GOLD"
"53840","[X]Other bipolar affective disorders","Eu31y00","","CPRD_GOLD"
"54195","Mixed bipolar affective disorder, severe, with psychosis","E116400","","CPRD_GOLD"
"54607","Unspecified affective psychoses NOS","E11z000","","CPRD_GOLD"
"55829","Bipolar affect disord, currently manic,severe with psychosis","E114400","","CPRD_GOLD"
