"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"15155012","Projectile vomiting","1993.00","8579004","CPRD_AURUM"
"86386010","Morning sickness","L130.11","51885006","CPRD_AURUM"
"140077016","Retching","1997.00","84480002","CPRD_AURUM"
"260777019","Vomit occult blood","4A5..00","167849002","CPRD_AURUM"
"260779016","Vomit occult blood negative","4A52.00","167851003","CPRD_AURUM"
"301579018","Pneumonitis due to inhalation of food or vomitus","H470.00","196032009","CPRD_AURUM"
"301583018","Pneumonitis due to inhalation of vomitus","H470300","196035006","CPRD_AURUM"
"301584012","Vomit inhalation pneumonitis","H470311","196035006","CPRD_AURUM"
"301585013","Aspiration pneumonia due to vomit","H470312","196035006","CPRD_AURUM"
"302636011","Persistent vomiting","J162.00","196746003","CPRD_AURUM"
"302637019","Emesis - persistent","J162.11","196746003","CPRD_AURUM"
"407086011","C/O - vomiting","199..11","272044004","CPRD_AURUM"
"492804019","Vomiting blood - coffee ground","1995.00","40835002","CPRD_AURUM"
"960221000006119","Nausea/vomiting","","960221000006103","CPRD_AURUM"
"1851581000006112","Frequency of vomiting","","1851581000006108","CPRD_AURUM"
"2647992016","Emesis","199..12","422400008","CPRD_AURUM"
"15459010","Vomiting of blood","J680.11","8765009","CPRD_AURUM"
"252622013","Vomiting NOS","199Z.00","300359004","CPRD_AURUM"
"260727017","Vomit - O/E, general","4A1..11","167820005","CPRD_AURUM"
"260780018","Vomit occult blood NOS","4A5Z.00","167849002","CPRD_AURUM"
"301586014","Pneumonitis due to inhalation of food or vomitus NOS","H470z00","196032009","CPRD_AURUM"
"302638012","Cyclical vomiting NOS","J162000","18773000","CPRD_AURUM"
"302640019","Persistent vomiting NOS","J162z00","196746003","CPRD_AURUM"
"305862012","Other pregnancy vomiting - delivered","L13y100","90325002","CPRD_AURUM"
"305864013","Other pregnancy vomiting NOS","L13yz00","90325002","CPRD_AURUM"
"305870019","Unspecified pregnancy vomiting NOS","L13zz00","90325002","CPRD_AURUM"
"308100016","[X]Other vomiting complicating pregnancy","Lyu2100","237284001","CPRD_AURUM"
"317456018","[D]Nausea and vomiting","R070.00","16932000","CPRD_AURUM"
"317458017","[D]Vomiting","R070100","422400008","CPRD_AURUM"
"317459013","[D]Emesis","R070200","422400008","CPRD_AURUM"
"317462011","[D]Nausea and vomiting NOS","R070z00","16932000","CPRD_AURUM"
"2643931013","Vomiting","1992.00","300359004","CPRD_AURUM"
"63631000006119","Vomiting","199..00","300359004","CPRD_AURUM"
"64151010","Late vomiting of pregnancy","L132.00","769087009","CPRD_AURUM"
"305858018","Late pregnancy vomiting - not delivered","L132200","769087009","CPRD_AURUM"
"441410014","Vomit: coffee ground","4A24.00","300364000","CPRD_AURUM"
"305859014","Late pregnancy vomiting NOS","L132z00","769087009","CPRD_AURUM"
"4350031000006119","Vomit sample","","122572000","CPRD_AURUM"
"12223051000006118","Bilious vomit","","271352005","CPRD_AURUM"
"2723321000006118","Persistent AND/OR vicious vomiting arising during pregnancy","","14094001","CPRD_AURUM"
"4781961000006110","Aspiration pneumonia caused by vomit","","196035006","CPRD_AURUM"
"3157631000006118","Coffee ground vomiting","","40835002","CPRD_AURUM"
"12482951000006117","Bilious vomit O/E","","275744000","CPRD_AURUM"
"2768801000006119","N+V - Nausea and vomiting","","16932000","CPRD_AURUM"
"3968321000006115","Vomiting as reason for care in pregnancy","","90325002","CPRD_AURUM"
"5533061000006110","Complaining of vomiting","","272044004","CPRD_AURUM"
"3343431000006119","Erosion of teeth due to persistent vomiting","","52031007","CPRD_AURUM"
"5878641000006113","Vomit contains old blood","","300364000","CPRD_AURUM"
"2798021000006116","Periodic vomiting","","18773000","CPRD_AURUM"
"4781971000006115","Pneumonitis caused by inhalation of vomitus","","196035006","CPRD_AURUM"
"3157641000006111","Coffee ground emesis","","40835002","CPRD_AURUM"
"5878591000006115","Vomit contains blood","","300361008","CPRD_AURUM"
"5272531000006110","Vomiting symptom","","249497008","CPRD_AURUM"
"2768791000006115","N&V - Nausea and vomiting","","16932000","CPRD_AURUM"
"2986661000006112","Aspiration of vomitus","","30227006","CPRD_AURUM"
"12483001000006112","Blood in vomit O/E","","275786006","CPRD_AURUM"
"2639821000006115","Hematemesis","","8765009","CPRD_AURUM"
"2723301000006111","Excessive vomiting in pregnancy","","14094001","CPRD_AURUM"
"2798011000006112","Cyclical vomiting syndrome","","18773000","CPRD_AURUM"
"12732811000006112","Unspecified pregnancy vomiting","","579531000000104","CPRD_AURUM"
"1717331000006119","Vomitus specimen","","122572000","CPRD_AURUM"
"496187013","Teeth erosion due to vomiting","J013100","52031007","CPRD_AURUM"
"1221052012","Excessive pregnancy vomiting","L13..00","14094001","CPRD_AURUM"
"419024010","Blood in vomit - symptom","1994.11","281102003","CPRD_AURUM"
"305860016","Other pregnancy vomiting","L13y.00","90325002","CPRD_AURUM"
"305863019","Other pregnancy vomiting - not delivered","L13y200","90325002","CPRD_AURUM"
"305865014","Unspecified pregnancy vomiting","L13z.00","90325002","CPRD_AURUM"
"305866010","Unspecified pregnancy vomiting unspecified","L13z000","90325002","CPRD_AURUM"
"305868011","Unspecified pregnancy vomiting - not delivered","L13z200","90325002","CPRD_AURUM"
"100841000006111","Throwing up","1992.11","300359004","CPRD_AURUM"
"1222515017","[D]Retching","R070z12","84480002","CPRD_AURUM"
"372248013","Vomiting symptoms","199..14","249497008","CPRD_AURUM"
"5878581000006118","Observation of vomiting","","300359004","CPRD_AURUM"
"3661831000006119","Bilious emesis","","71419002","CPRD_AURUM"
"3661821000006117","Vomiting bile","","71419002","CPRD_AURUM"
"305867018","Unspecified pregnancy vomiting - delivered","L13z100","90325002","CPRD_AURUM"
"2238801000000114","Time since last episode of vomiting","199A.00","866231000000104","CPRD_AURUM"
"1959511000006111","24 hour vomitus output","","1959511000006107","CPRD_AURUM"
"1959531000006117","Time of last vomitus output","","1959531000006101","CPRD_AURUM"
"1851591000006110","Time since last episode of vomiting","","1851591000006106","CPRD_AURUM"
"1777091000006111","Reason for referral: Vomiting/Nausea","","1777091000006107","CPRD_AURUM"
