"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"176","Vomiting","1992.00","","CPRD_GOLD"
"1188","Haematemesis","J680.00","","CPRD_GOLD"
"2712","Vomiting of blood","J680.11","","CPRD_GOLD"
"3380","Projectile vomiting","1993.00","","CPRD_GOLD"
"3416","[D]Nausea and vomiting","R070.00","","CPRD_GOLD"
"3847","Pneumonitis due to inhalation of food or vomitus","H470.00","","CPRD_GOLD"
"3992","Vomiting symptoms","199..14","","CPRD_GOLD"
"5164","[D]Vomiting","R070100","","CPRD_GOLD"
"5832","Morning sickness","L130.11","","CPRD_GOLD"
"5881","Vomiting","199..00","","CPRD_GOLD"
"6101","[D]Projectile vomiting","R070400","","CPRD_GOLD"
"6752","Persistent vomiting","J162.00","","CPRD_GOLD"
"7566","Retching","1997.00","","CPRD_GOLD"
"8344","Coffee ground vomit","4A24.11","","CPRD_GOLD"
"10185","Excessive pregnancy vomiting","L13..00","","CPRD_GOLD"
"11760","Unspecified pregnancy vomiting","L13z.00","","CPRD_GOLD"
"12383","Cyclical vomiting NOS","J162000","","CPRD_GOLD"
"12772","C/O - vomiting","199..11","","CPRD_GOLD"
"15018","[D]Nausea and vomiting NOS","R070z00","","CPRD_GOLD"
"15825","[D]Emesis","R070200","","CPRD_GOLD"
"16604","Vomit - O/E, general","4A1..11","","CPRD_GOLD"
"16617","Blood in vomit - symptom","1994.11","","CPRD_GOLD"
"17600","Bilious vomit O/E","4A25.11","","CPRD_GOLD"
"20434","[D]Retching","R070z12","","CPRD_GOLD"
"22161","Emesis","199..12","","CPRD_GOLD"
"24284","Vomiting - bile stained","1996.00","","CPRD_GOLD"
"25054","Aspiration pneumonia due to vomit","H470312","","CPRD_GOLD"
"27833","Other pregnancy vomiting","L13y.00","","CPRD_GOLD"
"33809","Throwing up","1992.11","","CPRD_GOLD"
"33837","Pneumonitis due to inhalation of food or vomitus NOS","H470z00","","CPRD_GOLD"
"35707","Persistent vomiting NOS","J162z00","","CPRD_GOLD"
"37602","Vomiting NOS","199Z.00","","CPRD_GOLD"
"40165","Occult blood in vomit","4A5..11","","CPRD_GOLD"
"40410","Vomit: bilious","4A25.00","","CPRD_GOLD"
"41504","Other pregnancy vomiting unspecified","L13y000","","CPRD_GOLD"
"41625","Other pregnancy vomiting NOS","L13yz00","","CPRD_GOLD"
"43288","Vomit: coffee ground","4A24.00","","CPRD_GOLD"
"43534","Blood in vomit O/E","4A23.11","","CPRD_GOLD"
"44489","Vomiting blood - fresh","1994.00","","CPRD_GOLD"
"44691","Vomiting blood - coffee ground","1995.00","","CPRD_GOLD"
"45948","Pneumonitis due to inhalation of vomitus","H470300","","CPRD_GOLD"
"52239","Emesis - persistent","J162.11","","CPRD_GOLD"
"53643","Vomit: frank blood present","4A23.00","","CPRD_GOLD"
"53661","Unspecified pregnancy vomiting - not delivered","L13z200","","CPRD_GOLD"
"56385","Vomit inhalation pneumonitis","H470311","","CPRD_GOLD"
"56451","Unspecified pregnancy vomiting NOS","L13zz00","","CPRD_GOLD"
"60151","Vomit occult blood","4A5..00","","CPRD_GOLD"
"63244","Vomit occult blood positive","4A51.00","","CPRD_GOLD"
"65555","Late vomiting of pregnancy","L132.00","","CPRD_GOLD"
"69011","Late pregnancy vomiting unspecified","L132000","","CPRD_GOLD"
"70476","Late pregnancy vomiting - delivered","L132100","","CPRD_GOLD"
"71101","Vomit occult blood NOS","4A5Z.00","","CPRD_GOLD"
"71275","Teeth erosion due to vomiting","J013100","","CPRD_GOLD"
"72019","Late pregnancy vomiting - not delivered","L132200","","CPRD_GOLD"
"72883","[X]Other vomiting complicating pregnancy","Lyu2100","","CPRD_GOLD"
"73535","Unspecified pregnancy vomiting - delivered","L13z100","","CPRD_GOLD"
"73559","Unspecified pregnancy vomiting unspecified","L13z000","","CPRD_GOLD"
"99247","Other pregnancy vomiting - not delivered","L13y200","","CPRD_GOLD"
"101518","Late pregnancy vomiting NOS","L132z00","","CPRD_GOLD"
"101965","Vomit occult blood negative","4A52.00","","CPRD_GOLD"
"107255","Frequency of vomiting","1999.00","","CPRD_GOLD"
"110268","Time since last episode of vomiting","199A.00","","CPRD_GOLD"
"112700","Other pregnancy vomiting - delivered","L13y100","","CPRD_GOLD"
