"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"7767019","Streptococcal meningitis","F002.00","4510004","CPRD_AURUM"
"16921016","Herpetic meningoencephalitis","A543.00","9678009","CPRD_AURUM"
"20174015","Tuberculous leptomeningitis","A130200","11676005","CPRD_AURUM"
"20946014","Staphylococcal meningitis","F003.00","12166008","CPRD_AURUM"
"30532012","Meningococcal encephalitis","F033011","18071005","CPRD_AURUM"
"36355017","Chronic meningitis","F022.00","21664006","CPRD_AURUM"
"39094012","Herpes simplex meningitis","F011311","23291008","CPRD_AURUM"
"43031010","Eosinophilic meningitis","F021.00","25671008","CPRD_AURUM"
"47196018","Enterovirus meningitis","A42..99","28192008","CPRD_AURUM"
"52073015","Tuberculous meningoencephalitis","A130300","31112008","CPRD_AURUM"
"54648018","Congenital syphilitic encephalitis","A904100","32735002","CPRD_AURUM"
"73712019","Mumps meningitis","F011411","44201003","CPRD_AURUM"
"77210013","Coccidioidal meningitis","AB32.00","46303000","CPRD_AURUM"
"79221011","Western equine encephalitis","A621.00","47523006","CPRD_AURUM"
"85251019","Pneumococcal meningitis","F001.00","51169003","CPRD_AURUM"
"97107015","Tuberculous meningitis","A130.00","58437007","CPRD_AURUM"
"118083010","Ilheus virus encephalitis","A62y.11","71105005","CPRD_AURUM"
"128872018","Salmonella meningitis","A022100","77645007","CPRD_AURUM"
"151549019","Tuberculous encephalitis","F033311","91483004","CPRD_AURUM"
"179022010","Adenoviral meningitis","A4z1.00","111850006","CPRD_AURUM"
"286265010","Tuberculous encephalitis or myelitis","A136.00","186220003","CPRD_AURUM"
"286340011","Plague meningitis","A206.00","186284005","CPRD_AURUM"
"286668017","Epidemic encephalitis","A4zy200","186498004","CPRD_AURUM"
"286671013","von Economo's encephalitis","A4zy400","186499007","CPRD_AURUM"
"286771017","Measles complicated by meningitis","A553.00","186561002","CPRD_AURUM"
"287244013","Acute secondary syphilitic meningitis","A918000","186863009","CPRD_AURUM"
"287417018","Leptospiral meningitis","AA0y000","186956008","CPRD_AURUM"
"296775012","Haemophilus meningitis","F000.00","192643004","CPRD_AURUM"
"296783018","Meningitis due to secondary syphilis","F007500","192647003","CPRD_AURUM"
"296787017","Meningitis due to pertussis","F007800","192650000","CPRD_AURUM"
"296791010","Meningitis due to bacillus pyocyaneus","F00y100","192654009","CPRD_AURUM"
"296792015","Escherichia coli meningitis","F00y212","192655005","CPRD_AURUM"
"296799012","Meningitis due to proteus morganii","F00y500","192659004","CPRD_AURUM"
"296800011","Meningitis due to pseudomonas","F00y600","192660009","CPRD_AURUM"
"296801010","Pseudomonas meningitis","F00y611","192660009","CPRD_AURUM"
"296810019","Meningitis due to ECHO virus","F011100","192667007","CPRD_AURUM"
"296838010","Subacute sclerosing panencephalitis","A412.00","192685000","CPRD_AURUM"
"296841018","Poliomyelitis encephalitis","F030211","192686004","CPRD_AURUM"
"296847019","Encephalitis due to rubella virus","F030600","192689006","CPRD_AURUM"
"297188013","Acute and subacute haemorrhagic leukoencephalitis [Hurst]","F212.00","192933004","CPRD_AURUM"
"344940019","Enteroviral encephalitis","A4y0.00","230162007","CPRD_AURUM"
"344957015","Zoster encephalitis","A531400","230176008","CPRD_AURUM"
"344958013","Herpes zoster encephalitis","F030911","230176008","CPRD_AURUM"
"366130012","Acute necrotising encephalitis","A4zy100","111897007","CPRD_AURUM"
"395347018","Viral meningitis NOS","A42z.00","58170007","CPRD_AURUM"
"399390013","Encephalitis, myelitis and encephalomyelitis","F03..00","267576008","CPRD_AURUM"
"453299013","Encephalitis due to influenza-virus identified","F030A00","309806000","CPRD_AURUM"
"458426011","Meningococcal meningitis with meningococcal septicaemia","A366.00","314130008","CPRD_AURUM"
"492493014","Langat encephalitis","A63y000","40230002","CPRD_AURUM"
"1219080012","Herpes zoster meningitis","F011211","10491005","CPRD_AURUM"
"1219700015","Meningitis due to coxsackie virus","F011000","111878007","CPRD_AURUM"
"1221068018","Meningitis due to cryptococcus","F010000","14232007","CPRD_AURUM"
"1221160010","Meningitis due to gonococcus","F007000","151004","CPRD_AURUM"
"1223061016","Meningitis due to herpes simplex virus","F011300","23291008","CPRD_AURUM"
"1225816018","Meningitis due to enterovirus","A42..00","28192008","CPRD_AURUM"
"1227542011","Meningitis due to listeriosis","F007100","31568009","CPRD_AURUM"
"1232369013","Meningitis due to congenital syphilis","F007400","6267005","CPRD_AURUM"
"1777697019","Lymphocytic choriomeningitis","A4z0.00","398136003","CPRD_AURUM"
"2475582019","Meningitis due to klebsiella pneumoniae","F00y400","192656006","CPRD_AURUM"
"570021000033111","Japanese Encephalitis","","570021000033107","CPRD_AURUM"
"600121000033113","Tick-Borne Encephalitis Virus","","600121000033109","CPRD_AURUM"
"882871000006111","Encephalitis/myelitis NOS","F03..98","267576008","CPRD_AURUM"
"882881000006114","Encephalitis/myelitis","F03..99","267576008","CPRD_AURUM"
"882891000006112","Postinfective encephalitis","F035.99","192727001","CPRD_AURUM"
"906821000006117","[RFC] Meningitis","","906821000006101","CPRD_AURUM"
"1009561000006110","Cause of learning disabilities: Meningitis/encephalitis","","1009561000006106","CPRD_AURUM"
"18244018","Herpes zoster with meningitis","A530.00","10491005","CPRD_AURUM"
"110366014","Australian encephalitis","A624.00","66454007","CPRD_AURUM"
"179037014","Postmeasles encephalitis","A550.00","111872008","CPRD_AURUM"
"286260017","Tuberculous meningitis NOS","A130z00","58437007","CPRD_AURUM"
"286807011","Mosquito-borne viral encephalitis NOS","A62z.00","88794008","CPRD_AURUM"
"286811017","Other tick-borne viral encephalitis NOS","A63yz00","415821008","CPRD_AURUM"
"286812012","Tick-borne viral encephalitis NOS","A63z.00","415821008","CPRD_AURUM"
"287614019","Histoplasma capsulatum with meningitis","AB40100","713624009","CPRD_AURUM"
"287625011","Histoplasma duboisii with meningitis","AB41100","713625005","CPRD_AURUM"
"287635017","Histoplasmosis with meningitis","AB4z100","713625005","CPRD_AURUM"
"288121015","[X]Mosquito-borne viral encephalitis, unspecified","Ayu8600","88794008","CPRD_AURUM"
"288124011","[X]Arthropod-borne viral encephalitis, unspecified","Ayu8900","285756005","CPRD_AURUM"
"288126013","[X]Unspecified viral encephalitis","Ayu8B00","34476008","CPRD_AURUM"
"288129018","[X]Viral meningitis, unspecified","Ayu8D00","58170007","CPRD_AURUM"
"296780015","Meningitis in other bacterial disease classified elsewhere","F007.00","95883001","CPRD_AURUM"
"296788010","Unspecified meningitis in bacterial disease EC","F007z00","95883001","CPRD_AURUM"
"296789019","Other specified bacterial meningitis","F00y.00","95883001","CPRD_AURUM"
"296807014","Other fungal meningitis","F010z00","24321005","CPRD_AURUM"
"296815012","Other viral meningitis","F011y00","58170007","CPRD_AURUM"
"296822016","Other non-bacterial meningitis","F01y.00","312216007","CPRD_AURUM"
"296824015","Other non-bacterial meningitis NOS","F01yz00","312216007","CPRD_AURUM"
"296825019","Meningitis due to organism NOS","F01z.00","312216007","CPRD_AURUM"
"296826018","Meningitis of unspecified cause","F02..00","7180009","CPRD_AURUM"
"296830015","Unspecified meningitis","F02z.00","7180009","CPRD_AURUM"
"296852012","Encephalitis in viral disease NOS","F030z00","34476008","CPRD_AURUM"
"296856010","Encephalitis due to other infection EC","F033.00","312215006","CPRD_AURUM"
"296867011","Unspecified encephalitis due to other infection EC","F033z00","312215006","CPRD_AURUM"
"299288010","[X]Other bacterial meningitis","Fyu0000","95883001","CPRD_AURUM"
"299289019","[X]Meningitis in viral diseases classified elsewhere","Fyu0100","58170007","CPRD_AURUM"
"299290011","[X]Meningitis in mycoses classified elsewhere","Fyu0200","24321005","CPRD_AURUM"
"299292015","[X]Meningitis due to other specified causes","Fyu0400","7180009","CPRD_AURUM"
"399391012","Other causes of encephalitis","F03y.00","45170000","CPRD_AURUM"
"399392017","Encephalitis NOS","F03z.00","45170000","CPRD_AURUM"
"1231947010","Louping ill encephalitis","A631.00","59350003","CPRD_AURUM"
"1788123017","California viral encephalitis","A625.00","416442006","CPRD_AURUM"
"2553850019","Powassan encephalitis","A63y100","416707008","CPRD_AURUM"
"2554106014","St. Louis encephalitis","A623.00","417607009","CPRD_AURUM"
"61171000006112","Viral encephalitis NOS","A4zz.11","34476008","CPRD_AURUM"
"82911000006110","Tuberculous encephalitis","A136000","91483004","CPRD_AURUM"
"102281000006117","Tick-borne viral encephalitis","A63..00","34476008","CPRD_AURUM"
"159341000006115","Russian spring-summer (taiga) encephalitis","A630.00","186591007","CPRD_AURUM"
"211301000006113","Postinfectious encephalitis","F035.00","192727001","CPRD_AURUM"
"223761000000113","Syphilis encephalitis","F033111","26135000","CPRD_AURUM"
"366671000006113","[X]Bacterial meningoencephalitis+meningomyelitis,NEC","Fyu0500","963741000000101","CPRD_AURUM"
"426441000006115","[X]Sequelae of viral encephalitis","AyuJ800","110269000","CPRD_AURUM"
"640901000006112","Encephalitis due to herpes simplex virus","F030400","427796004","CPRD_AURUM"
"640911000006110","Encephalitis due to herpes zoster","F030900","230176008","CPRD_AURUM"
"640921000006119","Encephalitis due to influenza-specific virus not identified","F030800","309789002","CPRD_AURUM"
"640961000006113","Encephalitis due to meningococcus","F033000","18071005","CPRD_AURUM"
"640971000006118","Encephalitis due to mumps virus","F030500","31646008","CPRD_AURUM"
"641061000006115","Encephalitis due to toxoplasmosis","F033400","192701001","CPRD_AURUM"
"641081000006113","Encephalitis due to tuberculosis","F033300","91483004","CPRD_AURUM"
"641091000006111","Encephalitis due to varicella","F035011","186509002","CPRD_AURUM"
"641111000006119","Encephalitis following measles","F035100","111872008","CPRD_AURUM"
"680701000006118","Negishi virus encephalitis","A64..11","6955002","CPRD_AURUM"
"682181000006113","Naegleria meningoencephalitis","AD62.11","230186009","CPRD_AURUM"
"693891000006113","Murray - Valley encephalitis","A624.11","66454007","CPRD_AURUM"
"694501000006118","Mumps encephalitis","A722.00","31646008","CPRD_AURUM"
"699471000006112","Lymphocytic choriomeningitis","F011511","398136003","CPRD_AURUM"
"706461000006118","Meningitis due to leptospira","F01y000","186956008","CPRD_AURUM"
"706501000006118","Meningitis due to neurosyphilis","F007200","301086002","CPRD_AURUM"
"706611000006119","Meningitis due to viral organisms EC","F011.00","58170007","CPRD_AURUM"
"706711000006110","Meningococcal encephalitis","A361.00","18071005","CPRD_AURUM"
"730631000006118","Malarial encephalitis","F032011","53622003","CPRD_AURUM"
"794781000006112","Friedlander meningitis","F00y311","192656006","CPRD_AURUM"
"822021000006114","Herpes simplex encephalitis","F030411","427796004","CPRD_AURUM"
"822051000006117","Herpes simplex meningitis","A54x100","23291008","CPRD_AURUM"
"286267019","Tuberculous encephalitis or myelitis NOS","A136z00","186220003","CPRD_AURUM"
"288120019","[X]Other mosquito-borne viral encephalitis","Ayu8500","470291000000104","CPRD_AURUM"
"288122010","[X]Other tick-borne viral encephalitis","Ayu8700","712986001","CPRD_AURUM"
"379711000006113","[X]Encephalitis,myelitis+encephalomyelitis/bactrl disease CE","Fyu0700","128119004","CPRD_AURUM"
"3358641000006116","JBE - Japanese B encephalitis","","52947006","CPRD_AURUM"
"4200741000006111","Post measles encephalitis","","111872008","CPRD_AURUM"
"3147251000006113","Encephalitis due to Langat virus","","40230002","CPRD_AURUM"
"3445061000006112","Meningitis, viral","","58170007","CPRD_AURUM"
"4200861000006117","Acute necrotizing encephalitis","","111897007","CPRD_AURUM"
"6909371000006115","Saint Louis encephalitis","","417607009","CPRD_AURUM"
"2910791000006110","Chronic eosinophilic meningitis","","25671008","CPRD_AURUM"
"6013831000006116","Infective meningitis","","312216007","CPRD_AURUM"
