"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"442","Meningococcal meningitis","A360.00","","CPRD_GOLD"
"2169","Viral meningitis NOS","A42z.00","","CPRD_GOLD"
"2386","Unspecified meningitis","F02z.00","","CPRD_GOLD"
"2422","Meningitis due to lymphocytic choriomeningitis virus","F011500","","CPRD_GOLD"
"2423","Encephalitis NOS","F03z.00","","CPRD_GOLD"
"2845","Haemophilus meningitis","F000.00","","CPRD_GOLD"
"3945","Meningitis of unspecified cause","F02..00","","CPRD_GOLD"
"4075","Mumps encephalitis","F030511","","CPRD_GOLD"
"4311","Herpetic meningoencephalitis","A543.00","","CPRD_GOLD"
"4396","Streptococcal meningitis","F002.00","","CPRD_GOLD"
"4605","Pneumococcal meningitis","F001.00","","CPRD_GOLD"
"5398","Viral encephalitis NOS","A4zz.11","","CPRD_GOLD"
"5544","Measles complicated by meningitis","A553.00","","CPRD_GOLD"
"6838","Bacterial meningitis","F00..00","","CPRD_GOLD"
"6902","Meningitis due to viral organisms EC","F011.00","","CPRD_GOLD"
"7038","H/O: meningitis","1471.00","","CPRD_GOLD"
"7567","H/O: encephalitis","1472.00","","CPRD_GOLD"
"8115","Meningococcal encephalitis","F033011","","CPRD_GOLD"
"11736","Meningitis - meningococcal","F005.00","","CPRD_GOLD"
"11929","Meningitis - viral NOS","F011z00","","CPRD_GOLD"
"11975","Tuberculous meningitis","A130.00","","CPRD_GOLD"
"11976","Meningitis - tuberculous","F004.00","","CPRD_GOLD"
"12551","Meningitis due to enterovirus","A42..00","","CPRD_GOLD"
"20054","Postmeasles encephalitis","A550.00","","CPRD_GOLD"
"20252","Meningococcal encephalitis","A361.00","","CPRD_GOLD"
"21936","Meningococcal meningitis with acute meningococcal septicaem","A365.00","","CPRD_GOLD"
"24577","Meningococcal meningitis with meningococcal septicaemia","A366.00","","CPRD_GOLD"
"25252","Encephalitis, myelitis and encephalomyelitis","F03..00","","CPRD_GOLD"
"27627","Meningitis due to other organisms","F01..00","","CPRD_GOLD"
"28131","Malarial encephalitis","F032011","","CPRD_GOLD"
"28287","Mumps meningitis","F011411","","CPRD_GOLD"
"29781","Late effects of viral encephalitis","AE20.00","","CPRD_GOLD"
"29874","Mumps meningitis","A721.00","","CPRD_GOLD"
"31972","Rubella encephalitis","F030611","","CPRD_GOLD"
"31983","Meningitis due to cryptococcus","F010000","","CPRD_GOLD"
"32004","Mumps encephalitis","A722.00","","CPRD_GOLD"
"32181","Encephalitis lethargica","A4zy300","","CPRD_GOLD"
"32972","St. Louis encephalitis","A623.00","","CPRD_GOLD"
"33601","Lymphocytic choriomeningitis","A4z0.00","","CPRD_GOLD"
"34410","Coxsackie viral meningitis","A420.00","","CPRD_GOLD"
"34412","Meningitis due to organism NOS","F01z.00","","CPRD_GOLD"
"35344","Unspecified encephalitis due to other infection EC","F033z00","","CPRD_GOLD"
"35375","Encephalitis due to other infection EC","F033.00","","CPRD_GOLD"
"35938","Poliomyelitis encephalitis","F030211","","CPRD_GOLD"
"36335","Postvaricella encephalitis","A520.00","","CPRD_GOLD"
"37292","[X]Viral meningitis, unspecified","Ayu8D00","","CPRD_GOLD"
"37427","Encephalitis following measles","F035100","","CPRD_GOLD"
"39263","Viral encephalitis from other arthropods","A64..00","","CPRD_GOLD"
"40088","Meningitis due to leptospira","F01y000","","CPRD_GOLD"
"40323","Bacterial meningoencephalitis+meningomyelitis,NEC","F03X.00","","CPRD_GOLD"
"40589","Meningitis due to coxsackie virus","F011000","","CPRD_GOLD"
"41245","Herpes simplex encephalitis","F030411","","CPRD_GOLD"
"41811","Other viral meningitis","F011y00","","CPRD_GOLD"
"42240","Encephalitis in viral disease NOS","F030z00","","CPRD_GOLD"
"42699","Meningitis due to escherichia coli","F00y211","","CPRD_GOLD"
"42730","Encephalitis following chickenpox","F035000","","CPRD_GOLD"
"42744","Japanese encephalitis","A620.00","","CPRD_GOLD"
"43411","Varicella meningitis","F011700","","CPRD_GOLD"
"43791","Tuberculous meningoencephalitis","A130300","","CPRD_GOLD"
"44618","Other non-bacterial meningitis NOS","F01yz00","","CPRD_GOLD"
"44889","Meningitis due to ECHO virus","F011100","","CPRD_GOLD"
"44944","Herpes zoster with meningitis","A530.00","","CPRD_GOLD"
"45009","Herpes simplex meningitis","A54x100","","CPRD_GOLD"
"45182","Herpes simplex meningitis","F011311","","CPRD_GOLD"
"45838","Post-encephalitis syndrome","E2A3.11","","CPRD_GOLD"
"45839","Lymphocytic choriomeningitis","F011511","","CPRD_GOLD"
"46388","Escherichia coli meningitis","F00y212","","CPRD_GOLD"
"46740","Von Economo's encephalitis","A4zy400","","CPRD_GOLD"
"47375","Zoster encephalitis","A531400","","CPRD_GOLD"
"47634","Toxoplasmosis encephalitis","F033411","","CPRD_GOLD"
"48018","Postinfectious encephalitis","F035.00","","CPRD_GOLD"
"48106","Nonpyogenic meningitis","F020.00","","CPRD_GOLD"
"49633","Chronic meningitis","F022.00","","CPRD_GOLD"
"50054","[X]Other viral meningitis","Ayu8C00","","CPRD_GOLD"
"50303","Staphylococcal meningitis","F003.00","","CPRD_GOLD"
"50873","Meningitis due to listeriosis","F007100","","CPRD_GOLD"
"50934","ECHO viral meningitis","A421.00","","CPRD_GOLD"
"51384","Encephalitis due to varicella","F035011","","CPRD_GOLD"
"51692","Encephalitis due to herpes zoster","F030900","","CPRD_GOLD"
"51962","Toxoplasma meningoencephalitis","AD00.00","","CPRD_GOLD"
"52408","Encephalitis due to rickettsia EC","F031.00","","CPRD_GOLD"
"52479","Meningitis due to escherichia coli","F00y200","","CPRD_GOLD"
"52505","Enteroviral encephalitis","A4y0.00","","CPRD_GOLD"
"52677","Subacute sclerosing panencephalitis","A412.00","","CPRD_GOLD"
"52697","Pseudomonas meningitis","F00y611","","CPRD_GOLD"
"53080","Other causes of encephalitis","F03y.00","","CPRD_GOLD"
"54151","Leptospiral meningitis","AA0y000","","CPRD_GOLD"
"54290","Meningitis due to mumps virus","F011400","","CPRD_GOLD"
"54321","Meningitis due to herpes simplex virus","F011300","","CPRD_GOLD"
"54818","Western equine encephalitis","A621.00","","CPRD_GOLD"
"54934","Encephalitis due to herpes simplex virus","F030400","","CPRD_GOLD"
"56366","Meningitis due to pertussis","F007800","","CPRD_GOLD"
"57276","Encephalitis due to mumps virus","F030500","","CPRD_GOLD"
"57279","Congenital syphilitic meningitis","A904200","","CPRD_GOLD"
"57281","Salmonella meningitis","A022100","","CPRD_GOLD"
"57895","Herpes zoster meningitis","F011211","","CPRD_GOLD"
"58574","Encephalitis in viral disease EC","F030.00","","CPRD_GOLD"
"59202","Tuberculous encephalitis or myelitis","A136.00","","CPRD_GOLD"
"59496","Acute secondary syphilitic meningitis","A918000","","CPRD_GOLD"
"60157","Histoplasma capsulatum with meningitis","AB40100","","CPRD_GOLD"
"60737","Syphilitic meningitis","A942.00","","CPRD_GOLD"
"60853","Plague meningitis","A206.00","","CPRD_GOLD"
"61458","Acute necrotising encephalitis","A4zy100","","CPRD_GOLD"
"61657","Meningitis due to fungal organisms","F010.00","","CPRD_GOLD"
"61712","Mosquito-borne viral encephalitis","A62..00","","CPRD_GOLD"
"61924","[X]Meningitis due to other specified causes","Fyu0400","","CPRD_GOLD"
"62098","Ilheus virus encephalitis","A62y.11","","CPRD_GOLD"
"62737","Tick-borne viral encephalitis","A63..00","","CPRD_GOLD"
"63007","Bacterial meningitis NOS","F00z.00","","CPRD_GOLD"
"63388","Candidal meningitis","AB2y200","","CPRD_GOLD"
"64028","Other non-bacterial meningitis","F01y.00","","CPRD_GOLD"
"64190","Adenoviral encephalitis","A4zy500","","CPRD_GOLD"
"64613","Eosinophilic meningitis","F021.00","","CPRD_GOLD"
"65001","Australian encephalitis","A624.00","","CPRD_GOLD"
"65624","Postinfectious encephalitis NOS","F035z00","","CPRD_GOLD"
"65853","Other specified viral meningitis","A42y.00","","CPRD_GOLD"
"66055","Epidemic encephalitis","A4zy200","","CPRD_GOLD"
"66107","Meningitis due to bacillus pyocyaneus","F00y100","","CPRD_GOLD"
"66247","Encephalitis due to toxoplasmosis","F033400","","CPRD_GOLD"
"66554","Unspecified meningitis in bacterial disease EC","F007z00","","CPRD_GOLD"
"66907","Acute and subacute haemorrhagic leukoencephalitis [Hurst]","F212.00","","CPRD_GOLD"
"67471","Eastern equine encephalitis","A622.00","","CPRD_GOLD"
"67787","Encephalitis due to meningococcus","F033000","","CPRD_GOLD"
"68273","Cytomegaloviral encephalitis","F030711","","CPRD_GOLD"
"68274","Adenoviral meningitis","A4z1.00","","CPRD_GOLD"
"68978","Klebsiella meningitis","F00y411","","CPRD_GOLD"
"69322","Tuberculous meningitis NOS","A130z00","","CPRD_GOLD"
"69335","Encephalitis due to influenza-specific virus not identified","F030800","","CPRD_GOLD"
"69405","Herpes zoster encephalitis","F030911","","CPRD_GOLD"
"69547","Cryptococcal meningitis","AB65200","","CPRD_GOLD"
"69606","Coccidioidal meningitis","AB32.00","","CPRD_GOLD"
"70181","Proteus morganii meningitis","F00y511","","CPRD_GOLD"
"70408","Meningitis due to proteus morganii","F00y500","","CPRD_GOLD"
"71464","Meningitis due to herpes zoster virus","F011200","","CPRD_GOLD"
"71467","Langat encephalitis","A63y000","","CPRD_GOLD"
"71658","Encephalitis due to influenza-virus identified","F030A00","","CPRD_GOLD"
"72072","Tuberculous encephalitis or myelitis NOS","A136z00","","CPRD_GOLD"
"72095","Other specified bacterial meningitis NOS","F00yz00","","CPRD_GOLD"
"72193","Meningitis due to klebsiella pneumoniae","F00y400","","CPRD_GOLD"
"72216","Meningitis due to salmonella","F007300","","CPRD_GOLD"
"72309","Encephalitis due to poliomyelitis","F030200","","CPRD_GOLD"
"72315","Meningitis due to congenital syphilis","F007400","","CPRD_GOLD"
"72444","Meningitis due to typhoid fever","F007600","","CPRD_GOLD"
"72549","Syphilis encephalitis","F033111","","CPRD_GOLD"
"72646","Meningitis due to trypanosomiasis","F012.00","","CPRD_GOLD"
"72733","Meningitis due to adenovirus","F011600","","CPRD_GOLD"
"73146","[X]Unspecified viral encephalitis","Ayu8B00","","CPRD_GOLD"
"73435","Encephalitis due to congenital syphilis","F033100","","CPRD_GOLD"
"89562","Russian spring-summer (taiga) encephalitis","A630.00","","CPRD_GOLD"
"89869","Acute inclusion body encephalitis","A4zy000","","CPRD_GOLD"
"90288","Meningitis due to pseudomonas","F00y600","","CPRD_GOLD"
"93360","Tuberculous encephalitis","A136000","","CPRD_GOLD"
"94724","Adenovirus meningitis","F011611","","CPRD_GOLD"
"95336","[X]Bacterial meningoencephalitis+meningomyelitis,NEC","Fyu0500","","CPRD_GOLD"
"96279","California viral encephalitis","A625.00","","CPRD_GOLD"
"97267","Encephalitis due to cytomegalovirus","F030700","","CPRD_GOLD"
"97348","Other specified bacterial meningitis","F00y.00","","CPRD_GOLD"
"97624","Meningitis due to neurosyphilis","F007200","","CPRD_GOLD"
"97778","Tuberculous encephalitis","F033311","","CPRD_GOLD"
"97992","Encephalitis due to trypanosomiasis","F032100","","CPRD_GOLD"
"98913","Murray - Valley encephalitis","A624.11","","CPRD_GOLD"
"99700","Meningitis in other bacterial disease classified elsewhere","F007.00","","CPRD_GOLD"
"99730","[X]Encephalitis,myelitis+encephalomyelitis/other diseases CE","Fyu0A00","","CPRD_GOLD"
"99925","Encephalitis due to tuberculosis","F033300","","CPRD_GOLD"
"100075","[X]Meningitis in viral diseases classified elsewhere","Fyu0100","","CPRD_GOLD"
"100599","[X]Other specified viral encephalitis","Ayu8A00","","CPRD_GOLD"
"100619","[X]Meningitis/other specifd infectious+parasitic diseases CE","Fyu0300","","CPRD_GOLD"
"100885","Meningitis due to secondary syphilis","F007500","","CPRD_GOLD"
"101625","[X]Tick-borne viral encephalitis, unspecified","Ayu8800","","CPRD_GOLD"
"102964","Other specified mosquito-borne virus encephalitis","A62y.00","","CPRD_GOLD"
"103077","Other tick-borne viral encephalitis NOS","A63yz00","","CPRD_GOLD"
"104680","[X]Encephalitis,myelitis+encephalomyelitis/viral disease CE","Fyu0800","","CPRD_GOLD"
"105627","[X]Other encephalitis, myelitis and encephalomyelitis","Fyu0600","","CPRD_GOLD"
"105830","Encephalitis due to malaria","F032000","","CPRD_GOLD"
"105982","[X]Other bacterial meningitis","Fyu0000","","CPRD_GOLD"
"107659","Meningitis due to actinomycosis","F007700","","CPRD_GOLD"
"110877","[X]Sequelae of viral encephalitis","AyuJ800","","CPRD_GOLD"
"111987","Congenital syphilitic encephalitis","A904100","","CPRD_GOLD"
"112003","Syphilitic encephalitis","A94y000","","CPRD_GOLD"
"112016","Gonococcal meningitis","A98y100","","CPRD_GOLD"
"112039","Meningitis due to gonococcus","F007000","","CPRD_GOLD"
"112040","Encephalitis due to syphilis unspecified","F033200","","CPRD_GOLD"
"112352","Encephalitis due to rubella virus","F030600","","CPRD_GOLD"
"112427","Encephalitis due to arthropod-borne virus","F030300","","CPRD_GOLD"
"112785","Other fungal meningitis","F010z00","","CPRD_GOLD"
"112800","Encephalitis due to protozoa EC NOS","F032z00","","CPRD_GOLD"
"114365","Tuberculous leptomeningitis","A130200","","CPRD_GOLD"
"114847","Meningitis due to aerobacter aerogenes","F00y000","","CPRD_GOLD"
"114970","Naegleria meningoencephalitis","AD62.11","","CPRD_GOLD"
"115022","Louping ill encephalitis","A631.00","","CPRD_GOLD"
"115311","Encephalitis due to protozoa EC","F032.00","","CPRD_GOLD"
