"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"A170","Tuberculous meningitis","A17.0","","ICD10"
"A203","Plague meningitis","A20.3","","ICD10"
"A321","Listerial meningitis and meningoencephalitis","A32.1","","ICD10"
"A390","Meningococcal meningitis","A39.0","","ICD10"
"A811","Subacute sclerosing panencephalitis","A81.1","","ICD10"
"A83","Mosquito-borne viral encephalitis","A83","","ICD10"
"A830","Japanese encephalitis","A83.0","","ICD10"
"A831","Western equine encephalitis","A83.1","","ICD10"
"A832","Eastern equine encephalitis","A83.2","","ICD10"
"A833","St Louis encephalitis","A83.3","","ICD10"
"A834","Australian encephalitis","A83.4","","ICD10"
"A835","California encephalitis","A83.5","","ICD10"
"A838","Other mosquito-borne viral encephalitis","A83.8","","ICD10"
"A839","Mosquito-borne viral encephalitis, unspecified","A83.9","","ICD10"
"A84","Tick-borne viral encephalitis","A84","","ICD10"
"A840","Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]","A84.0","","ICD10"
"A841","Central European tick-borne encephalitis","A84.1","","ICD10"
"A848","Other tick-borne viral encephalitis","A84.8","","ICD10"
"A849","Tick-borne viral encephalitis, unspecified","A84.9","","ICD10"
"A85","Other viral encephalitis, not elsewhere classified","A85","","ICD10"
"A850","Enteroviral encephalitis","A85.0","","ICD10"
"A851","Adenoviral encephalitis","A85.1","","ICD10"
"A852","Arthropod-borne viral encephalitis, unspecified","A85.2","","ICD10"
"A858","Other specified viral encephalitis","A85.8","","ICD10"
"A86X","Unspecified viral encephalitis","A86","","ICD10"
"A87","Viral meningitis","A87","","ICD10"
"A870","Enteroviral meningitis","A87.0","","ICD10"
"A871","Adenoviral meningitis","A87.1","","ICD10"
"A872","Lymphocytic choriomeningitis","A87.2","","ICD10"
"A878","Other viral meningitis","A87.8","","ICD10"
"A879","Viral meningitis, unspecified","A87.9","","ICD10"
"B003","Herpesviral meningitis","B00.3","","ICD10"
"B004","Herpesviral encephalitis","B00.4","","ICD10"
"B010","Varicella meningitis","B01.0","","ICD10"
"B011","Varicella encephalitis","B01.1","","ICD10"
"B020","Zoster encephalitis","B02.0","","ICD10"
"B021","Zoster meningitis","B02.1","","ICD10"
"B050","Measles complicated by encephalitis","B05.0","","ICD10"
"B051","Measles complicated by meningitis","B05.1","","ICD10"
"B261","Mumps meningitis","B26.1","","ICD10"
"B262","Mumps encephalitis","B26.2","","ICD10"
"B375","Candidal meningitis","B37.5","","ICD10"
"B384","Coccidioidomycosis meningitis","B38.4","","ICD10"
"B582","Toxoplasma meningoencephalitis","B58.2","","ICD10"
"B941","Sequelae of viral encephalitis","B94.1","","ICD10"
"G00","Bacterial meningitis, not elsewhere classified","G00","","ICD10"
"G000","Haemophilus meningitis","G00.0","","ICD10"
"G001","Pneumococcal meningitis","G00.1","","ICD10"
"G002","Streptococcal meningitis","G00.2","","ICD10"
"G003","Staphylococcal meningitis","G00.3","","ICD10"
"G008","Other bacterial meningitis","G00.8","","ICD10"
"G009","Bacterial meningitis, unspecified","G00.9","","ICD10"
"G01X","Meningitis in bacterial diseases classified elsewhere","G01","","ICD10"
"G02","Meningitis in other infectious and parasitic diseases classified elsewhere","G02","","ICD10"
"G020","Meningitis in viral diseases classified elsewhere","G02.0","","ICD10"
"G021","Meningitis in mycoses","G02.1","","ICD10"
"G028","Meningitis in other specified infectious and parasitic diseases classified elsewhere","G02.8","","ICD10"
"G03","Meningitis due to other and unspecified causes","G03","","ICD10"
"G030","Nonpyogenic meningitis","G03.0","","ICD10"
"G031","Chronic meningitis","G03.1","","ICD10"
"G038","Meningitis due to other specified causes","G03.8","","ICD10"
"G039","Meningitis, unspecified","G03.9","","ICD10"
"G04","Encephalitis, myelitis and encephalomyelitis","G04","","ICD10"
"G040","Acute disseminated encephalitis","G04.0","","ICD10"
"G042","Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified","G04.2","","ICD10"
"G048","Other encephalitis, myelitis and encephalomyelitis","G04.8","","ICD10"
"G049","Encephalitis, myelitis and encephalomyelitis, unspecified","G04.9","","ICD10"
"G05","Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere","G05","","ICD10"
"G050","Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere","G05.0","","ICD10"
"G051","Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere","G05.1","","ICD10"
"G052","Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere","G05.2","","ICD10"
"G058","Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere","G05.8","","ICD10"
"G361","Acute and subacute haemorrhagic leukoencephalitis [Hurst]","G36.1","","ICD10"
