"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"282370015","Cooling therapy","862..12","182660006","CPRD_AURUM"
"282373018","General cooling therapy","8622.00","182662003","CPRD_AURUM"
"325050015","Anoxic brain damage complication","SP10000","213208008","CPRD_AURUM"
"473948012","Perinatal hypoxic - ischaemic encephalopathy","Q48F.11","126945001","CPRD_AURUM"
"622301000000116","Active cooling","7L1J100","241741007","CPRD_AURUM"
"2168451000000117","Hypoxic ischaemic encephalopathy of newborn","Q48F.00","126945001","CPRD_AURUM"
"282378010","Therapy by cooling NOS","862Z.00","308693008","CPRD_AURUM"
"485241000006115","Anoxic - ischaemic encephalopathy","F281.11","389101006","CPRD_AURUM"
"788231000006111","Hypothermia therapy","8624.11","182660006","CPRD_AURUM"
"5980931000006114","Induction of hypothermia","","308693008","CPRD_AURUM"
"4391081000006116","Perinatal anoxic-ischaemic brain injury","","126945001","CPRD_AURUM"
"4391111000006110","HIE - Perinatal hypoxic - ischaemic encephalopathy","","126945001","CPRD_AURUM"
"5166701000006119","Active cooling of patient","","241741007","CPRD_AURUM"
"6511711000006119","Anoxic encephalopathy","","389098007","CPRD_AURUM"
"6511731000006113","Anoxic brain injury","","389098007","CPRD_AURUM"
"282371016","Therapy by cooling","862..00","182660006","CPRD_AURUM"
"4391131000006116","Perinatal hypoxic - ischemic encephalopathy","","126945001","CPRD_AURUM"
"4391091000006118","Perinatal anoxic-ischemic brain injury","","126945001","CPRD_AURUM"
"4391121000006119","HIE - Perinatal hypoxic - ischemic encephalopathy","","126945001","CPRD_AURUM"
"6511781000006114","Anoxic-ischemic encephalopathy","","389101006","CPRD_AURUM"
"1493629013","Anoxic brain damage","F281.00","389098007","CPRD_AURUM"
"325051016","Cerebral anoxia complication","SP10100","213209000","CPRD_AURUM"
"788221000006113","Hypothermia therapy","7L1J000","182660006","CPRD_AURUM"
"7573591000006110","Hypoxic ischaemic encephalopathy","","703300001","CPRD_AURUM"
"7573631000006110","Mild hypoxic ischaemic encephalopathy","","703301002","CPRD_AURUM"
"5652471000006113","Hypoxic-ischaemic coma","","281509000","CPRD_AURUM"
"5599921000006114","Postnatal hypoxic encephalopathy","","277479000","CPRD_AURUM"
"7573621000006112","Hypoxic ischemic brain injury","","703300001","CPRD_AURUM"
"4059971000006111","Neonatal encephalopathy","","95628005","CPRD_AURUM"
"3513580016","Mild hypoxic ischemic encephalopathy of newborn","","134831000119103","CPRD_AURUM"
"3515947019","Severe hypoxic ischaemic encephalopathy of newborn","","134811000119108","CPRD_AURUM"
"4391061000006114","Hypoxic brain damage","","126944002","CPRD_AURUM"
"5599931000006112","Neonatal asphyxial encephalopathy","","277480002","CPRD_AURUM"
"7573601000006119","Hypoxic ischemic encephalopathy","","703300001","CPRD_AURUM"
"7573611000006116","Hypoxic ischaemic brain injury","","703300001","CPRD_AURUM"
