"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"5118","Anoxic brain damage","F281.00","","CPRD_GOLD"
"5644","Anoxic - ischaemic encephalopathy","F281.11","","CPRD_GOLD"
"15268","Therapy by cooling","862..00","","CPRD_GOLD"
"19688","Cerebral anoxia complication","SP10100","","CPRD_GOLD"
"30155","Therapy by cooling NOS","862Z.00","","CPRD_GOLD"
"31068","Cooling therapy","862..12","","CPRD_GOLD"
"37459","Anoxic brain damage complication","SP10000","","CPRD_GOLD"
"54084","Hypothermia therapy","7L1J000","","CPRD_GOLD"
"54801","Hypothermia therapy","8624.11","","CPRD_GOLD"
"60928","Active cooling of patient","Z132.00","","CPRD_GOLD"
"73285","General cooling therapy","8622.00","","CPRD_GOLD"
"84144","Active cooling","7L1J100","","CPRD_GOLD"
"96781","Induction of hypothermia","Z135.00","","CPRD_GOLD"
"104239","Hypoxic ischaemic encephalopathy of newborn","Q48F.00","","CPRD_GOLD"
"106012","Perinatal hypoxic - ischaemic encephalopathy","Q48F.11","","CPRD_GOLD"
