"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"P10","Intracranial laceration and haemorrhage due to birth injury","P10","","ICD10"
"P100","Subdural haemorrhage due to birth injury","P10.0","","ICD10"
"P101","Cerebral haemorrhage due to birth injury","P10.1","","ICD10"
"P102","Intraventricular haemorrhage due to birth injury","P10.2","","ICD10"
"P103","Subarachnoid haemorrhage due to birth injury","P10.3","","ICD10"
"P104","Tentorial tear due to birth injury","P10.4","","ICD10"
"P108","Other intracranial lacerations and haemorrhages due to birth injury","P10.8","","ICD10"
"P109","Unspecified intracranial laceration and haemorrhage due to birth injury","P10.9","","ICD10"
"P52","Intracranial nontraumatic haemorrhage of fetus and newborn","P52","","ICD10"
"P520","Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn","P52.0","","ICD10"
"P521","Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn","P52.1","","ICD10"
"P522","Intraventricular (nontraumatic) haemorrhage, grade 3 and grade 4, of fetus and newborn","P52.2","","ICD10"
"P523","Unspecified intraventricular (nontraumatic) haemorrhage of fetus and newborn","P52.3","","ICD10"
"P524","Intracerebral (nontraumatic) haemorrhage of fetus and newborn","P52.4","","ICD10"
"P525","Subarachnoid (nontraumatic) haemorrhage of fetus and newborn","P52.5","","ICD10"
"P526","Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn","P52.6","","ICD10"
"P528","Other intracranial (nontraumatic) haemorrhages of fetus and newborn","P52.8","","ICD10"
"P529","Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified","P52.9","","ICD10"
