"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"265690015","Evacuation of haematoma from cerebellum","7004200","171474001","CPRD_AURUM"
"300242011","Ruptured berry aneurysm","G600.00","195154000","CPRD_AURUM"
"300244012","Subarachnoid haemorrhage from carotid siphon and bifurcation","G601.00","195155004","CPRD_AURUM"
"300253017","Subarachnoid haemorrhage from vertebral artery","G606.00","195160000","CPRD_AURUM"
"300294013","Subdural haemorrhage - nontraumatic","G621.00","195176009","CPRD_AURUM"
"300406018","Sequelae of subarachnoid haemorrhage","G680.00","195240000","CPRD_AURUM"
"300407010","Sequelae of intracerebral haemorrhage","G681.00","195241001","CPRD_AURUM"
"316516014","Intraventricular haemorrhage due to birth injury","Q411300","206398001","CPRD_AURUM"
"316519019","Subarachnoid haemorrhage due to birth injury","Q412000","206399009","CPRD_AURUM"
"316553015","Intracranial nontraumatic haemorrhage of fetus and newborn","Q417.00","206417009","CPRD_AURUM"
"320752018","Closed traumatic subdural haemorrhage","S622.00","209947002","CPRD_AURUM"
"320771016","Open traumatic subdural haemorrhage","S623.00","209956005","CPRD_AURUM"
"320835014","Traumatic subdural haemorrhage","S628.00","209987007","CPRD_AURUM"
"320836010","Subdural haemorrhage following injury","S62..13","209987007","CPRD_AURUM"
"345675012","Lobar cerebral haemorrhage","G619.00","230710000","CPRD_AURUM"
"459511018","Traumatic subdural haematoma without open intracranial wound","S629000","315046005","CPRD_AURUM"
"459514014","Traumatic subdural haematoma with open intracranial wound","S629100","315047001","CPRD_AURUM"
"474192015","Infantile posthaemorrhagic hydrocephalus","F117.00","359634001","CPRD_AURUM"
"486896012","Intracranial haematoma following injury","S630.12","37955001","CPRD_AURUM"
"495394013","Cortical haemorrhage","G610.00","49422009","CPRD_AURUM"
"496232015","Internal capsule haemorrhage","G611.00","52201006","CPRD_AURUM"
"501622012","Perinatal intraventricular haemorrhage","Q411.00","70611002","CPRD_AURUM"
"502878012","Cerebellar haemorrhage","G613.00","75038005","CPRD_AURUM"
"505381016","Epidural haemorrhage","S626.00","82999001","CPRD_AURUM"
"884441000006114","Subdural haemorrhage","G621.99","195176009","CPRD_AURUM"
"989211000006119","Cerebral haemorrhage NOS","G61..98","274100004","CPRD_AURUM"
"991811000006115","Subdural h'ge after injury","S628.99","209987007","CPRD_AURUM"
"300257016","Subarachnoid haemorrhage NOS","G60z.00","21454007","CPRD_AURUM"
"300287010","Intracerebral haemorrhage NOS","G61z.00","274100004","CPRD_AURUM"
"300936018","[X]Other subarachnoid haemorrhage","Gyu6100","21454007","CPRD_AURUM"
"320735017","Open traumatic subarachnoid haemorrhage","S621.00","5251007","CPRD_AURUM"
"359985011","Intracerebral haemorrhage in fetus or newborn","Q200011","240313004","CPRD_AURUM"
"391043019","Traumatic subarachnoid haemorrhage","S627.00","450375008","CPRD_AURUM"
"402206010","Cerebral haemorrhage unspecified, due to birth trauma","Q200000","240312009","CPRD_AURUM"
"402208011","Brain injury due to birth trauma NOS","Q200400","240312009","CPRD_AURUM"
"498516011","Evacuation of subdural haematoma","7017000","59712006","CPRD_AURUM"
"2475119012","Subdural haematoma - nontraumatic","G622.00","195176009","CPRD_AURUM"
"123491000006115","Subarachnoid haemorrhage from basilar artery","G605.00","276284000","CPRD_AURUM"
"124041000006115","Subdural h'ge inj + open intracran wnd+>24hr LOC -restored","S623500","111677000","CPRD_AURUM"
"124061000006116","Subdural h'ge inj + open intracran wound+>24hr LOC +recovery","S623400","52902005","CPRD_AURUM"
"124101000006118","Subdural h'ge inj + open intracranial wound+<1hr loss consc","S623200","29635000","CPRD_AURUM"
"124111000006115","Subdural h'ge inj + open intracranial wound+no loss consc","S623100","209958006","CPRD_AURUM"
"124141000006116","Subdural h'ge inj no open intracran wnd+LOC unspec duration","S622600","209947002","CPRD_AURUM"
"124181000006110","Subdural h'ge inj no open intracranial wound+<1hr loss consc","S622200","209947002","CPRD_AURUM"
"124191000006113","Subdural h'ge inj no open intracranial wound+no loss consc","S622100","209947002","CPRD_AURUM"
"149551000006111","Sequelae of other nontraumatic intracranial haemorrhage","G682.00","363302008","CPRD_AURUM"
"605471000006112","CVA - cerebrovascular accid due to intracerebral haemorrhage","G61..11","274100004","CPRD_AURUM"
"649541000006113","Evacuation of extradural haematoma","7032000","171713001","CPRD_AURUM"
"660021000006112","Extradural h'ge inj + open intracranial wound+no loss consc","S625100","209978003","CPRD_AURUM"
"660111000006117","Extradural haemorrhage - nontraumatic","G620.00","397809001","CPRD_AURUM"
"702641000006119","Middle meningeal haemmorhage following injury","S620.11","30400005","CPRD_AURUM"
"744871000006114","Intracerebral (nontraumatic) haemorrhage of fet and newborn","Q417000","206417009","CPRD_AURUM"
"744901000006114","Intracerebral haemorrhage","G61..00","274100004","CPRD_AURUM"
"746571000006116","Intracerebral haemorrhage, multiple localized","G618.00","195169004","CPRD_AURUM"
"808111000006110","H/O sub-arachnoid haemorrhage","14AF.00","161515009","CPRD_AURUM"
"1900601000006111","SCPE class pred pat B.2 seql intravent haem perivent infarct","2Ba1100","914891000000100","CPRD_AURUM"
"1900611000006114","SCPE cls prd pat B.3 comb periven leucoml intravent haem seq","2Ba1200","914911000000102","CPRD_AURUM"
"884421000006119","Cerebral haemorrhage","G6...99","274100004","CPRD_AURUM"
"894091000006111","Cerebral haemorrhage - birth","Q200.99","206196005","CPRD_AURUM"
"320814012","Open traumatic extradural haemorrhage","S625.00","65189006","CPRD_AURUM"
"402929011","Closed traumatic subarachnoid haemorrhage","S620.00","28048009","CPRD_AURUM"
"123341000006116","Subarachnoid h'ge inj + open intracran wnd+1-24hr loss consc","S621300","87253004","CPRD_AURUM"
"124071000006111","Subdural h'ge inj + open intracranial wnd+1-24hr loss consc","S623300","90165008","CPRD_AURUM"
"404771000006118","[X]Oth intracranial laceratns+haemorrhages due/birth injury","Qyu2000","206196005","CPRD_AURUM"
"5459271000006119","Traumatic intracranial subarachnoid haemorrhage","","262955000","CPRD_AURUM"
"3850511000006116","Extradural hemorrhage","","82999001","CPRD_AURUM"
"4854181000006114","Subdural haemorrhage following injury without open intracranial wound","","209947002","CPRD_AURUM"
"5459191000006110","Traumatic intracranial extradural hematoma","","262949005","CPRD_AURUM"
"4854171000006111","Subdural hemorrhage following injury without open intracranial wound","","209947002","CPRD_AURUM"
"5459281000006116","Traumatic cranial subarachnoid hemorrhage","","262955000","CPRD_AURUM"
"5459291000006118","Traumatic intracranial subarachnoid hemorrhage","","262955000","CPRD_AURUM"
"3469871000006118","Evacuation of intracranial subdural hematoma","","59712006","CPRD_AURUM"
"5459301000006117","Traumatic cranial subarachnoid haemorrhage","","262955000","CPRD_AURUM"
"2837001000006117","Subarachnoid haemorrhage from any perinatal cause","","21202004","CPRD_AURUM"
"4835771000006112","Local intracranial subdural hematoma due to birth trauma","","206191000","CPRD_AURUM"
"3719851000006116","Cerebellar hemorrhage","","75038005","CPRD_AURUM"
"4778351000006113","Sequelae of intracerebral hemorrhage","","195241001","CPRD_AURUM"
"4837751000006110","Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn","","206419007","CPRD_AURUM"
"2841151000006113","SAH - Subarachnoid hemorrhage","","21454007","CPRD_AURUM"
"4837441000006116","Intraventricular (nontraumatic) hemorrhage, grade 2, of fetus and newborn","","206396002","CPRD_AURUM"
"5459241000006110","Traumatic intracranial subdural hematoma","","262952002","CPRD_AURUM"
"4835811000006112","Cerebral hematoma in fetus or newborn","","206194008","CPRD_AURUM"
"4837521000006110","Intracranial subarachnoid haemorrhage due to birth injury","","206399009","CPRD_AURUM"
"5459181000006112","Extradural haemorrhage after injury","","262949005","CPRD_AURUM"
"4835751000006119","Local subdural hematoma as birth trauma","","206191000","CPRD_AURUM"
"12223111000006115","Intracerebral hemorrhage","","274100004","CPRD_AURUM"
"3469851000006111","Evacuation of subdural haematoma","","59712006","CPRD_AURUM"
"4837711000006114","Intracranial nontraumatic hemorrhage of fetus and newborn","","206417009","CPRD_AURUM"
"5011401000006110","Lobar cerebral hemorrhage","","230710000","CPRD_AURUM"
"11903611000006117","Subarachnoid hemorrhage following injury with open intracranial wound AND moderate loss of consciousness (1-24 hours)","","87253004","CPRD_AURUM"
"4644231000006112","Evacuation of hematoma from temporal lobe of brain","","171473007","CPRD_AURUM"
"4835851000006113","Intracerebral haematoma in foetus or newborn","","206194008","CPRD_AURUM"
"4835951000006116","Cerebral haemorrhage due to birth trauma","","206196005","CPRD_AURUM"
"4837421000006111","Intraventricular (nontraumatic) haemorrhage, grade 2, of foetus and newborn","","206396002","CPRD_AURUM"
"4540691000006112","History of subarachnoid haemorrhage","","161515009","CPRD_AURUM"
"6053351000006112","Traumatic extradural hematoma with open intracranial wound","","315049003","CPRD_AURUM"
"5459161000006119","Traumatic extradural hematoma","","262949005","CPRD_AURUM"
"5588461000006116","Perinatal intracranial hemorrhage","","276647007","CPRD_AURUM"
"2976661000006116","Subdural hemorrhage following injury with open intracranial wound AND brief loss of consciousness (less than one hour)","","29635000","CPRD_AURUM"
"3850561000006118","Epidural intracranial hemorrhage","","82999001","CPRD_AURUM"
"2837021000006110","Perinatal intracranial subarachnoid hemorrhage","","21202004","CPRD_AURUM"
"4835821000006116","Intracerebral hematoma in fetus or newborn","","206194008","CPRD_AURUM"
"4777911000006112","Subdural hemorrhage - nontraumatic","","195176009","CPRD_AURUM"
"5459171000006114","Extradural hemorrhage after injury","","262949005","CPRD_AURUM"
"4835941000006118","Cerebral hemorrhage due to birth trauma","","206196005","CPRD_AURUM"
"4854241000006112","Subdural haemorrhage following injury with open intracranial wound","","209956005","CPRD_AURUM"
"2841161000006110","Subarachnoid intracranial haemorrhage","","21454007","CPRD_AURUM"
"6593111000006115","Nontraumatic extradural hemorrhage","","397809001","CPRD_AURUM"
"12223131000006114","ICH - intracerebral hemorrhage","","274100004","CPRD_AURUM"
"2841171000006115","Subarachnoid intracranial hemorrhage","","21454007","CPRD_AURUM"
"4645651000006115","Evacuation of intracranial extradural hematoma","","171713001","CPRD_AURUM"
"4777891000006110","Intracerebral hemorrhage, multiple localized","","195169004","CPRD_AURUM"
"4837401000006118","Intraventricular (nontraumatic) hemorrhage, grade 1, of fetus and newborn","","206395003","CPRD_AURUM"
"11924661000006112","Extradural hemorrhage following injury with open intracranial wound AND brief loss of consciousness (less than one hour)","","73308006","CPRD_AURUM"
"4540681000006114","History of subarachnoid hemorrhage","","161515009","CPRD_AURUM"
"4835931000006111","Cerebral hemorrhage due to birth injury","","206196005","CPRD_AURUM"
"4854231000006119","Subdural hemorrhage following injury with open intracranial wound","","209956005","CPRD_AURUM"
"6593131000006114","Nontraumatic epidural hemorrhage","","397809001","CPRD_AURUM"
"3901101000006118","Extradural haemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) without return to pre-existing conscious level","","86182004","CPRD_AURUM"
"4645641000006117","Evacuation of intracranial extradural haematoma","","171713001","CPRD_AURUM"
"3719861000006119","Haemorrhagic cerebellum","","75038005","CPRD_AURUM"
"3850541000006117","EDH - Extradural hematoma","","82999001","CPRD_AURUM"
"4644331000006116","Aspiration of brain hematoma","","171502001","CPRD_AURUM"
"8328481000006110","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification B.2 - sequelae of intraventricular haemorrhage or periventricular infarction","","914891000000100","CPRD_AURUM"
"3357881000006110","Subdural hemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) AND return to pre-existing conscious level","","52902005","CPRD_AURUM"
"3692151000006113","Extradural haemorrhage following injury with open intracranial wound AND brief loss of consciousness (less than one hour)","","73308006","CPRD_AURUM"
"4777941000006111","Non-traumatic intracranial subdural hemorrhage","","195176009","CPRD_AURUM"
"2836981000006110","Perinatal subarachnoid hemorrhage","","21202004","CPRD_AURUM"
"4777851000006116","Intracerebral hemorrhage, intraventricular","","195168007","CPRD_AURUM"
"11923791000006114","Subarachnoid hemorrhage following injury without open intracranial wound","","28048009","CPRD_AURUM"
"3469861000006113","Evacuation of subdural hematoma","","59712006","CPRD_AURUM"
"3648501000006113","Neonatal intraventricular hemorrhage","","70611002","CPRD_AURUM"
"4777871000006114","Intracerebral hemorrhage with intraventricular hemorrhage","","195168007","CPRD_AURUM"
"4835881000006117","Extradural hemorrhage in fetus or newborn","","206195009","CPRD_AURUM"
"4854221000006117","Open traumatic subdural intracranial hemorrhage","","209956005","CPRD_AURUM"
"5146111000006110","Intracerebral haemorrhage in fetus or newborn","","240313004","CPRD_AURUM"
"12223101000006118","Intracerebral haemorrhage","","274100004","CPRD_AURUM"
"5459261000006114","Traumatic subdural haematoma","","262952002","CPRD_AURUM"
"5588451000006118","Perinatal intracranial haemorrhage","","276647007","CPRD_AURUM"
"2950231000006111","Subarachnoid haemorrhage following injury without open intracranial wound","","28048009","CPRD_AURUM"
"3850521000006112","Extradural haemorrhage","","82999001","CPRD_AURUM"
"11903641000006118","Subdural hemorrhage following injury with open intracranial wound AND moderate loss of consciousness (1-24 hours)","","90165008","CPRD_AURUM"
"3648481000006115","Perinatal intraventricular hemorrhage","","70611002","CPRD_AURUM"
"3918591000006111","Subarachnoid haemorrhage following injury with open intracranial wound AND moderate loss of consciousness (1-24 hours)","","87253004","CPRD_AURUM"
"7378301000006119","Traumatic intracranial hemorrhage","","450410005","CPRD_AURUM"
"7378421000006118","Traumatic intracerebral haemorrhage","","450418003","CPRD_AURUM"
"4835901000006115","Extradural intracranial haemorrhage in foetus or newborn","","206195009","CPRD_AURUM"
"6593141000006116","Nontraumatic extradural intracranial hemorrhage","","397809001","CPRD_AURUM"
"3071661000006112","Subdural hemorrhage","","35486000","CPRD_AURUM"
"3071671000006117","Subdural intracranial hemorrhage","","35486000","CPRD_AURUM"
"3468981000006117","Extradural hemorrhage following injury with open intracranial wound AND moderate loss of consciousness (1-24 hours)","","59648004","CPRD_AURUM"
"4777751000006110","Intracranial subarachnoid hemorrhage from vertebral artery","","195160000","CPRD_AURUM"
"4835731000006114","Local subdural hematoma due to birth trauma","","206191000","CPRD_AURUM"
"4837741000006113","Cerebellar (nontraumatic) and posterior fossa hemorrhage of fetus and newborn","","206419007","CPRD_AURUM"
"5445641000006113","Neonatal cerebral hemorrhage","","261808007","CPRD_AURUM"
"4777931000006118","Non-traumatic subdural hemorrhage","","195176009","CPRD_AURUM"
"4854331000006110","Traumatic subdural hemorrhage","","209987007","CPRD_AURUM"
"7378401000006111","Traumatic intracerebral hemorrhage","","450418003","CPRD_AURUM"
"5459251000006112","Traumatic cranial subdural hematoma","","262952002","CPRD_AURUM"
"7378411000006114","Cerebral hemorrhage following injury","","450418003","CPRD_AURUM"
"3850501000006119","Epidural hemorrhage","","82999001","CPRD_AURUM"
"4854201000006110","Open traumatic subdural hemorrhage","","209956005","CPRD_AURUM"
"4837531000006113","Intracranial subarachnoid hemorrhage due to birth injury","","206399009","CPRD_AURUM"
"4854151000006118","Closed traumatic subdural intracranial hemorrhage","","209947002","CPRD_AURUM"
"5459201000006113","Traumatic intracranial extradural haematoma","","262949005","CPRD_AURUM"
"4854301000006119","Extradural hemorrhage following injury with open intracranial wound, with no loss of consciousness","","209978003","CPRD_AURUM"
"4777861000006119","Intracerebral haemorrhage with intraventricular haemorrhage","","195168007","CPRD_AURUM"
"7378271000006116","Intracranial haemorrhage following injury","","450410005","CPRD_AURUM"
"2837011000006119","Perinatal intracranial subarachnoid haemorrhage","","21202004","CPRD_AURUM"
"3694141000006116","Subarachnoid haemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) AND return to pre-existing conscious level","","73439007","CPRD_AURUM"
"3850551000006115","Epidural intracranial haemorrhage","","82999001","CPRD_AURUM"
"4777741000006113","Subarachnoid hemorrhage from vertebral artery","","195160000","CPRD_AURUM"
"4837511000006119","Subarachnoid hemorrhage due to birth injury","","206399009","CPRD_AURUM"
"2520541000006112","Intracranial hemorrhage","","1386000","CPRD_AURUM"
"5560161000006111","Intracerebral hemorrhage (ICH)","","274100004","CPRD_AURUM"
"7377831000006117","Traumatic hemorrhage into subarachnoid space of neuraxis","","450375008","CPRD_AURUM"
"3625151000006114","Subarachnoid haemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) without return to pre-existing conscious level","","69178005","CPRD_AURUM"
"5459231000006117","Traumatic intracranial subdural haematoma","","262952002","CPRD_AURUM"
"7378281000006118","Intracranial hemorrhage following injury","","450410005","CPRD_AURUM"
"12716261000006116","Intracranial haemorrhage following injury","","82894007","CPRD_AURUM"
"300935019","[X]Subarachnoid haemorrhage from other intracranial arteries","Gyu6000","21454007","CPRD_AURUM"
"30981000006112","Oth cerebral h'ge inj no open intracran wnd+unspec consc","S630000","450418003","CPRD_AURUM"
"35791000006117","Other cerebral h'ge after injury + open intracranial wound","S631.00","450418003","CPRD_AURUM"
"39701000006110","Oth cereb h'ge inj + open intracran wnd+>24hr LOC -restored","S631500","450418003","CPRD_AURUM"
"39711000006113","Oth cereb h'ge inj + open intracran wnd+concussion unspec","S631z00","450418003","CPRD_AURUM"
"39741000006112","Oth cereb h'ge inj no open intracran wnd+>24hr LOC -restored","S630500","450418003","CPRD_AURUM"
"39751000006114","Oth cereb h'ge inj no open intracran wnd+concussion unspec","S630z00","450418003","CPRD_AURUM"
"39761000006111","Oth cereb h'ge inj no open intracran wnd+LOC unspec duration","S630600","450418003","CPRD_AURUM"
"39771000006116","Oth cerebral h'ge inj + open intracran wnd + unspec consc","S631000","450418003","CPRD_AURUM"
"39791000006115","Oth cerebral h'ge inj + open intracran wnd+1-24hr loss consc","S631300","450418003","CPRD_AURUM"
