"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1786","Subarachnoid haemorrhage","G60..00","","CPRD_GOLD"
"2883","Closed traumatic subdural haemorrhage","S622.00","","CPRD_GOLD"
"3535","Intracerebral haemorrhage NOS","G61z.00","","CPRD_GOLD"
"4107","Evacuation of extradural haematoma","7032000","","CPRD_GOLD"
"4273","Subdural haemorrhage - nontraumatic","G621.00","","CPRD_GOLD"
"4917","Evacuation of subdural haematoma","7017000","","CPRD_GOLD"
"5051","Intracerebral haemorrhage","G61..00","","CPRD_GOLD"
"5682","Cerebral haemorrhage following injury","S62..00","","CPRD_GOLD"
"6569","Subdural haemorrhage following injury","S62..13","","CPRD_GOLD"
"6960","CVA - cerebrovascular accid due to intracerebral haemorrhage","G61..11","","CPRD_GOLD"
"7017","Evacuation of intracerebral haematoma NEC","7004300","","CPRD_GOLD"
"7862","Traumatic subdural haematoma","S629.00","","CPRD_GOLD"
"7912","Pontine haemorrhage","G614.00","","CPRD_GOLD"
"8181","Traumatic subdural haemorrhage","S628.00","","CPRD_GOLD"
"9696","Subarachnoid haemorrhage from posterior communicating artery","G604.00","","CPRD_GOLD"
"13564","Cerebellar haemorrhage","G613.00","","CPRD_GOLD"
"16554","H/O sub-arachnoid haemorrhage","14AF.00","","CPRD_GOLD"
"17326","Subarachnoid haemorrh from intracranial artery, unspecif","G60X.00","","CPRD_GOLD"
"17734","Subdural haematoma - nontraumatic","G622.00","","CPRD_GOLD"
"18411","Traumatic extradural haematoma","S62A.00","","CPRD_GOLD"
"18604","Stroke due to intracerebral haemorrhage","G61..12","","CPRD_GOLD"
"18912","Subdural haemorrhage NOS","G623.00","","CPRD_GOLD"
"19201","Right sided intracerebral haemorrhage, unspecified","G61X100","","CPRD_GOLD"
"19412","Subarachnoid haemorrhage from middle cerebral artery","G602.00","","CPRD_GOLD"
"19577","Cerebellar (nontraum) and post fossa haemorhage fet newborn","Q417100","","CPRD_GOLD"
"20284","Intracranial haemorrhage NOS","G62z.00","","CPRD_GOLD"
"23447","Cerebral haemorrhage unspecified, due to birth trauma","Q200000","","CPRD_GOLD"
"23580","Subarachnoid haemorrhage NOS","G60z.00","","CPRD_GOLD"
"25415","Perinatal intraventricular haemorrhage","Q411.00","","CPRD_GOLD"
"27661","Extradural haemorrhage following injury","S62..11","","CPRD_GOLD"
"28077","Traumatic cerebral haemorrhage","S62..14","","CPRD_GOLD"
"28314","Left sided intracerebral haemorrhage, unspecified","G61X000","","CPRD_GOLD"
"28807","Subarachnoid haemorrhage following injury","S62..12","","CPRD_GOLD"
"29939","Ruptured berry aneurysm","G600.00","","CPRD_GOLD"
"30045","External capsule haemorrhage","G616.00","","CPRD_GOLD"
"30202","Intracerebral haemorrhage, intraventricular","G617.00","","CPRD_GOLD"
"31060","Intracerebral haemorrhage in hemisphere, unspecified","G61X.00","","CPRD_GOLD"
"31595","Cortical haemorrhage","G610.00","","CPRD_GOLD"
"31805","Other and unspecified intracranial haemorrhage","G62..00","","CPRD_GOLD"
"34694","Subdural and cerebral haemorrhage due to birth trauma","Q200.00","","CPRD_GOLD"
"35777","Intracranial nontraumatic haemorrhage of fetus and newborn","Q417.00","","CPRD_GOLD"
"35867","Intracranial haematoma following injury","S630.12","","CPRD_GOLD"
"36178","Extradural haemorrhage - nontraumatic","G620.00","","CPRD_GOLD"
"36559","Intracerebral haemorrhage in fetus or newborn","Q200011","","CPRD_GOLD"
"38043","Cerebral haematoma in fetus or newborn","Q200500","","CPRD_GOLD"
"38164","Cerebral injury due to birth trauma","Q200411","","CPRD_GOLD"
"38304","Closed traumatic subarachnoid haemorrhage","S620.00","","CPRD_GOLD"
"38330","Brain injury due to birth trauma NOS","Q200400","","CPRD_GOLD"
"40338","Internal capsule haemorrhage","G611.00","","CPRD_GOLD"
"40868","Birth brain damage NOS","Q200z11","","CPRD_GOLD"
"41910","Subarachnoid haemorrhage from basilar artery","G605.00","","CPRD_GOLD"
"42283","Other cerebral haemorrhage following injury NOS","S63z.00","","CPRD_GOLD"
"42331","Subarachnoid haemorrhage from anterior communicating artery","G603.00","","CPRD_GOLD"
"43005","Intracranial haemorrhage in fetus or newborn","Q200012","","CPRD_GOLD"
"43418","Epidural haematoma following injury","S624.11","","CPRD_GOLD"
"43451","Sequelae of other nontraumatic intracranial haemorrhage","G682.00","","CPRD_GOLD"
"43682","Evacuation of haematoma from cerebellum","7004200","","CPRD_GOLD"
"44479","Intracerebral haematoma in fetus or newborn","Q200511","","CPRD_GOLD"
"44740","Sequelae of subarachnoid haemorrhage","G680.00","","CPRD_GOLD"
"45002","Perinatal subarachnoid haemorrhage","Q412.00","","CPRD_GOLD"
"45421","Closed traumatic extradural haemorrhage","S624.00","","CPRD_GOLD"
"45734","Infantile posthaemorrhagic hydrocephalus","F117.00","","CPRD_GOLD"
"46316","Basal nucleus haemorrhage","G612.00","","CPRD_GOLD"
"46446","Local subdural haematoma due to birth trauma","Q200200","","CPRD_GOLD"
"46545","Cerebral haemorrhage following injury NOS","S62z.00","","CPRD_GOLD"
"47921","Oth cereb h'ge inj no open intracran wnd+>24hr LOC +recovery","S630400","","CPRD_GOLD"
"48149","Sequelae of intracerebral haemorrhage","G681.00","","CPRD_GOLD"
"48731","Cerebral haemorrhage due to birth injury","Q200700","","CPRD_GOLD"
"49363","Subdural haemorrhage unspecified, due to birth trauma","Q200100","","CPRD_GOLD"
"51504","Epidural haemorrhage","S626.00","","CPRD_GOLD"
"52526","Extradural haemorrhage in fetus or newborn","Q200600","","CPRD_GOLD"
"52968","Other cerebral haemorrhage following injury","S63..00","","CPRD_GOLD"
"53810","[X]Other intracerebral haemorrhage","Gyu6200","","CPRD_GOLD"
"53980","Traumatic subdural haematoma without open intracranial wound","S629000","","CPRD_GOLD"
"56007","Subarachnoid haemorrhage from carotid siphon and bifurcation","G601.00","","CPRD_GOLD"
"56638","Other cerebral h'ge after injury no open intracranial wound","S630.00","","CPRD_GOLD"
"56909","Intraventric (nontraumatic) haemorhage grade 3 fet newborn","Q411200","","CPRD_GOLD"
"57315","Intracerebral haemorrhage, multiple localized","G618.00","","CPRD_GOLD"
"57674","Intraventric (nontraumatic) haemorhage grade 2 fet newborn","Q411100","","CPRD_GOLD"
"57771","Intraventricular haemorrhage due to birth injury","Q411300","","CPRD_GOLD"
"57783","Intracerebral (nontraumatic) haemorrhage of fet and newborn","Q417000","","CPRD_GOLD"
"58545","Traumatic subarachnoid haemorrhage","S627.00","","CPRD_GOLD"
"59694","Intraventric (nontraumatic) haemorhage grade 1 fet newborn","Q411000","","CPRD_GOLD"
"60692","Subarachnoid haemorrhage from vertebral artery","G606.00","","CPRD_GOLD"
"62342","Bulbar haemorrhage","G615.00","","CPRD_GOLD"
"63360","Subarachnoid haemorrhage due to birth injury","Q412000","","CPRD_GOLD"
"63806","Subdural or cerebral haemorrhage due to birth trauma OS","Q200y00","","CPRD_GOLD"
"65745","[X]Other subarachnoid haemorrhage","Gyu6100","","CPRD_GOLD"
"66571","[X]Oth intracranial(nontraumatic)haemorrhages/fetus+newborn","Qyu5200","","CPRD_GOLD"
"66760","Oth cerebral h'ge inj no open intracranial wnd+no loss consc","S630100","","CPRD_GOLD"
"67184","Subdural or cerebral haemorrhage due to birth trauma NOS","Q200z00","","CPRD_GOLD"
"68800","Subdural h'ge inj no open intracranial wnd + unspec consc","S622000","","CPRD_GOLD"
"70312","Tentorial tear due to birth trauma","Q200300","","CPRD_GOLD"
"73471","Open traumatic extradural haemorrhage","S625.00","","CPRD_GOLD"
"73541","Extradural h'ge inj no open intracranial wnd + unspec consc","S624000","","CPRD_GOLD"
