"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"I60","Subarachnoid haemorrhage","I60","","ICD10"
"I600","Subarachnoid haemorrhage from carotid siphon and bifurcation","I60.0","","ICD10"
"I601","Subarachnoid haemorrhage from middle cerebral artery","I60.1","","ICD10"
"I602","Subarachnoid haemorrhage from anterior communicating artery","I60.2","","ICD10"
"I603","Subarachnoid haemorrhage from posterior communicating artery","I60.3","","ICD10"
"I604","Subarachnoid haemorrhage from basilar artery","I60.4","","ICD10"
"I605","Subarachnoid haemorrhage from vertebral artery","I60.5","","ICD10"
"I606","Subarachnoid haemorrhage from other intracranial arteries","I60.6","","ICD10"
"I607","Subarachnoid haemorrhage from intracranial artery, unspecified","I60.7","","ICD10"
"I608","Other subarachnoid haemorrhage","I60.8","","ICD10"
"I609","Subarachnoid haemorrhage, unspecified","I60.9","","ICD10"
"I61","Intracerebral haemorrhage","I61","","ICD10"
"I610","Intracerebral haemorrhage in hemisphere, subcortical","I61.0","","ICD10"
"I611","Intracerebral haemorrhage in hemisphere, cortical","I61.1","","ICD10"
"I612","Intracerebral haemorrhage in hemisphere, unspecified","I61.2","","ICD10"
"I613","Intracerebral haemorrhage in brain stem","I61.3","","ICD10"
"I614","Intracerebral haemorrhage in cerebellum","I61.4","","ICD10"
"I615","Intracerebral haemorrhage, intraventricular","I61.5","","ICD10"
"I616","Intracerebral haemorrhage, multiple localized","I61.6","","ICD10"
"I618","Other intracerebral haemorrhage","I61.8","","ICD10"
"I619","Intracerebral haemorrhage, unspecified","I61.9","","ICD10"
"I62","Other nontraumatic intracranial haemorrhage","I62","","ICD10"
"I620","Subdural haemorrhage (acute)(nontraumatic)","I62.0","","ICD10"
"I621","Nontraumatic extradural haemorrhage","I62.1","","ICD10"
"I629","Intracranial haemorrhage (nontraumatic), unspecified","I62.9","","ICD10"
"I690","Sequelae of subarachnoid haemorrhage","I69.0","","ICD10"
"I691","Sequelae of intracerebral haemorrhage","I69.1","","ICD10"
"I692","Sequelae of other nontraumatic intracranial haemorrhage","I69.2","","ICD10"
"P10","Intracranial laceration and haemorrhage due to birth injury","P10","","ICD10"
"P100","Subdural haemorrhage due to birth injury","P10.0","","ICD10"
"P101","Cerebral haemorrhage due to birth injury","P10.1","","ICD10"
"P102","Intraventricular haemorrhage due to birth injury","P10.2","","ICD10"
"P103","Subarachnoid haemorrhage due to birth injury","P10.3","","ICD10"
"P104","Tentorial tear due to birth injury","P10.4","","ICD10"
"P108","Other intracranial lacerations and haemorrhages due to birth injury","P10.8","","ICD10"
"P109","Unspecified intracranial laceration and haemorrhage due to birth injury","P10.9","","ICD10"
"P52","Intracranial nontraumatic haemorrhage of fetus and newborn","P52","","ICD10"
"P520","Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn","P52.0","","ICD10"
"P521","Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn","P52.1","","ICD10"
"P522","Intraventricular (nontraumatic) haemorrhage, grade 3 and grade 4, of fetus and newborn","P52.2","","ICD10"
"P523","Unspecified intraventricular (nontraumatic) haemorrhage of fetus and newborn","P52.3","","ICD10"
"P524","Intracerebral (nontraumatic) haemorrhage of fetus and newborn","P52.4","","ICD10"
"P525","Subarachnoid (nontraumatic) haemorrhage of fetus and newborn","P52.5","","ICD10"
"P526","Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn","P52.6","","ICD10"
"P528","Other intracranial (nontraumatic) haemorrhages of fetus and newborn","P52.8","","ICD10"
"P529","Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified","P52.9","","ICD10"
"S064","Epidural haemorrhage","S06.4","","ICD10"
"S0640","Epidural haemorrhage","S06.40","","ICD10"
"S0641","Epidural haemorrhage","S06.41","","ICD10"
"S065","Traumatic subdural haemorrhage","S06.5","","ICD10"
"S0650","Traumatic subdural haemorrhage","S06.50","","ICD10"
"S0651","Traumatic subdural haemorrhage","S06.51","","ICD10"
"S066","Traumatic subarachnoid haemorrhage","S06.6","","ICD10"
"S0660","Traumatic subarachnoid haemorrhage","S06.60","","ICD10"
"S0661","Traumatic subarachnoid haemorrhage","S06.61","","ICD10"
