"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"118689010","Cerebral thrombosis","G640.00","71444005","CPRD_AURUM"
"125470015","Cerebral embolism","G641.00","75543006","CPRD_AURUM"
"296931015","Phlebitis and thrombophlebitis of intracranial sinuses","F05..00","192753009","CPRD_AURUM"
"296932010","Embolism cavernous sinus","F050000","192754003","CPRD_AURUM"
"296934011","Embolism lateral sinus","F050200","192756001","CPRD_AURUM"
"296938014","Thrombosis of superior longitudinal sinus","F051100","192760003","CPRD_AURUM"
"296941017","Phlebitis of central nervous system venous sinuses","F052.00","192763001","CPRD_AURUM"
"296943019","Phlebitis of superior longitudinal sinus","F052100","192765008","CPRD_AURUM"
"296945014","Phlebitis transverse sinus","F052300","192767000","CPRD_AURUM"
"296947018","Thrombophlebitis of central nervous system venous sinuses","F053.00","192769002","CPRD_AURUM"
"296948011","Thrombophlebitis of cavernous sinus","F053000","192770001","CPRD_AURUM"
"300313017","Cerebral infarction due to embolism of precerebral arteries","G63y100","195186005","CPRD_AURUM"
"300322016","Cerebral infarction due to embolism of cerebral arteries","G641000","195190007","CPRD_AURUM"
"300363010","Anterior cerebral artery syndrome","G661.00","195210002","CPRD_AURUM"
"300364016","Posterior cerebral artery syndrome","G662.00","195211003","CPRD_AURUM"
"300396012","Occlusion and stenosis of anterior cerebral artery","G677100","195233001","CPRD_AURUM"
"300398013","Occlusion and stenosis of posterior cerebral artery","G677200","195234007","CPRD_AURUM"
"300399017","Occlusion and stenosis of cerebellar arteries","G677300","195235008","CPRD_AURUM"
"300411016","Sequelae of cerebral infarction","G683.00","195243003","CPRD_AURUM"
"345639010","Infarction - precerebral","G63..11","230692004","CPRD_AURUM"
"411518010","H/O: CVA","14A7.11","275526006","CPRD_AURUM"
"451133011","Left sided cerebral infarction","G64z200","307766002","CPRD_AURUM"
"451134017","Right sided cerebral infarction","G64z300","307767006","CPRD_AURUM"
"451371010","H/O: Stroke in last year","14AK.00","308067002","CPRD_AURUM"
"1221072019","Embolism of central nervous system venous sinus","F050.00","14246007","CPRD_AURUM"
"1222398015","Cerebral arterial occlusion","G64..00","20059004","CPRD_AURUM"
"907581000006119","[RFC] Stroke/CVA","","907581000006103","CPRD_AURUM"
"909171000006115","[RFC] CVA","","909171000006104","CPRD_AURUM"
"1573101000006112","Cerebral infarction with haemorrhagic transformation","","1573101000006108","CPRD_AURUM"
"1576261000006112","Cause of Death- Cerebral Infarct","","1576261000006108","CPRD_AURUM"
"1729331000006116","Cerebral venous thrombosis","","1729331000006100","CPRD_AURUM"
"2436731000000112","Old cerebral infarction on imaging","5C13.00","955491000000106","CPRD_AURUM"
"296936013","Embolism central nervous system venous sinus NOS","F050z00","14246007","CPRD_AURUM"
"296940016","Thrombosis of central nervous system venous sinus NOS","F051z00","192759008","CPRD_AURUM"
"296946010","Phlebitis of central nervous system venous sinus NOS","F052z00","192763001","CPRD_AURUM"
"345650013","Brainstem infarction NOS","G64z.11","95457000","CPRD_AURUM"
"345655015","Pure motor lacunar syndrome","G665.00","230699008","CPRD_AURUM"
"345658018","Pure sensory lacunar syndrome","G666.00","230700009","CPRD_AURUM"
"405339016","Stroke and cerebrovascular accident unspecified","G66..00","230690007","CPRD_AURUM"
"1227591017","[V]Personal history of stroke","ZV12511","275526006","CPRD_AURUM"
"57341000006119","Wallenberg syndrome","G64z100","78569004","CPRD_AURUM"
"100691000006118","Thrombosis cavernous sinus","F051000","89980009","CPRD_AURUM"
"100701000006118","Thrombosis lateral sinus","F051200","21258007","CPRD_AURUM"
"149571000006118","Sequelae of stroke,not specfd as h'morrhage or infarction","G68X.00","195239002","CPRD_AURUM"
"231561000006110","Phlebitis or thrombophlebitis of CNS venous sinus NOS","F05z.00","192753009","CPRD_AURUM"
"267311000006118","Occlusion+stenosis of multiple and bilat cerebral arteries","G677400","195236009","CPRD_AURUM"
"370701000006118","[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","Gyu6300","20059004","CPRD_AURUM"
"426321000006116","[X]Sequelae of stroke,not specfd as h'morrhage or infarction","Gyu6C00","195239002","CPRD_AURUM"
"524511000006116","Brain stem stroke syndrome","G663.00","195212005","CPRD_AURUM"
"524541000006117","Brainstem infarction","G64z000","95457000","CPRD_AURUM"
"542251000006112","Cereb infarct due cerebral venous thrombosis, nonpyogenic","G676000","195230003","CPRD_AURUM"
"542831000006116","Cerebral embolus","G641.11","75543006","CPRD_AURUM"
"543141000006110","Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","G6X..00","20059004","CPRD_AURUM"
"605491000006113","CVA - Cerebrovascular accident unspecified","G66..13","230690007","CPRD_AURUM"
"639231000006117","Embolus of central nervous system venous sinus","F050.11","14246007","CPRD_AURUM"
"809421000006116","H/O: CVA/stroke","14A7.00","275526006","CPRD_AURUM"
"370661000006114","[X]Cereb infarct due unsp occlus/stenos precerebr arteries","Gyu6G00","125081000119106","CPRD_AURUM"
"542261000006114","Cereb infarct due unsp occlus/stenos precerebr arteries","G6W..00","125081000119106","CPRD_AURUM"
"1227592012","[V]Personal history of cerebrovascular accident (CVA)","ZV12512","266995000","CPRD_AURUM"
"4057051000006112","Infarction of brain stem","","95457000","CPRD_AURUM"
"4768491000006118","Thrombosis of intracranial venous sinus","","192759008","CPRD_AURUM"
"6837051000006119","Basal ganglion stroke","","413102000","CPRD_AURUM"
"2818821000006111","Occlusion of cerebral artery","","20059004","CPRD_AURUM"
"4057041000006110","Brain stem stroke","","95457000","CPRD_AURUM"
"4056981000006115","Cerebral venous thrombosis","","95455008","CPRD_AURUM"
"4778201000006118","Right sided cerebral hemisphere cerebrovascular accident","","195217004","CPRD_AURUM"
"4056971000006118","Thrombosis of cerebral veins","","95455008","CPRD_AURUM"
"2837991000006111","Thrombosis of transverse sinus","","21258007","CPRD_AURUM"
"3728451000006116","Cerebral arterial embolism","","75543006","CPRD_AURUM"
"6018511000006117","Intracranial thrombophlebitis","","312586003","CPRD_AURUM"
"4778181000006119","Left sided cerebral hemisphere cerebrovascular accident","","195216008","CPRD_AURUM"
"3778021000006116","LMS - Lateral medullary syndrome","","78569004","CPRD_AURUM"
"3662321000006117","Cerebral arterial thrombosis","","71444005","CPRD_AURUM"
"4768601000006110","Thrombophlebitis of cavernous venous sinus","","192770001","CPRD_AURUM"
"2837981000006113","Thrombosis of lateral venous sinus","","21258007","CPRD_AURUM"
"3142511000006112","Juvenile myopathy, encephalopathy, lactic acidosis AND stroke","","39925003","CPRD_AURUM"
"4838751000006114","Neonatal cerebral ischemia","","206576006","CPRD_AURUM"
"3962581000006110","Thrombosis of cavernous venous sinus","","89980009","CPRD_AURUM"
"5011211000006112","Pure sensory lacunar infarction","","230700009","CPRD_AURUM"
"11878511000006113","Cerebrovascular accident due to occlusion of cerebral artery","","230691006","CPRD_AURUM"
"3662311000006113","Thrombosis of cerebral arteries","","71444005","CPRD_AURUM"
"5011161000006115","Lacunar stroke","","230698000","CPRD_AURUM"
"5011171000006110","LACI - Lacunar infarction","","230698000","CPRD_AURUM"
"4057031000006117","Brain stem infarct","","95457000","CPRD_AURUM"
"5974521000006116","History of stroke in last year","","308067002","CPRD_AURUM"
"2838001000006118","Cerebral venous thrombosis of lateral sinus","","21258007","CPRD_AURUM"
"12727431000006119","Cerebral infarction NOS","","682621000000105","CPRD_AURUM"
"884521000006115","Stroke/CVA - undefined","G66..98","685631000000102","CPRD_AURUM"
"1212072018","Occlusive stroke","","373606000","CPRD_AURUM"
"296950015","Thrombophlebitis lateral venous sinus","F053200","192772009","CPRD_AURUM"
"300370010","Left sided CVA","G667.00","195216008","CPRD_AURUM"
"300395011","Occlusion and stenosis of middle cerebral artery","G677000","195232006","CPRD_AURUM"
"158118014","Cerebellar infarction","G64z.12","95460007","CPRD_AURUM"
"395780010","Cerebral infarction NOS","G64z.00","432504007","CPRD_AURUM"
"122401000006115","Stroke unspecified","G66..12","230690007","CPRD_AURUM"
"5010981000006119","Stroke","","230690007","CPRD_AURUM"
"3662331000006119","CT - Cerebral thrombosis","","71444005","CPRD_AURUM"
"2725621000006114","Embolism of intracranial venous sinus","","14246007","CPRD_AURUM"
"5011191000006111","Pure motor lacunar infarction","","230699008","CPRD_AURUM"
"5011181000006113","LI - Lacunar infarction","","230698000","CPRD_AURUM"
"3777981000006119","Posterior inferior cerebellar artery syndrome","","78569004","CPRD_AURUM"
"5011021000006113","Cerebrovascular accident due to cerebral artery occlusion","","230691006","CPRD_AURUM"
"907591000006116","[RFC] Stroke","","907591000006100","CPRD_AURUM"
"908801000006114","[RFC] Stroke","","908801000006105","CPRD_AURUM"
"2474651019","Infarction of basal ganglia","G64z400","413102000","CPRD_AURUM"
"2475584018","Phlebitis lateral sinus","F052200","192767000","CPRD_AURUM"
"1235913017","Cerebral vein thrombosis","G67A.00","95455008","CPRD_AURUM"
"316818019","Neonatal cerebral ischaemia","Q488.00","206576006","CPRD_AURUM"
"296939018","Thrombosis transverse sinus","F051300","192761004","CPRD_AURUM"
