"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"569","Infarction - cerebral","G64..12","","CPRD_GOLD"
"1298","CVA unspecified","G66..11","","CPRD_GOLD"
"1469","Stroke and cerebrovascular accident unspecified","G66..00","","CPRD_GOLD"
"3149","Cerebral infarction NOS","G64z.00","","CPRD_GOLD"
"3585","Thrombosis lateral sinus","F051200","","CPRD_GOLD"
"5185","Lateral medullary syndrome","G64z111","","CPRD_GOLD"
"5273","Phlebitis of central nervous system venous sinuses","F052.00","","CPRD_GOLD"
"5363","CVA - cerebral artery occlusion","G64..11","","CPRD_GOLD"
"5602","Cerebellar infarction","G64z.12","","CPRD_GOLD"
"5871","H/O: stroke","14A7.12","","CPRD_GOLD"
"6116","CVA - Cerebrovascular accident unspecified","G66..13","","CPRD_GOLD"
"6155","Stroke due to cerebral arterial occlusion","G64..13","","CPRD_GOLD"
"6228","Sequelae of stroke,not specfd as h'morrhage or infarction","G68X.00","","CPRD_GOLD"
"6253","Stroke unspecified","G66..12","","CPRD_GOLD"
"6305","H/O: CVA","14A7.11","","CPRD_GOLD"
"7138","[V]Personal history of cerebrovascular accident (CVA)","ZV12512","","CPRD_GOLD"
"7780","Left sided CVA","G667.00","","CPRD_GOLD"
"8443","Brain stem stroke syndrome","G663.00","","CPRD_GOLD"
"8837","Cerebral arterial occlusion","G64..00","","CPRD_GOLD"
"9985","Left sided cerebral infarction","G64z200","","CPRD_GOLD"
"10504","Right sided cerebral infarction","G64z300","","CPRD_GOLD"
"12833","Right sided CVA","G668.00","","CPRD_GOLD"
"15019","Cerebral embolism","G641.00","","CPRD_GOLD"
"15252","Brainstem infarction NOS","G64z.11","","CPRD_GOLD"
"16517","Cerebral thrombosis","G640.00","","CPRD_GOLD"
"17322","Cerebellar stroke syndrome","G664.00","","CPRD_GOLD"
"18689","Middle cerebral artery syndrome","G660.00","","CPRD_GOLD"
"19260","Posterior cerebral artery syndrome","G662.00","","CPRD_GOLD"
"19280","Anterior cerebral artery syndrome","G661.00","","CPRD_GOLD"
"19348","[V]Personal history of stroke","ZV12511","","CPRD_GOLD"
"20161","Thrombosis of superior longitudinal sinus","F051100","","CPRD_GOLD"
"22006","Thrombosis cavernous sinus","F051000","","CPRD_GOLD"
"23671","Cerebral infarct due to thrombosis of precerebral arteries","G63y000","","CPRD_GOLD"
"24446","Cerebral infarction due to embolism of precerebral arteries","G63y100","","CPRD_GOLD"
"25615","Brainstem infarction","G64z000","","CPRD_GOLD"
"26424","Infarction of basal ganglia","G64z400","","CPRD_GOLD"
"27975","Cerebral infarction due to embolism of cerebral arteries","G641000","","CPRD_GOLD"
"28309","Thrombosis transverse sinus","F051300","","CPRD_GOLD"
"31390","Thrombosis of central nervous system venous sinuses","F051.00","","CPRD_GOLD"
"33499","Pure motor lacunar syndrome","G665.00","","CPRD_GOLD"
"33543","Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","G6X..00","","CPRD_GOLD"
"34135","H/O: CVA/stroke","14A7.00","","CPRD_GOLD"
"34758","Cerebral embolus","G641.11","","CPRD_GOLD"
"36568","Embolism of central nervous system venous sinus","F050.00","","CPRD_GOLD"
"36717","Cerebral infarction due to thrombosis of cerebral arteries","G640000","","CPRD_GOLD"
"37947","Nonpyogenic venous sinus thrombosis","G676.00","","CPRD_GOLD"
"39344","Cereb infarct due cerebral venous thrombosis, nonpyogenic","G676000","","CPRD_GOLD"
"39403","Sequelae of cerebral infarction","G683.00","","CPRD_GOLD"
"40758","Cereb infarct due unsp occlus/stenos precerebr arteries","G6W..00","","CPRD_GOLD"
"41180","Thrombophlebitis of central nervous system venous sinuses","F053.00","","CPRD_GOLD"
"47642","Wallenberg syndrome","G64z100","","CPRD_GOLD"
"49715","Phlebitis and thrombophlebitis of intracranial sinuses","F05..00","","CPRD_GOLD"
"51759","Occlusion and stenosis of middle cerebral artery","G677000","","CPRD_GOLD"
"51767","Pure sensory lacunar syndrome","G666.00","","CPRD_GOLD"
"53745","[X]Other cerebral infarction","Gyu6400","","CPRD_GOLD"
"55602","Occlusion and stenosis of cerebellar arteries","G677300","","CPRD_GOLD"
"55883","Thrombophlebitis of cavernous sinus","F053000","","CPRD_GOLD"
"55885","Embolism cavernous sinus","F050000","","CPRD_GOLD"
"56614","Neonatal cerebral ischaemia","Q488.00","","CPRD_GOLD"
"57495","Infarction - precerebral","G63..11","","CPRD_GOLD"
"57527","Occlusion and stenosis of anterior cerebral artery","G677100","","CPRD_GOLD"
"61366","Thrombosis of central nervous system venous sinus NOS","F051z00","","CPRD_GOLD"
"64467","Embolism superior longitudinal sinus","F050100","","CPRD_GOLD"
"65770","Occlusion and stenosis of posterior cerebral artery","G677200","","CPRD_GOLD"
"65855","Phlebitis or thrombophlebitis of CNS venous sinus NOS","F05z.00","","CPRD_GOLD"
"66873","H/O: Stroke in last year","14AK.00","","CPRD_GOLD"
"68697","Phlebitis of superior longitudinal sinus","F052100","","CPRD_GOLD"
"70455","Thrombophlebitis of superior longitudinal venous sinus","F053100","","CPRD_GOLD"
