"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"316821017","Neonatal cerebral leukomalacia","Q48A.00","206578007","CPRD_AURUM"
"1900591000006115","SCPE classif predominnt patt B.1 periventriculr leucomalacia","2Ba1000","914871000000104","CPRD_AURUM"
"5012271000006111","Periventricular leukoencephalopathy","","230769007","CPRD_AURUM"
"5012291000006112","PVL - Periventricular leukomalacia","","230769007","CPRD_AURUM"
"5012261000006116","Periventricular leucoencephalopathy","","230769007","CPRD_AURUM"
"345764018","Periventricular leucomalacia","Q48E.00","230769007","CPRD_AURUM"
"5012241000006115","PVL - Periventricular leucomalacia","","230769007","CPRD_AURUM"
"8328501000006117","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification B.3 - combination of periventricular leucomalacia and intraventricular haemorrhage sequelae","","914911000000102","CPRD_AURUM"
"8328461000006117","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification B.1 - periventricular leucomalacia","","914871000000104","CPRD_AURUM"
"4838761000006111","Neonatal cerebral leucomalacia","","206578007","CPRD_AURUM"
"1477387011","Periventricular leukomalacia","Q48E.11","230769007","CPRD_AURUM"
"5012251000006118","White matter necrosis","","230769007","CPRD_AURUM"
