"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"67753013","Artificial respiration","8734.00","40617009","CPRD_AURUM"
"190488018","Intubation of trachea","7L1R.00","112798008","CPRD_AURUM"
"282463019","Laryngeal intubation inhalat.","8763.00","182709001","CPRD_AURUM"
"363635011","Bi-level positive airways pressure therapy","8725.00","243142003","CPRD_AURUM"
"492700018","Mechanical ventilation","8721.00","40617009","CPRD_AURUM"
"2676342012","Bag valve mask ventilation","7458300","425447009","CPRD_AURUM"
"362111000000117","Invasive ventilation","7458000","226471000000101","CPRD_AURUM"
"372821000000110","Ventilatory support","7M36300","231821000000109","CPRD_AURUM"
"900981000006110","Endotrach. tube wrongly placed","TAy3.99","217011004","CPRD_AURUM"
"1760811000006117","Non-invasive ventilation using full face mask","","1760811000006101","CPRD_AURUM"
"1760821000006113","Non-invasive ventilation using mouthpiece","","1760821000006109","CPRD_AURUM"
"1760831000006111","Non-invasive ventilation using nasal mask","","1760831000006107","CPRD_AURUM"
"1760841000006118","Non-invasive ventilation using nasal pillow mask","","1760841000006102","CPRD_AURUM"
"1760851000006116","Bi-level positive airway pressure therapy","","243142003","CPRD_AURUM"
"1760861000006119","Volume controlled ventilation","","405609003","CPRD_AURUM"
"1760871000006114","Non-invasive ventilation using oral mask","","1760871000006105","CPRD_AURUM"
"1760881000006112","Non-invasive ventilation using total face mask","","1760881000006108","CPRD_AURUM"
"1760901000006114","Ventilator delivered tidal volume","","250874002","CPRD_AURUM"
"1763471000006115","Non-invasive ventilation therapy review","","1763471000006104","CPRD_AURUM"
"1763701000006116","Single-level positive airway pressure therapy","","1763701000006100","CPRD_AURUM"
"1775921000000111","Expiratory positive airway pressure","339v.00","699113009","CPRD_AURUM"
"1964891000006112","Equipment in use - positive pressure breathing ventilator","","1964891000006108","CPRD_AURUM"
"2122251000000113","Inspiratory positive airway pressure","8726.00","814021000000102","CPRD_AURUM"
"282423015","Endotracheal intubation NOS","871Z.00","112798008","CPRD_AURUM"
"282434017","Other resp. resuscitation","873..00","266700009","CPRD_AURUM"
"325195012","Failed or difficult intubation","SP2y300","718447001","CPRD_AURUM"
"66931000006119","Ventilation-mechanical","872..12","40617009","CPRD_AURUM"
"291961000006112","'Ventilation' pneumonitis","H357.00","48347002","CPRD_AURUM"
"361361000000111","Non-invasive ventilation","7458100","428311008","CPRD_AURUM"
"362151000000118","Other specified ventilation support","7458y00","266700009","CPRD_AURUM"
