"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"5533","Mechanical resp. assist. NOS","872Z.00","","CPRD_GOLD"
"6984","Failed or difficult intubation","SP2y300","","CPRD_GOLD"
"11332","Nasal ventilation therapy","Z6M4.00","","CPRD_GOLD"
"16499","Endotracheal intubation","871..00","","CPRD_GOLD"
"18704","ETT - Attention to endotracheal tube","Z918.11","","CPRD_GOLD"
"19075","Manual ventilation","Z6H..12","","CPRD_GOLD"
"21072","[V]Mechanically assisted ventilation","ZV46112","","CPRD_GOLD"
"22418","CPAP - Continuous positive airways pressure","8724.00","","CPRD_GOLD"
"26278","'Ventilation' pneumonitis","H357.00","","CPRD_GOLD"
"28444","CPAP - Continuous positive airways pressure","Z6M1.11","","CPRD_GOLD"
"32026","BIPAB - Bi-level positive airways pressure therapy","Z6M3.13","","CPRD_GOLD"
"32091","Inhalation anaesthetic using endotracheal intubation NEC","7M32100","","CPRD_GOLD"
"33740","Mechanical ventilation","8721.00","","CPRD_GOLD"
"34858","Ventilation-mechanical","872..12","","CPRD_GOLD"
"36749","CPAP - Continuous positive airways pressure therapy","Z6M1.13","","CPRD_GOLD"
"39927","Intermittent CPAP","Z6M1100","","CPRD_GOLD"
"40753","Positive pressure therapy","Z6M..00","","CPRD_GOLD"
"41629","Intermit.pos.pres.vent.","872..11","","CPRD_GOLD"
"41714","BIPAP - Biphasic pressure airway support","Z6M3.11","","CPRD_GOLD"
"43452","ET - Endotracheal tube lavage","Z918711","","CPRD_GOLD"
"44855","Artificial respiration","8734.00","","CPRD_GOLD"
"46576","Extubation","8713.11","","CPRD_GOLD"
"46987","Ventilation therapy complication NEC","SP3y300","","CPRD_GOLD"
"47461","IPPB - Intermittent positive pressure breathing therapy","Z6M2.11","","CPRD_GOLD"
"49584","Continuous CPAP","Z6M1200","","CPRD_GOLD"
"50135","Continuous positive airways pressure","Z6M1.00","","CPRD_GOLD"
"52468","Periodic CPAP","Z6M1300","","CPRD_GOLD"
"53061","Endotracheal resp. assistance","8722.00","","CPRD_GOLD"
"54162","Ventilation support","7458.00","","CPRD_GOLD"
"54584","Intermittent positive pressure breathing therapy","Z6M2.00","","CPRD_GOLD"
"56032","Mouth to mouth ventilation","8732.00","","CPRD_GOLD"
"56656","Endotracheal intubation NOS","871Z.00","","CPRD_GOLD"
"57335","Intermitt.positive pres.resp.","8723.00","","CPRD_GOLD"
"57483","Nebuliser ventilation","7458400","","CPRD_GOLD"
"60367","Closed cardiac massage+ventil.","8532.00","","CPRD_GOLD"
"60519","H/O: respirator dependence","14W1.00","","CPRD_GOLD"
"62420","Hand ventilation - bagging","Z6H..13","","CPRD_GOLD"
"63380","Continuous positive airways pressure therapy","Z6M1.12","","CPRD_GOLD"
"63680","Hand ventilation","Z6H..11","","CPRD_GOLD"
"64173","Mechanical assistance to resp.","872..00","","CPRD_GOLD"
"65597","Endotracheal tube insertion","8711.00","","CPRD_GOLD"
"65958","Changing endotracheal tube tapes","Z918100","","CPRD_GOLD"
"66252","Attention to endotracheal tube","Z918.00","","CPRD_GOLD"
"70097","[V]Respirator dependence","ZV46100","","CPRD_GOLD"
"70969","Intubation of trachea","7L1R.00","","CPRD_GOLD"
"71820","Emergency laryngeal intubation","8712.00","","CPRD_GOLD"
"72338","Removal of endotracheal tube","8713.00","","CPRD_GOLD"
"87337","Ventilatory support","7M36300","","CPRD_GOLD"
"89009","Dual pressure spontaneous ventilation support","Z6M3.00","","CPRD_GOLD"
"89155","Endotracheal intubation","7L1R100","","CPRD_GOLD"
"91121","Non-invasive ventilation","7458100","","CPRD_GOLD"
"91483","Ventilation support NOS","7458z00","","CPRD_GOLD"
"93165","[V]Iron lung dependence","ZV46111","","CPRD_GOLD"
"93414","Other specified ventilation support","7458y00","","CPRD_GOLD"
"93750","Bag valve mask ventilation","7458300","","CPRD_GOLD"
"93835","Changing endotracheal tube headband","Z918200","","CPRD_GOLD"
"94681","Intubation of trachea NOS","7L1Rz00","","CPRD_GOLD"
"95588","Invasive ventilation","7458000","","CPRD_GOLD"
"96561","Check endotracheal tube is secure","Z9F8500","","CPRD_GOLD"
"98083","Other specified intubation of trachea","7L1Ry00","","CPRD_GOLD"
"101769","Bi-level positive airways pressure therapy","Z6M3.12","","CPRD_GOLD"
"102862","Tracheal intubation using laryngeal mask airway","7L1R200","","CPRD_GOLD"
"103652","Bi-level positive airways pressure therapy","8725.00","","CPRD_GOLD"
"103836","Non-invasive ventilation therapy review","663i.00","","CPRD_GOLD"
"106193","Expiratory positive airway pressure","339v.00","","CPRD_GOLD"
"106527","Laryngeal intubation inhalat.","8763.00","","CPRD_GOLD"
"106691","Inspiratory positive airway pressure","8726.00","","CPRD_GOLD"
"110190","Endotracheal tube suction","Z918600","","CPRD_GOLD"
"110800","[X]Endotracheal tube wrongly placed during anaesthetic proc","U615300","","CPRD_GOLD"
"111694","Measure length of endotracheal tube","Z918400","","CPRD_GOLD"
"114746","Nasotracheal intubation","7L1R000","","CPRD_GOLD"
"115015","Check endotracheal tube position","Z9F8211","","CPRD_GOLD"
"115150","Reposition endotracheal tube","Z918500","","CPRD_GOLD"
"115191","Changing endotracheal tube","Z918300","","CPRD_GOLD"
