"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"265749013","Maintenance of proximal catheter of cerebroventricular shunt","7011000","171518007","CPRD_AURUM"
"265750013","Maintenance of distal catheter of cerebroventricular shunt","7011100","171519004","CPRD_AURUM"
"265753010","Renewal of valve of cerebroventricular shunt","7011400","171522002","CPRD_AURUM"
"345904013","Removal of ventriculoperitoneal shunt","7012111","230878007","CPRD_AURUM"
"414489014","Ventriculoperitoneal shunt-associated peritonitis","J558.00","277783004","CPRD_AURUM"
"445834018","Drainage of ventricle of brain using Holter valve","7016011","303647007","CPRD_AURUM"
"483604013","Creation of ventriculopleural shunt","7010200","27613000","CPRD_AURUM"
"1209785017","Ventriculoperitoneal shunt malfunction","","371077002","CPRD_AURUM"
"498981000006112","Attention to component of connection fr ventricle of brain","7011.00","265220000","CPRD_AURUM"
"741991000000112","Creation of ventriculovascular shunt","7010500","82762009","CPRD_AURUM"
"742511000000119","Endoscopic third ventriculostomy","7014100","441763001","CPRD_AURUM"
"903361000006111","Extracranial ventricular shunt","7010.99","171510000","CPRD_AURUM"
"903371000006116","Cranial ventriculostomy","7010099","265218003","CPRD_AURUM"
"903391000006115","Irrigation of ventric. shunt","7012099","6737003","CPRD_AURUM"
"903401000006118","Ex-cran.ventric.shunt removed","7012199","230878007","CPRD_AURUM"
"903411000006115","Therap.brain ventric.shunt asp","7012299","171529006","CPRD_AURUM"
"903421000006111","Ex-cran.ventric.shunt replaced","7012399","16900000","CPRD_AURUM"
"265745019","Creation of connection from ventricle of brain NOS","7010z00","171510000","CPRD_AURUM"
"265752017","Conversion of cerebroventricular shunt NEC","7012411","281589002","CPRD_AURUM"
"265758018","Other operations on connection from ventricle of brain","7012.00","302325008","CPRD_AURUM"
"265767018","Attention to cerebroventricular shunt NEC","7012500","450335000","CPRD_AURUM"
"265771015","Open drainage of ventricle of brain NEC","7013000","230869001","CPRD_AURUM"
"393891014","Revision of cerebroventricular shunt NEC","7012400","72912002","CPRD_AURUM"
"1221482011","Other operations on cerebroventricular shunt","7012.11","302325008","CPRD_AURUM"
"23471000006111","Other operation on connection from ventricle of brain OS","7012y00","302325008","CPRD_AURUM"
"67271000006111","Ventriculocisternostomy","7010000","265218003","CPRD_AURUM"
"498971000006114","Attention to component of cerebroventricular shunt","7011.11","302325008","CPRD_AURUM"
"499001000006110","Attention to component of connectn fr ventricle brain OS","7011y00","312834003","CPRD_AURUM"
"594191000006113","Conversion of cerebroventricular shunt NEC","7011300","281589002","CPRD_AURUM"
"600211000006112","Creation of connection from ventricle of brain OS","7010y00","171510000","CPRD_AURUM"
"600611000006110","Creation of ventriculoperitoneal shunt","7010300","47020004","CPRD_AURUM"
"759081000006117","Irrigation of cerebroventricular shunt","7012000","6737003","CPRD_AURUM"
"773171000006119","Insertion of Cordis ventriculoperitoneal shunt","7010311","47020004","CPRD_AURUM"
"773311000006114","Insertion of Hakim ventriculoperitoneal shunt","7010312","47020004","CPRD_AURUM"
"3259951000006110","Ventriculoperitoneal shunt","","47020004","CPRD_AURUM"
"2607631000006118","Irrigation of ventricular shunt","","6737003","CPRD_AURUM"
"3259981000006119","Creation of VP shunt","","47020004","CPRD_AURUM"
"3564001000006111","Mechanical complication of ventricular communicating shunt","","65433005","CPRD_AURUM"
"5905541000006118","Procedure on a brain ventricular shunt","","302325008","CPRD_AURUM"
"3686011000006110","Revision of ventricular shunt","","72912002","CPRD_AURUM"
"3222191000006110","Creation of shunt of right ventricle and distal pulmonary artery","","44777001","CPRD_AURUM"
"4644401000006115","Insertion of antisyphon device into ventricular shunt","","171520005","CPRD_AURUM"
"5653361000006116","Conversion of ventricular shunt","","281589002","CPRD_AURUM"
"6021851000006116","Maintenance of ventricular shunt","","312834003","CPRD_AURUM"
"5013541000006114","Ventricular tap","","230869001","CPRD_AURUM"
