"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"5308","Drainage of ventricle of brain NEC","7016000","","CPRD_GOLD"
"8529","Attention to ventriculoperitoneal shunt NOS","7011500","","CPRD_GOLD"
"9300","Creation of ventriculopleural shunt","7010200","","CPRD_GOLD"
"16190","Mechanical complication-ventricular(CSF) communicating shunt","SP02400","","CPRD_GOLD"
"16838","Other operations on cerebroventricular shunt","7012.11","","CPRD_GOLD"
"17957","Creation of ventriculoperitoneal shunt","7010300","","CPRD_GOLD"
"19510","Intracranial hypotension following ventricular shunting","F291000","","CPRD_GOLD"
"24143","Attention to component of cerebroventricular shunt","7011.11","","CPRD_GOLD"
"24394","Maintenance of distal catheter of cerebroventricular shunt","7011100","","CPRD_GOLD"
"25784","Attention to ventriculopleural shunt NOS","7011600","","CPRD_GOLD"
"27295","Creation of connection from ventricle of brain","7010.00","","CPRD_GOLD"
"27695","[V]Has cerebrospinal fluid shunt in situ","ZV45211","","CPRD_GOLD"
"29740","Renewal of valve of cerebroventricular shunt","7011400","","CPRD_GOLD"
"33396","Creation of connection from ventricle of brain NOS","7010z00","","CPRD_GOLD"
"33592","Open drainage of ventricle of brain NEC","7013000","","CPRD_GOLD"
"34739","Revision of cerebroventricular shunt NEC","7012400","","CPRD_GOLD"
"35762","Ventriculocisternostomy","7010000","","CPRD_GOLD"
"36170","Removal of cerebroventricular shunt","7012100","","CPRD_GOLD"
"36210","Other operations on connection from ventricle of brain","7012.00","","CPRD_GOLD"
"36424","Creation of subcutaneous cerebrospinal fluid reservoir","7010400","","CPRD_GOLD"
"38513","[V]Has cerebrospinal fluid drainage device in situ","ZV45200","","CPRD_GOLD"
"39405","H/O: CSF drainage device","14V3.00","","CPRD_GOLD"
"39856","Drainage of ventricle of brain using Holter valve","7016011","","CPRD_GOLD"
"40763","Insertion of Cordis ventriculoperitoneal shunt","7010311","","CPRD_GOLD"
"40764","Attention to cerebroventricular shunt NEC","7012500","","CPRD_GOLD"
"41922","Removal of ventriculoperitoneal shunt","7012111","","CPRD_GOLD"
"45931","Conversion of cerebroventricular shunt NEC","7011300","","CPRD_GOLD"
"45971","Attention to component of connection fr ventricle of brain","7011.00","","CPRD_GOLD"
"50682","Attention to component of connectn fr ventricle brain OS","7011y00","","CPRD_GOLD"
"54768","Torkildsen ventriculocisternostomy","7010011","","CPRD_GOLD"
"55931","Creation of connection from ventricle of brain OS","7010y00","","CPRD_GOLD"
"57056","Insertion of Hakim ventriculoperitoneal shunt","7010312","","CPRD_GOLD"
"59732","Irrigation of cerebroventricular shunt","7012000","","CPRD_GOLD"
"60084","Renewal of cerebroventricular shunt","7012300","","CPRD_GOLD"
"61844","Other operation on connection from ventricle of brain NOS","7012z00","","CPRD_GOLD"
"61980","Drainage of cerebrospinal fluid NEC","7045400","","CPRD_GOLD"
"62607","Aspiration of cerebroventricular shunt","7012200","","CPRD_GOLD"
"66116","Other operation on connection from ventricle of brain OS","7012y00","","CPRD_GOLD"
"67662","Insertion of antisyphon device into cerebroventricular shunt","7011200","","CPRD_GOLD"
"68581","Maintenance of proximal catheter of cerebroventricular shunt","7011000","","CPRD_GOLD"
"69685","[V]Has cerebrospinal fluid valve in situ","ZV45212","","CPRD_GOLD"
"97074","Creation of ventriculovascular shunt","7010500","","CPRD_GOLD"
"97191","Endoscopic third ventriculostomy","7014100","","CPRD_GOLD"
"98423","Attention to component of connectn fr ventricle brain NOS","7011z00","","CPRD_GOLD"
"105660","Ventriculoperitoneal shunt-associated peritonitis","J558.00","","CPRD_GOLD"
"107411","[V]Ventriculoperitoneal shunt catheter in situ","ZV45S00","","CPRD_GOLD"
"110604","Conversion of cerebroventricular shunt NEC","7012411","","CPRD_GOLD"
