"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"316199013","Spine dislocation due to birth trauma","Q204000","206221000","CPRD_AURUM"
"316201010","Spinal cord laceration due to birth trauma","Q204200","206223002","CPRD_AURUM"
"316216013","Cranial nerve injury due to birth trauma","Q207100","206234004","CPRD_AURUM"
"316221011","Cerebral oedema due to birth injury","Q208.00","206238001","CPRD_AURUM"
"316894018","[X]Birth injury to central nervous system, unspecified","Qyu2600","56110009","CPRD_AURUM"
"402208011","Brain injury due to birth trauma NOS","Q200400","240312009","CPRD_AURUM"
"316198017","Spine or spinal cord injury due to birth trauma","Q204.00","698499006","CPRD_AURUM"
"316203013","Spine or spinal cord injury due to birth trauma NOS","Q204z00","698499006","CPRD_AURUM"
"3881661000006119","Facial palsy as birth trauma","","84947004","CPRD_AURUM"
"4836221000006110","Dislocation of spine due to birth trauma","","206221000","CPRD_AURUM"
"7509161000006118","Spine injury due to birth trauma","","698499006","CPRD_AURUM"
"4836251000006118","Rupture of spinal cord due to birth trauma","","206223002","CPRD_AURUM"
"4836361000006114","Cerebral edema due to birth injury","","206238001","CPRD_AURUM"
"12451381000006111","Spine or spinal cord injury due to birth trauma","","206220004","CPRD_AURUM"
"894141000006115","Facial nerve injury - birth","Q205.99","84947004","CPRD_AURUM"
"513921000006111","Birth brain damage NOS","Q200z11","240312009","CPRD_AURUM"
"506303011","Facial nerve palsy due to birth trauma","Q205.00","84947004","CPRD_AURUM"
"514131000006113","Birth injury to central nervous system, unspecified","Q20X.00","56110009","CPRD_AURUM"
"316889018","[X]Other specified brain damage due to birth injury","Qyu2100","56110009","CPRD_AURUM"
"359984010","Cerebral injury due to birth trauma","Q200411","240312009","CPRD_AURUM"
"316202015","Spinal cord rupture due to birth trauma","Q204300","206224008","CPRD_AURUM"
"135381000006113","Spine fracture due to birth trauma","Q204100","64728002","CPRD_AURUM"
"894131000006113","Spine/spinal cord birth inj.","Q204.99","206220004","CPRD_AURUM"
