"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"26067","Facial nerve palsy due to birth trauma","Q205.00","","CPRD_GOLD"
"31857","Spine or spinal cord injury due to birth trauma","Q204.00","","CPRD_GOLD"
"38164","Cerebral injury due to birth trauma","Q200411","","CPRD_GOLD"
"38330","Brain injury due to birth trauma NOS","Q200400","","CPRD_GOLD"
"40868","Birth brain damage NOS","Q200z11","","CPRD_GOLD"
"61682","Cerebral oedema due to birth injury","Q208.00","","CPRD_GOLD"
"72399","Cranial nerve injury due to birth trauma","Q207100","","CPRD_GOLD"
"98603","Birth injury to central nervous system, unspecified","Q20X.00","","CPRD_GOLD"
"100378","Spine or spinal cord injury due to birth trauma NOS","Q204z00","","CPRD_GOLD"
"101243","Spine dislocation due to birth trauma","Q204000","","CPRD_GOLD"
"104183","Spine fracture due to birth trauma","Q204100","","CPRD_GOLD"
"110910","[X]Other specified brain damage due to birth injury","Qyu2100","","CPRD_GOLD"
