"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"316516014","Intraventricular haemorrhage due to birth injury","Q411300","206398001","CPRD_AURUM"
"316519019","Subarachnoid haemorrhage due to birth injury","Q412000","206399009","CPRD_AURUM"
"402206010","Cerebral haemorrhage unspecified, due to birth trauma","Q200000","240312009","CPRD_AURUM"
"894091000006111","Cerebral haemorrhage - birth","Q200.99","206196005","CPRD_AURUM"
"404771000006118","[X]Oth intracranial laceratns+haemorrhages due/birth injury","Qyu2000","206196005","CPRD_AURUM"
"4835771000006112","Local intracranial subdural hematoma due to birth trauma","","206191000","CPRD_AURUM"
"4837521000006110","Intracranial subarachnoid haemorrhage due to birth injury","","206399009","CPRD_AURUM"
"4835751000006119","Local subdural hematoma as birth trauma","","206191000","CPRD_AURUM"
"4835951000006116","Cerebral haemorrhage due to birth trauma","","206196005","CPRD_AURUM"
"4835941000006118","Cerebral hemorrhage due to birth trauma","","206196005","CPRD_AURUM"
"4835931000006111","Cerebral hemorrhage due to birth injury","","206196005","CPRD_AURUM"
"4835731000006114","Local subdural hematoma due to birth trauma","","206191000","CPRD_AURUM"
"4837531000006113","Intracranial subarachnoid hemorrhage due to birth injury","","206399009","CPRD_AURUM"
"4837511000006119","Subarachnoid hemorrhage due to birth injury","","206399009","CPRD_AURUM"
"316153011","Cerebral haemorrhage due to birth injury","Q200700","206196005","CPRD_AURUM"
"402209015","Subdural or cerebral haemorrhage due to birth trauma NOS","Q200z00","240312009","CPRD_AURUM"
"4835791000006113","Tentorial laceration due to birth trauma","","206192007","CPRD_AURUM"
"4835761000006117","Local intracranial subdural haematoma due to birth trauma","","206191000","CPRD_AURUM"
"4835711000006115","Subdural and cerebral hemorrhage due to birth trauma","","206188000","CPRD_AURUM"
"316140013","Subdural haemorrhage unspecified, due to birth trauma","Q200100","240312009","CPRD_AURUM"
"316141012","Local subdural haematoma due to birth trauma","Q200200","206191000","CPRD_AURUM"
"316143010","Tentorial tear due to birth trauma","Q200300","206192007","CPRD_AURUM"
"124261000006112","Subdural or cerebral haemorrhage due to birth trauma OS","Q200y00","240312009","CPRD_AURUM"
"4837491000006113","Intraventricular hemorrhage due to birth injury","","206398001","CPRD_AURUM"
"316130010","Subdural and cerebral haemorrhage due to birth trauma","Q200.00","206188000","CPRD_AURUM"
"4835741000006116","Local subdural haematoma as birth trauma","","206191000","CPRD_AURUM"
