"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"23447","Cerebral haemorrhage unspecified, due to birth trauma","Q200000","","CPRD_GOLD"
"34694","Subdural and cerebral haemorrhage due to birth trauma","Q200.00","","CPRD_GOLD"
"46446","Local subdural haematoma due to birth trauma","Q200200","","CPRD_GOLD"
"48731","Cerebral haemorrhage due to birth injury","Q200700","","CPRD_GOLD"
"49363","Subdural haemorrhage unspecified, due to birth trauma","Q200100","","CPRD_GOLD"
"57771","Intraventricular haemorrhage due to birth injury","Q411300","","CPRD_GOLD"
"63360","Subarachnoid haemorrhage due to birth injury","Q412000","","CPRD_GOLD"
"63806","Subdural or cerebral haemorrhage due to birth trauma OS","Q200y00","","CPRD_GOLD"
"67184","Subdural or cerebral haemorrhage due to birth trauma NOS","Q200z00","","CPRD_GOLD"
"70312","Tentorial tear due to birth trauma","Q200300","","CPRD_GOLD"
"112248","[X]Oth intracranial laceratns+haemorrhages due/birth injury","Qyu2000","","CPRD_GOLD"
