"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"93315012","Birth trauma","Q20..00","56110009","CPRD_AURUM"
"251811014","H/O: birth injury","14I1.11","161580006","CPRD_AURUM"
"316224015","Eye damage due to birth trauma","Q20y000","206241005","CPRD_AURUM"
"316228017","Testicular haematoma due to birth trauma","Q20y200","206243008","CPRD_AURUM"
"316229013","Vulval haematoma due to birth trauma","Q20y300","206244002","CPRD_AURUM"
"316233018","Liver rupture due to birth trauma","Q20y400","206245001","CPRD_AURUM"
"316238010","Traumatic glaucoma due to birth trauma","Q20y700","206248004","CPRD_AURUM"
"316241018","Torticollis due to birth injury","Q20y900","206250007","CPRD_AURUM"
"316245010","Subcutaneous fat necrosis due to birth injury","Q20yD00","206254003","CPRD_AURUM"
"359989017","Laryngeal injury due to birth trauma","Q20yz14","240316007","CPRD_AURUM"
"402216019","Spleen rupture due to birth trauma","Q20y500","268826001","CPRD_AURUM"
"411336011","Spleen injury due to birth trauma","Q20y511","275364007","CPRD_AURUM"
"316128013","Birth trauma, asphyxia and hypoxia","Q2...00","106012007","CPRD_AURUM"
"316306019","Other specified birth trauma, asphyxia or hypoxia","Q2y..00","277488009","CPRD_AURUM"
"359992018","Internal birth injury NEC","Q20yz11","56110009","CPRD_AURUM"
"402217011","Other specified birth trauma NOS","Q20yz00","56110009","CPRD_AURUM"
"367191000006117","[X]Birth trauma","Qyu2.00","56110009","CPRD_AURUM"
"4836451000006117","Vulval hematoma resulting from childbirth","","206244002","CPRD_AURUM"
"3411681000006116","Birth injury","","56110009","CPRD_AURUM"
"4541551000006114","History of birth trauma","","161580006","CPRD_AURUM"
"4836501000006115","Subconjunctival hemorrhage due to birth trauma","","206249007","CPRD_AURUM"
"4836441000006119","Vulval hematoma due to birth trauma","","206244002","CPRD_AURUM"
"4836431000006112","Vulval haematoma resulting from childbirth","","206244002","CPRD_AURUM"
"5600031000006110","Perinatal trauma","","277488009","CPRD_AURUM"
"4836391000006118","Liver subcapsular hematoma due to birth trauma","","206242003","CPRD_AURUM"
"12057731000006114","Scalpel wound of foetal skin due to delivery procedure","","767551003","CPRD_AURUM"
"894161000006116","Birth trauma NOS","Q20z.99","614301000000101","CPRD_AURUM"
"12728351000006115","Birth injury NOS","","614301000000101","CPRD_AURUM"
"316226018","Liver subcapsular haematoma due to birth trauma","Q20y100","206242003","CPRD_AURUM"
"316243015","Sternomastoid injury due to birth injury","Q20yB00","206252004","CPRD_AURUM"
"316244014","Birth injury to face","Q20yC00","206253009","CPRD_AURUM"
"251810010","H/O: birth trauma","14I1.00","161580006","CPRD_AURUM"
"316307011","Birth trauma, asphyxia or hypoxia NOS","Q2z..00","277488009","CPRD_AURUM"
"316893012","[X]Other specified birth injuries","Qyu2500","56110009","CPRD_AURUM"
"3411701000006118","Birth trauma of foetus","","56110009","CPRD_AURUM"
"3411691000006118","Birth trauma of fetus","","56110009","CPRD_AURUM"
"316254013","Birth injury NOS","Q20z.00","56110009","CPRD_AURUM"
"359990014","Kidney injury due to birth trauma","Q20yz12","240317003","CPRD_AURUM"
"359991013","Renal injury due to birth trauma","Q20yz13","240317003","CPRD_AURUM"
"359993011","Toe injury NEC due to birth trauma","Q20yz15","56110009","CPRD_AURUM"
"316223014","Other specified birth trauma","Q20y.00","56110009","CPRD_AURUM"
"1009551000006113","Cause of learning disabilities: Birth trauma","","1009551000006109","CPRD_AURUM"
"316240017","Subconjunctival haemorrhage due to birth trauma","Q20y800","206249007","CPRD_AURUM"
"359994017","Trunk injury NEC due to birth trauma","Q20yz16","56110009","CPRD_AURUM"
"316237017","Scalpel wound due to birth trauma","Q20y600","767551003","CPRD_AURUM"
"4836411000006118","Testicular hematoma due to birth trauma","","206243008","CPRD_AURUM"
