"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"5629","Birth injury NOS","Q20z.00","","CPRD_GOLD"
"15494","Birth trauma","Q20..00","","CPRD_GOLD"
"16958","H/O: birth injury","14I1.11","","CPRD_GOLD"
"18770","Renal injury due to birth trauma","Q20yz13","","CPRD_GOLD"
"31885","H/O: birth trauma","14I1.00","","CPRD_GOLD"
"32336","Toe injury NEC due to birth trauma","Q20yz15","","CPRD_GOLD"
"35174","Eye damage due to birth trauma","Q20y000","","CPRD_GOLD"
"40375","Subcutaneous fat necrosis due to birth injury","Q20yD00","","CPRD_GOLD"
"42944","Torticollis due to birth injury","Q20y900","","CPRD_GOLD"
"43595","Birth trauma, asphyxia and hypoxia","Q2...00","","CPRD_GOLD"
"45417","Sternomastoid injury due to birth injury","Q20yB00","","CPRD_GOLD"
"46344","Birth injury to face","Q20yC00","","CPRD_GOLD"
"55146","Spleen rupture due to birth trauma","Q20y500","","CPRD_GOLD"
"55879","Birth trauma, asphyxia or hypoxia NOS","Q2z..00","","CPRD_GOLD"
"57669","Scalpel wound due to birth trauma","Q20y600","","CPRD_GOLD"
"58978","Other specified birth trauma","Q20y.00","","CPRD_GOLD"
"63966","Vulval haematoma due to birth trauma","Q20y300","","CPRD_GOLD"
"66213","Kidney injury due to birth trauma","Q20yz12","","CPRD_GOLD"
"66527","Other specified birth trauma NOS","Q20yz00","","CPRD_GOLD"
"66818","Other specified birth trauma, asphyxia or hypoxia","Q2y..00","","CPRD_GOLD"
"67265","Testicular haematoma due to birth trauma","Q20y200","","CPRD_GOLD"
"92241","Laryngeal injury due to birth trauma","Q20yz14","","CPRD_GOLD"
"99704","Traumatic glaucoma due to birth trauma","Q20y700","","CPRD_GOLD"
"99893","Trunk injury NEC due to birth trauma","Q20yz16","","CPRD_GOLD"
"101355","Subconjunctival haemorrhage due to birth trauma","Q20y800","","CPRD_GOLD"
"106712","[X]Other specified birth injuries","Qyu2500","","CPRD_GOLD"
"108601","Liver subcapsular haematoma due to birth trauma","Q20y100","","CPRD_GOLD"
"111744","Liver rupture due to birth trauma","Q20y400","","CPRD_GOLD"
"114538","Spleen injury due to birth trauma","Q20y511","","CPRD_GOLD"
