"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"P15","Other birth injuries","P15","","ICD10"
"P150","Birth injury to liver","P15.0","","ICD10"
"P151","Birth injury to spleen","P15.1","","ICD10"
"P152","Sternomastoid injury due to birth injury","P15.2","","ICD10"
"P153","Birth injury to eye","P15.3","","ICD10"
"P154","Birth injury to face","P15.4","","ICD10"
"P155","Birth injury to external genitalia","P15.5","","ICD10"
"P156","Subcutaneous fat necrosis due to birth injury","P15.6","","ICD10"
"P158","Other specified birth injuries","P15.8","","ICD10"
"P159","Birth injury, unspecified","P15.9","","ICD10"
