"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"316206017","Birth plexus injury - whole plexus","Q206300","206228006","CPRD_AURUM"
"316212010","Birth injury to phrenic nerve","Q207000","206233005","CPRD_AURUM"
"316214011","Birth paralysis of phrenic nerve","Q207012","206233005","CPRD_AURUM"
"316217016","Peripheral nerve injury due to birth trauma","Q207200","206235003","CPRD_AURUM"
"316205018","Brachial palsy unspecified, due to birth trauma","Q206000","206226005","CPRD_AURUM"
"514291000006115","Birth plexus injury - Klumpke-Dejerine","Q206200","83886009","CPRD_AURUM"
"599491000006118","Cranial or peripheral nerve palsy due to birth trauma OS","Q207y00","56110009","CPRD_AURUM"
"3864781000006118","Klumpke's paralysis","","83886009","CPRD_AURUM"
"3864821000006112","Klumpke-Déjerine brachial plexus injury","","83886009","CPRD_AURUM"
"3864791000006115","Klumpke's palsy","","83886009","CPRD_AURUM"
"3864771000006116","Klumpke-Déjerine paralysis","","83886009","CPRD_AURUM"
"1234880015","Klumpke-Dejerine paralysis","Q206211","83886009","CPRD_AURUM"
"316207014","Other specified brachial plexus palsy due to birth trauma","Q206y00","206226005","CPRD_AURUM"
"316208016","Brachial plexus palsy due to birth trauma NOS","Q206z00","206226005","CPRD_AURUM"
"316209012","Other cranial or peripheral nerve palsy due to birth trauma","Q207.00","56110009","CPRD_AURUM"
"316892019","[X]Other brachial plexus birth injuries","Qyu2400","56110009","CPRD_AURUM"
"514281000006118","Birth plexus inj - Erb-Duchenne","Q206100","78141002","CPRD_AURUM"
"316213017","Phrenic nerve palsy in newborn","Q207011","206233005","CPRD_AURUM"
"367171000006118","[X]Birth injuries to other parts of peripheral nerv system","Qyu2700","206235003","CPRD_AURUM"
"316219018","Cranial or peripheral nerve palsy due to birth trauma NOS","Q207z00","56110009","CPRD_AURUM"
"894151000006118","Brachial plexus injury - birth","Q206.99","206226005","CPRD_AURUM"
"316204019","Brachial plexus palsy due to birth trauma","Q206.00","206226005","CPRD_AURUM"
"129679017","Erb-Duchenne paralysis","Q206111","78141002","CPRD_AURUM"
"129680019","Erb's palsy","Q206112","78141002","CPRD_AURUM"
"3770981000006115","Erb-Duchenne brachial plexus injury","","78141002","CPRD_AURUM"
