"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"3139","Birth plexus inj - Erb-Duchenne","Q206100","","CPRD_GOLD"
"18288","Erb's palsy","Q206112","","CPRD_GOLD"
"18969","Brachial plexus palsy due to birth trauma","Q206.00","","CPRD_GOLD"
"23890","Peripheral nerve injury due to birth trauma","Q207200","","CPRD_GOLD"
"36208","Birth plexus injury - whole plexus","Q206300","","CPRD_GOLD"
"37246","Birth plexus injury - Klumpke-Dejerine","Q206200","","CPRD_GOLD"
"40328","Brachial palsy unspecified, due to birth trauma","Q206000","","CPRD_GOLD"
"42156","Erb-Duchenne paralysis","Q206111","","CPRD_GOLD"
"43366","Phrenic nerve palsy in newborn","Q207011","","CPRD_GOLD"
"56403","Birth injury to phrenic nerve","Q207000","","CPRD_GOLD"
"71125","Other specified brachial plexus palsy due to birth trauma","Q206y00","","CPRD_GOLD"
"71911","Brachial plexus palsy due to birth trauma NOS","Q206z00","","CPRD_GOLD"
"94732","Cranial or peripheral nerve palsy due to birth trauma NOS","Q207z00","","CPRD_GOLD"
"103227","Other cranial or peripheral nerve palsy due to birth trauma","Q207.00","","CPRD_GOLD"
"112523","Birth paralysis of phrenic nerve","Q207012","","CPRD_GOLD"
"112955","[X]Other brachial plexus birth injuries","Qyu2400","","CPRD_GOLD"
