"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"316163015","Cephalhaematoma due to birth trauma","Q201100","206200000","CPRD_AURUM"
"316165010","Vacuum extraction chignon","Q201200","206201001","CPRD_AURUM"
"316170015","Bruising of scalp due to birth injury","Q201700","206204009","CPRD_AURUM"
"402212017","Monitoring injury to scalp during birth","Q201600","268822004","CPRD_AURUM"
"412975014","Electrode injury to scalp during birth","Q201611","276704001","CPRD_AURUM"
"412976010","Sampling injury to scalp during birth","Q201612","276705000","CPRD_AURUM"
"161941000006113","Scalp bruising, due to birth trauma","Q201500","206204009","CPRD_AURUM"
"534151000006111","Caput succedaneum due to birth trauma","Q201000","82729001","CPRD_AURUM"
"316162013","Scalp injuries due to birth trauma","Q201.00","37384000","CPRD_AURUM"
"316177017","Scalp injury due to birth trauma, NOS","Q201z00","37384000","CPRD_AURUM"
"316890010","[X]Other birth injuries to scalp","Qyu2200","37384000","CPRD_AURUM"
"5507421000006112","Fetal monitoring scalp injury","","268822004","CPRD_AURUM"
"3845951000006119","Swelling oedema of scalp during labour","","82729001","CPRD_AURUM"
"4836121000006117","Scalp bruising due to birth trauma","","206204009","CPRD_AURUM"
"4836091000006116","Massive subgaleal hematoma due to birth trauma","","206202008","CPRD_AURUM"
"4836101000006110","Massive subaponeurotic hematoma due to birth trauma","","206202008","CPRD_AURUM"
"5507441000006117","Foetal monitoring scalp injury","","268822004","CPRD_AURUM"
"4836051000006110","Massive subaponeurotic haemorrhage due to birth trauma","","206202008","CPRD_AURUM"
"4836071000006117","Massive subgaleal haematoma due to birth trauma","","206202008","CPRD_AURUM"
"4836041000006113","Massive subaponeurotic hemorrhage due to birth trauma","","206202008","CPRD_AURUM"
"3102391000006118","Birth injury to scalp","","37384000","CPRD_AURUM"
"4836081000006119","Massive subaponeurotic haematoma due to birth trauma","","206202008","CPRD_AURUM"
"4835991000006110","Cephalohematoma due to birth trauma","","206200000","CPRD_AURUM"
"4835981000006112","Cephalhematoma due to birth trauma","","206200000","CPRD_AURUM"
"12451751000006119","Scalp injuries due to birth trauma","","206199003","CPRD_AURUM"
"894101000006117","Scalp injury - birth","Q201.99","206199003","CPRD_AURUM"
"716761000006110","Massive epicranial subaponeurotic haemorrhage-birth trauma","Q201300","206202008","CPRD_AURUM"
"4836031000006115","Massive epicranial subaponeurotic hemorrhage due to birth trauma","","206202008","CPRD_AURUM"
"316176014","Other specified scalp injury due to birth trauma","Q201y00","37384000","CPRD_AURUM"
"4836061000006112","Massive subgaleal hemorrhage due to birth trauma","","206202008","CPRD_AURUM"
"3845941000006116","Swelling edema of scalp during labor","","82729001","CPRD_AURUM"
"4836011000006114","Massive subgaleal haemorrhage due to birth trauma","","206202008","CPRD_AURUM"
"316168012","Scalp abrasions due to birth trauma","Q201400","206203003","CPRD_AURUM"
"3852331000006117","Cephalhaematoma","","83095000","CPRD_AURUM"
"3852301000006113","Cephalohematoma","","83095000","CPRD_AURUM"
"3852281000006114","Foetal cephalhaematoma","","83095000","CPRD_AURUM"
"5588021000006119","Subgaleal hematoma","","276622005","CPRD_AURUM"
"5587941000006111","Subgaleal haemorrhage","","276622005","CPRD_AURUM"
"5588031000006116","Subgaleal haematoma","","276622005","CPRD_AURUM"
"3852311000006111","Cephalhematoma","","83095000","CPRD_AURUM"
"3852341000006110","Cephalohaematoma","","83095000","CPRD_AURUM"
"13638251000006110","Epicranial subaponeurotic haematoma","","784401006","CPRD_AURUM"
