"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"15461","Cephalhaematoma due to birth trauma","Q201100","","CPRD_GOLD"
"22096","Scalp injuries due to birth trauma","Q201.00","","CPRD_GOLD"
"28512","Caput succedaneum due to birth trauma","Q201000","","CPRD_GOLD"
"54326","Scalp bruising, due to birth trauma","Q201500","","CPRD_GOLD"
"54633","Vacuum extraction chignon","Q201200","","CPRD_GOLD"
"65034","[X]Other birth injuries to scalp","Qyu2200","","CPRD_GOLD"
"65447","Scalp abrasions due to birth trauma","Q201400","","CPRD_GOLD"
"67467","Other specified scalp injury due to birth trauma","Q201y00","","CPRD_GOLD"
"68935","Bruising of scalp due to birth injury","Q201700","","CPRD_GOLD"
"102266","Scalp injury due to birth trauma, NOS","Q201z00","","CPRD_GOLD"
"104636","Massive epicranial subaponeurotic haemorrhage-birth trauma","Q201300","","CPRD_GOLD"
"113480","Electrode injury to scalp during birth","Q201611","","CPRD_GOLD"
"114955","Monitoring injury to scalp during birth","Q201600","","CPRD_GOLD"
