"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"316178010","Fracture of clavicle due to birth trauma","Q202.00","206209004","CPRD_AURUM"
"316183019","Fracture of humerus due to birth trauma","Q203000","206211008","CPRD_AURUM"
"316188011","Fracture of femur due to birth trauma","Q203200","206213006","CPRD_AURUM"
"316190012","Fracture of skull due to birth trauma","Q203400","206215004","CPRD_AURUM"
"316191011","Birth dislocation of the shoulder","Q203500","206216003","CPRD_AURUM"
"411338012","Birth fracture of ulna","Q203112","275366009","CPRD_AURUM"
"894111000006119","Fracture of clavicle - birth","Q202.99","206209004","CPRD_AURUM"
"894121000006110","Skeletal injury NOS - birth","Q203.99","240314005","CPRD_AURUM"
"316192016","Other dislocation or subluxation due to birth trauma","Q203600","240314005","CPRD_AURUM"
"402213010","Other skeleton injury due to birth trauma","Q203.00","240314005","CPRD_AURUM"
"29491000006114","Other fractures due to birth trauma","Q203.11","240314005","CPRD_AURUM"
"36331000006113","Other birth fracture","Q203.12","240314005","CPRD_AURUM"
"792451000006117","Fracture due to birth trauma NEC","Q203y11","240314005","CPRD_AURUM"
"5146131000006116","Skeletal injury due to birth trauma","","240314005","CPRD_AURUM"
"316189015","Fracture of tibia or fibula due to birth trauma","Q203300","206214000","CPRD_AURUM"
"316891014","[X]Other birth injuries to skull","Qyu2300","56110009","CPRD_AURUM"
"5507451000006115","Fracture of radius and/or ulna due to birth trauma","","268824003","CPRD_AURUM"
"316197010","Skeleton injury due to birth trauma NOS","Q203z00","240314005","CPRD_AURUM"
"402214016","Fracture of radius or ulna due to birth trauma","Q203100","268824003","CPRD_AURUM"
"359988013","Fracture of nose due to birth trauma","Q203y12","240315006","CPRD_AURUM"
"402215015","Other specified skeleton injury due to birth trauma","Q203y00","240314005","CPRD_AURUM"
"12223181000006110","Fracture of ulna due to birth trauma","","275366009","CPRD_AURUM"
"4836171000006116","Fracture of tibia and/or fibula due to birth trauma","","206214000","CPRD_AURUM"
"411337019","Birth fracture of radius","Q203111","275365008","CPRD_AURUM"
