"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"12001","Other birth fracture","Q203.12","","CPRD_GOLD"
"34503","Other dislocation or subluxation due to birth trauma","Q203600","","CPRD_GOLD"
"39321","Fracture of nose due to birth trauma","Q203y12","","CPRD_GOLD"
"40124","Fracture of clavicle due to birth trauma","Q202.00","","CPRD_GOLD"
"45575","Fracture of humerus due to birth trauma","Q203000","","CPRD_GOLD"
"45847","Fracture of radius or ulna due to birth trauma","Q203100","","CPRD_GOLD"
"45859","Birth fracture of radius","Q203111","","CPRD_GOLD"
"47690","Other fractures due to birth trauma","Q203.11","","CPRD_GOLD"
"49179","Birth dislocation of the shoulder","Q203500","","CPRD_GOLD"
"49220","Fracture due to birth trauma NEC","Q203y11","","CPRD_GOLD"
"50553","Fracture of femur due to birth trauma","Q203200","","CPRD_GOLD"
"54567","Fracture of skull due to birth trauma","Q203400","","CPRD_GOLD"
"62354","Fracture of tibia or fibula due to birth trauma","Q203300","","CPRD_GOLD"
"71531","Other specified skeleton injury due to birth trauma","Q203y00","","CPRD_GOLD"
"72349","Other skeleton injury due to birth trauma","Q203.00","","CPRD_GOLD"
"93915","Birth fracture of ulna","Q203112","","CPRD_GOLD"
"115200","Skeleton injury due to birth trauma NOS","Q203z00","","CPRD_GOLD"
