"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"263319010","Infant breast fed","62P1.11","169741004","CPRD_AURUM"
"263333010","Bottle changed to breast","62PB.00","169751003","CPRD_AURUM"
"263628016","Breast fed at 10 days","6412.00","169968005","CPRD_AURUM"
"263634011","Breast fed at 6 weeks","6422.00","169973004","CPRD_AURUM"
"263641017","Breast fed at 3 months","6432.00","169979000","CPRD_AURUM"
"2474287016","Breast fed at birth","64e1.00","412729005","CPRD_AURUM"
"2548217015","Breast fed at 4 months","64f0.00","417268008","CPRD_AURUM"
"525191000006115","Breast fed at birth","","525191000006104","CPRD_AURUM"
"688621000000112","Breastfeeding at discharge from hospital","62PE.00","364991000000100","CPRD_AURUM"
"917351000006117","Breast feeding with supplement","","917351000006101","CPRD_AURUM"
"921121000006111","Breast + supp. fed at 10 days","","921121000006107","CPRD_AURUM"
"921161000006117","Breast fed at 6 weeks","","921161000006101","CPRD_AURUM"
"921171000006112","Breast fed + supp. at 6 weeks","","921171000006108","CPRD_AURUM"
"921211000006114","Breast fed at 3 months","","921211000006105","CPRD_AURUM"
"921261000006112","Breast fed at 6 months","","921261000006108","CPRD_AURUM"
"921271000006117","Breast + supp. fed at 6 months","","921271000006101","CPRD_AURUM"
"921321000006113","Breast fed at 9 months","","921321000006109","CPRD_AURUM"
"921331000006111","Breast + supp. fed at 9 months","","921331000006107","CPRD_AURUM"
"921381000006112","Breast fed at 1 year","","921381000006108","CPRD_AURUM"
"921391000006110","Breast + supp. fed at 1 year","","921391000006106","CPRD_AURUM"
"1708931000006115","Breast and supplement fed at 4 months","","1708931000006104","CPRD_AURUM"
"1873041000006114","Exclusively breast milk feeding","","1873041000006105","CPRD_AURUM"
"1912021000006114","Breast feeding at discharge from hospital","","1912021000006105","CPRD_AURUM"
"1912051000006117","Breast feeding at discharge from community midwife","","1912051000006101","CPRD_AURUM"
"2012201000006119","Breast fed at 2 years","","2012201000006103","CPRD_AURUM"
"2012191000006117","Breast fed at 8 months","","2012191000006101","CPRD_AURUM"
"2012181000006115","Breast fed at 7 months","","2012181000006104","CPRD_AURUM"
"2012231000006110","Breast and supplement fed at 5 months","","2012231000006106","CPRD_AURUM"
"2012171000006118","Breast fed at 5 months","","2012171000006102","CPRD_AURUM"
"2012241000006117","Breast and supplement fed at 7 months","","2012241000006101","CPRD_AURUM"
"2011981000006113","Breast and supplement fed at 2 days","","2011981000006109","CPRD_AURUM"
"2012261000006118","Breast and supplement fed at 2 years","","2012261000006102","CPRD_AURUM"
"2012221000006112","Breast and supplement fed at 4 weeks","","2012221000006108","CPRD_AURUM"
"2012251000006115","Breast and supplement fed at 8 months","","2012251000006104","CPRD_AURUM"
