"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"18380016","Amnionitis","L284.11","10573002","CPRD_AURUM"
"306810017","Amniotic cavity infection - delivered","L284100","199677008","CPRD_AURUM"
"306811018","Amniotic cavity infection with antenatal problem","L284200","199678003","CPRD_AURUM"
"315972015","Fetus or neonate affected by chorioamnionitis","Q027z00","206102001","CPRD_AURUM"
"316465018","Clostridial intra-amniotic fetal infection","Q408100","206365006","CPRD_AURUM"
"316466017","Eschericha coli intra-amniotic fetal infection","Q408200","206366007","CPRD_AURUM"
"306809010","Amniotic cavity infection unspecified","L284000","10573002","CPRD_AURUM"
"306812013","Amniotic cavity infection NOS","L284z00","10573002","CPRD_AURUM"
"670251000006119","Fetus or neonate affected by chorioamnionitis","Q027.00","206102001","CPRD_AURUM"
"769491000006117","Intra-amniotic fetal infection","Q408.00","11618000","CPRD_AURUM"
"769501000006113","Intra-amniotic fetal infection NOS","Q408z00","11618000","CPRD_AURUM"
"769511000006111","Intra-amniotic fetal infection, unspecified","Q408000","11618000","CPRD_AURUM"
"807391000006116","Group A haemolytic streptococcal intra-amniotic infect. NEC","Q408400","11618000","CPRD_AURUM"
"807411000006116","Group B haemolytic streptococcal intra-amniotic infect. NEC","Q408500","11618000","CPRD_AURUM"
"4837221000006112","Escherichia coli intra-amniotic foetal infection","","206366007","CPRD_AURUM"
"4834281000006119","Fetal or neonatal effect of chorioamnionitis","","206102001","CPRD_AURUM"
"2684911000006113","Intra-amniotic infection of foetus","","11618000","CPRD_AURUM"
"4837191000006117","Clostridial intra-amniotic foetal infection","","206365006","CPRD_AURUM"
"4837201000006119","Escherichia coli intra-amniotic fetal infection","","206366007","CPRD_AURUM"
"1495545018","Amniotic cavity infection","L284.00","10573002","CPRD_AURUM"
"315974019","Fetus or neonate affected by amnionitis","Q027100","206104000","CPRD_AURUM"
"20065015","Chorioamnionitis","L284.12","11612004","CPRD_AURUM"
"125351000006115","Staphylococcal intra-amniotic infection NEC","Q408300","11618000","CPRD_AURUM"
"4834301000006115","Foetal or neonatal effect of chorioamnionitis","","206102001","CPRD_AURUM"
"4834311000006117","Fetal or neonatal effect of amnionitis","","206104000","CPRD_AURUM"
"2668191000006113","Infection of amniotic cavity","","10573002","CPRD_AURUM"
