"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"13303","Group B haemolytic streptococcal intra-amniotic infect. NEC","Q408500","","CPRD_GOLD"
"26025","Chorioamnionitis","L284.12","","CPRD_GOLD"
"39324","Group A haemolytic streptococcal intra-amniotic infect. NEC","Q408400","","CPRD_GOLD"
"49169","Amnionitis","L284.11","","CPRD_GOLD"
"55152","Intra-amniotic fetal infection","Q408.00","","CPRD_GOLD"
"72732","Amniotic cavity infection","L284.00","","CPRD_GOLD"
"91193","Amniotic cavity infection - delivered","L284100","","CPRD_GOLD"
"95754","Intra-amniotic fetal infection NOS","Q408z00","","CPRD_GOLD"
"96416","Amniotic cavity infection NOS","L284z00","","CPRD_GOLD"
"96711","Eschericha coli intra-amniotic fetal infection","Q408200","","CPRD_GOLD"
"97240","Fetus or neonate affected by amnionitis","Q027100","","CPRD_GOLD"
"100664","Amniotic cavity infection unspecified","L284000","","CPRD_GOLD"
"102078","Fetus or neonate affected by chorioamnionitis","Q027z00","","CPRD_GOLD"
"105625","Fetus or neonate affected by chorioamnionitis","Q027.00","","CPRD_GOLD"
"113319","Amniotic cavity infection with antenatal problem","L284200","","CPRD_GOLD"
"113370","Clostridial intra-amniotic fetal infection","Q408100","","CPRD_GOLD"
