"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"B150","Hepatitis A with hepatic coma","B15.0","","ICD10"
"B160","Acute hepatitis B with delta-agent (coinfection) with hepatic coma","B16.0","","ICD10"
"B162","Acute hepatitis B without delta-agent with hepatic coma","B16.2","","ICD10"
"B190","Unspecified viral hepatitis with hepatic coma","B19.0","","ICD10"
"E035","Myxoedema coma","E03.5","","ICD10"
"E15X","Nondiabetic hypoglycaemic coma","E15","","ICD10"
"R40","Somnolence, stupor and coma","R40","","ICD10"
"R402","Coma, unspecified","R40.2","","ICD10"
"S067","Intracranial injury with prolonged coma","S06.7","","ICD10"
"S0670","Intracranial injury with prolonged coma","S06.70","","ICD10"
"S0671","Intracranial injury with prolonged coma","S06.71","","ICD10"
