"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"Q03","Congenital hydrocephalus","Q03","","ICD10"
"Q030","Malformations of aqueduct of Sylvius","Q03.0","","ICD10"
"Q031","Atresia of foramina of Magendie and Luschka","Q03.1","","ICD10"
"Q038","Other congenital hydrocephalus","Q03.8","","ICD10"
"Q039","Congenital hydrocephalus, unspecified","Q03.9","","ICD10"
"Q04","Other congenital malformations of brain","Q04","","ICD10"
"Q040","Congenital malformations of corpus callosum","Q04.0","","ICD10"
"Q041","Arhinencephaly","Q04.1","","ICD10"
"Q042","Holoprosencephaly","Q04.2","","ICD10"
"Q043","Other reduction deformities of brain","Q04.3","","ICD10"
"Q044","Septo-optic dysplasia","Q04.4","","ICD10"
"Q048","Other specified congenital malformations of brain","Q04.8","","ICD10"
"Q049","Congenital malformation of brain, unspecified","Q04.9","","ICD10"
"Q05","Spina bifida","Q05","","ICD10"
"Q050","Cervical spina bifida with hydrocephalus","Q05.0","","ICD10"
"Q051","Thoracic spina bifida with hydrocephalus","Q05.1","","ICD10"
"Q059","Spina bifida, unspecified","Q05.9","","ICD10"
"Q06","Other congenital malformations of spinal cord","Q06","","ICD10"
"Q060","Amyelia","Q06.0","","ICD10"
"Q061","Hypoplasia and dysplasia of spinal cord","Q06.1","","ICD10"
"Q068","Other specified congenital malformations of spinal cord","Q06.8","","ICD10"
"Q069","Congenital malformation of spinal cord, unspecified","Q06.9","","ICD10"
"Q07","Other congenital malformations of nervous system","Q07","","ICD10"
"Q070","Arnold-Chiari syndrome","Q07.0","","ICD10"
"Q078","Other specified congenital malformations of nervous system","Q07.8","","ICD10"
"Q079","Congenital malformation of nervous system, unspecified","Q07.9","","ICD10"
