"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"E70","Disorders of aromatic amino-acid metabolism","E70","","ICD10"
"E700","Classical phenylketonuria","E70.0","","ICD10"
"E701","Other hyperphenylalaninaemias","E70.1","","ICD10"
"E702","Disorders of tyrosine metabolism","E70.2","","ICD10"
"E708","Other disorders of aromatic amino-acid metabolism","E70.8","","ICD10"
"E709","Disorder of aromatic amino-acid metabolism, unspecified","E70.9","","ICD10"
"E71","Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism","E71","","ICD10"
"E710","Maple-syrup-urine disease","E71.0","","ICD10"
"E711","Other disorders of branched-chain amino-acid metabolism","E71.1","","ICD10"
"E712","Disorder of branched-chain amino-acid metabolism, unspecified","E71.2","","ICD10"
"E713","Disorders of fatty-acid metabolism","E71.3","","ICD10"
"E72","Other disorders of amino-acid metabolism","E72","","ICD10"
"E720","Disorders of amino-acid transport","E72.0","","ICD10"
"E721","Disorders of sulfur-bearing amino-acid metabolism","E72.1","","ICD10"
"E722","Disorders of urea cycle metabolism","E72.2","","ICD10"
"E723","Disorders of lysine and hydroxylysine metabolism","E72.3","","ICD10"
"E724","Disorders of ornithine metabolism","E72.4","","ICD10"
"E725","Disorders of glycine metabolism","E72.5","","ICD10"
"E728","Other specified disorders of amino-acid metabolism","E72.8","","ICD10"
"E729","Disorder of amino-acid metabolism, unspecified","E72.9","","ICD10"
"E74","Other disorders of carbohydrate metabolism","E74","","ICD10"
"E740","Glycogen storage disease","E74.0","","ICD10"
"E741","Disorders of fructose metabolism","E74.1","","ICD10"
"E742","Disorders of galactose metabolism","E74.2","","ICD10"
"E743","Other disorders of intestinal carbohydrate absorption","E74.3","","ICD10"
"E744","Disorders of pyruvate metabolism and gluconeogenesis","E74.4","","ICD10"
"E748","Other specified disorders of carbohydrate metabolism","E74.8","","ICD10"
"E749","Disorder of carbohydrate metabolism, unspecified","E74.9","","ICD10"
"E75","Disorders of sphingolipid metabolism and other lipid storage disorders","E75","","ICD10"
"E750","GM? gangliosidosis","E75.0","","ICD10"
"E751","Other gangliosidosis","E75.1","","ICD10"
"E752","Other sphingolipidosis","E75.2","","ICD10"
"E753","Sphingolipidosis, unspecified","E75.3","","ICD10"
"E754","Neuronal ceroid lipofuscinosis","E75.4","","ICD10"
"E755","Other lipid storage disorders","E75.5","","ICD10"
"E756","Lipid storage disorder, unspecified","E75.6","","ICD10"
"E76","Disorders of glycosaminoglycan metabolism","E76","","ICD10"
"E760","Mucopolysaccharidosis, type I","E76.0","","ICD10"
"E761","Mucopolysaccharidosis, type II","E76.1","","ICD10"
"E762","Other mucopolysaccharidoses","E76.2","","ICD10"
"E763","Mucopolysaccharidosis, unspecified","E76.3","","ICD10"
"E768","Other disorders of glucosaminoglycan metabolism","E76.8","","ICD10"
"E769","Disorder of glucosaminoglycan metabolism, unspecified","E76.9","","ICD10"
"G711","Myotonic disorders","G71.1","","ICD10"
"G712","Congenital myopathies","G71.2","","ICD10"
"G713","Mitochondrial myopathy, not elsewhere classified","G71.3","","ICD10"
"P941","Congenital hypertonia","P94.1","","ICD10"
"P942","Congenital hypotonia","P94.2","","ICD10"
"Q90","Down syndrome","Q90","","ICD10"
"Q900","Trisomy 21, meiotic nondisjunction","Q90.0","","ICD10"
"Q901","Trisomy 21, mosaicism (mitotic nondisjunction)","Q90.1","","ICD10"
"Q902","Trisomy 21, translocation","Q90.2","","ICD10"
"Q909","Down syndrome, unspecified","Q90.9","","ICD10"
"Q91","Edwards' syndrome and Patau syndrome","Q91","","ICD10"
"Q910","Trisomy 18, meiotic nondisjunction","Q91.0","","ICD10"
"Q911","Trisomy 18, mosaicism (mitotic nondisjunction)","Q91.1","","ICD10"
"Q912","Trisomy 18, translocation","Q91.2","","ICD10"
"Q913","Edwards' syndrome, unspecified","Q91.3","","ICD10"
"Q914","Trisomy 13, meiotic nondisjunction","Q91.4","","ICD10"
"Q915","Trisomy 13, mosaicism (mitotic nondisjunction)","Q91.5","","ICD10"
"Q916","Trisomy 13, translocation","Q91.6","","ICD10"
"Q917","Patau syndrome, unspecified","Q91.7","","ICD10"
