"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"A50","Congenital syphilis","A50","","ICD10"
"A500","Early congenital syphilis, symptomatic","A50.0","","ICD10"
"A501","Early congenital syphilis, latent","A50.1","","ICD10"
"A502","Early congenital syphilis, unspecified","A50.2","","ICD10"
"A503","Late congenital syphilitic oculopathy","A50.3","","ICD10"
"A504","Late congenital neurosyphilis [juvenile neurosyphilis]","A50.4","","ICD10"
"A505","Other late congenital syphilis, symptomatic","A50.5","","ICD10"
"A506","Late congenital syphilis, latent","A50.6","","ICD10"
"A507","Late congenital syphilis, unspecified","A50.7","","ICD10"
"A509","Congenital syphilis, unspecified","A50.9","","ICD10"
"P35","Congenital viral diseases","P35","","ICD10"
"P350","Congenital rubella syndrome","P35.0","","ICD10"
"P351","Congenital cytomegalovirus infection","P35.1","","ICD10"
"P352","Congenital herpesviral [herpes simplex] infection","P35.2","","ICD10"
"P358","Other congenital viral diseases","P35.8","","ICD10"
"P359","Congenital viral disease, unspecified","P35.9","","ICD10"
"P371","Congenital toxoplasmosis","P37.1","","ICD10"
