"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"126","O/E - Underweight","22A6.00","","CPRD_GOLD"
"303","[D]Failure to thrive","R034200","","CPRD_GOLD"
"1164","[D]Lack of growth","R034300","","CPRD_GOLD"
"3646","[D]Failure to gain weight","R034100","","CPRD_GOLD"
"5649","O/E - failure to thrive","22I2.00","","CPRD_GOLD"
"6593","O/E - lack of growth","22I5.00","","CPRD_GOLD"
"12530","[D]Underweight","R034800","","CPRD_GOLD"
"35497","Child weight < 3rd centile","6471.00","","CPRD_GOLD"
"54024","Child weight < 0.4th centile","6479.00","","CPRD_GOLD"
"61646","Child weight = 2nd centile","647C.00","","CPRD_GOLD"
"67103","Child weight = 0.4th centile","647A.00","","CPRD_GOLD"
"69954","Child weight 0.5th - 1.9th centile","647B.00","","CPRD_GOLD"
"93416","Physical growth is cause for concern","22IC.00","","CPRD_GOLD"
"93686","[D]Non-organic failure to thrive","R034900","","CPRD_GOLD"
"104874","Dietary advice for failure to thrive","ZC2CE00","","CPRD_GOLD"
"108108","Inadequate growth rate","222X.00","","CPRD_GOLD"
