"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1437","[D]Incontinence of faeces","R076.00","","CPRD_GOLD"
"2134","[D]Encopresis NOS","R076000","","CPRD_GOLD"
"3381","Incontinent of faeces","19E3.00","","CPRD_GOLD"
"5196","Double incontinence","16F..00","","CPRD_GOLD"
"6083","Incontinent of faeces symptom","19E3.11","","CPRD_GOLD"
"7514","Soiling symptom","19E2.12","","CPRD_GOLD"
"7874","Encopresis symptom","19E2.11","","CPRD_GOLD"
"13426","Bowels: incontinent","3930.00","","CPRD_GOLD"
"13429","Bowels: occasional accident","3931.00","","CPRD_GOLD"
"15555","[D]Incontinence of faeces NOS","R076z00","","CPRD_GOLD"
"27623","[D]Sphincter ani incontinence","R076100","","CPRD_GOLD"
"29557","Soiling - encopresis","19E2.00","","CPRD_GOLD"
