"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"397915018","Soiling - encopresis","19E2.00","267054006","CPRD_AURUM"
"411264016","Soiling symptom","19E2.12","275300000","CPRD_AURUM"
"419025011","Encopresis symptom","19E2.11","281103008","CPRD_AURUM"
"1233452016","Bowels: incontinent","3930.00","72042002","CPRD_AURUM"
"770021000033112","Incontinence Anal Plug","","770021000033108","CPRD_AURUM"
"882621000006111","Encopresis","E277.99","302752001","CPRD_AURUM"
"906121000006111","[RFC] Encopresis","","906121000006107","CPRD_AURUM"
"908621000006115","[RFC] Encopresis","","908621000006104","CPRD_AURUM"
"908931000006111","[RFC] Incontinence both urinary & bowel","","908931000006107","CPRD_AURUM"
"909041000006112","[RFC] Bowel incontinence","","909041000006108","CPRD_AURUM"
"917541000006111","Bladder: faecal incontinence","","917541000006107","CPRD_AURUM"
"926021000006116","Bowels: incontinent","","926021000006100","CPRD_AURUM"
"926031000006118","Bowels: occasional accident","","926031000006102","CPRD_AURUM"
"961971000006115","Incontinent of stool","","961971000006104","CPRD_AURUM"
"1936411000006118","Bowels: incontinence protection worn","","1936411000006102","CPRD_AURUM"
"1936591000006110","Degree of bowel incontinence: severe","","1936591000006106","CPRD_AURUM"
"1936601000006119","Total bowel incontinence","","1936601000006103","CPRD_AURUM"
"317486013","[D]Incontinence of faeces","R076.00","72042002","CPRD_AURUM"
"317487016","[D]Encopresis NOS","R076000","302690004","CPRD_AURUM"
"317488014","[D]Sphincter ani incontinence","R076100","271839005","CPRD_AURUM"
"781771000006112","Incontinent of faeces symptom","19E3.11","72042002","CPRD_AURUM"
"3672021000006111","Incontinent of faeces","","72042002","CPRD_AURUM"
"3671971000006116","Bowel incontinence","","72042002","CPRD_AURUM"
"3671991000006115","Involuntary stool","","72042002","CPRD_AURUM"
"3672011000006115","Incontinent of feces","","72042002","CPRD_AURUM"
"1936481000006113","Daily experiences soiled underwear","","1936481000006109","CPRD_AURUM"
"1936571000006114","Degree of bowel incontinence: mild","","1936571000006105","CPRD_AURUM"
"1936891000006113","Frequency of faecal incontinence","","1936891000006109","CPRD_AURUM"
"256943014","Bowels: occasional accident","3931.00","165230005","CPRD_AURUM"
"781761000006117","Incontinent of faeces","19E3.00","72042002","CPRD_AURUM"
"317489018","[D]Incontinence of faeces NOS","R076z00","72042002","CPRD_AURUM"
"1936491000006111","Daily experiences soiled pads","","1936491000006107","CPRD_AURUM"
"1936561000006119","Degree of bowel incontinence","","1936561000006103","CPRD_AURUM"
"1936581000006112","Degree of bowel incontinence: moderate","","1936581000006108","CPRD_AURUM"
"1936881000006110","Incontinent of faeces - whole formed stool","","1936881000006106","CPRD_AURUM"
"503840017","Double incontinence","16F..00","78459008","CPRD_AURUM"
"3776311000006113","Double incontinence - urine and stool","","78459008","CPRD_AURUM"
"3671981000006118","Incontinence of feces","","72042002","CPRD_AURUM"
"8263501000006110","Night time faecal incontinence","","815541000000101","CPRD_AURUM"
"8263411000006112","Daytime faecal incontinence","","815491000000105","CPRD_AURUM"
"5585921000006113","Soiling","","276484003","CPRD_AURUM"
"7219401000006115","Fecal fluid leakage","","439158007","CPRD_AURUM"
"8045151000006116","Fecal incontinence with fecal urgency","","142251000119102","CPRD_AURUM"
"8045141000006118","Faecal incontinence with faecal urgency","","142251000119102","CPRD_AURUM"
"7219391000006117","Faecal fluid leakage","","439158007","CPRD_AURUM"
"8045131000006111","Fecal soiling co-occurrent and due to fecal incontinence","","142241000119104","CPRD_AURUM"
"5089431000006115","Perineal soiling","","236079006","CPRD_AURUM"
"5089461000006112","Neuromyopathic faecal incontinence","","236080009","CPRD_AURUM"
"6459921000006114","Idiopathic faecal incontinence","","386707000","CPRD_AURUM"
"8045121000006113","Faecal soiling co-occurrent and due to faecal incontinence","","142241000119104","CPRD_AURUM"
"8465811000006112","Complete faecal incontinence","","1086911000119107","CPRD_AURUM"
