"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"208698016","Total urinary incontinence","","129853007","CPRD_AURUM"
"252112018","H/O: stress incontinence","1593.00","161794005","CPRD_AURUM"
"282903011","Incontinence care","8C14.00","183001000","CPRD_AURUM"
"448260011","Seen by continence nurse","9Nl8.00","305737001","CPRD_AURUM"
"507635014","Urge incontinence of urine","1A26.00","87557004","CPRD_AURUM"
"1222092012","Continence care","8C14.11","183001000","CPRD_AURUM"
"1777475010","Overflow incontinence of urine","","397878005","CPRD_AURUM"
"2533410015","Referral to incontinence clinic","8HTX.00","415274007","CPRD_AURUM"
"3035332015","Mixed urinary incontinence","","413343005","CPRD_AURUM"
"583021000033113","Incontinence Pad","","583021000033109","CPRD_AURUM"
"691921000033116","Incontinence Drainage Bags","","691921000033100","CPRD_AURUM"
"698921000033110","Incontinence Bags","","698921000033106","CPRD_AURUM"
"741921000033115","Incontinence Belt","","741921000033104","CPRD_AURUM"
"745261000000114","Introduction of transobturator sling","7B38900","378411000000100","CPRD_AURUM"
"819231000033115","Payne Incontiaid","","819231000033104","CPRD_AURUM"
"831121000006116","Referral to continence advisor","","831121000006100","CPRD_AURUM"
"908931000006111","[RFC] Incontinence both urinary & bowel","","908931000006107","CPRD_AURUM"
"909351000006111","[RFC] Incontinence","","909351000006107","CPRD_AURUM"
"910631000006118","[RFC] Continence care & advice","","910631000006102","CPRD_AURUM"
"917531000006118","Bladder: urge incontinence","","917531000006102","CPRD_AURUM"
"917551000006113","Bladder: incontinence due to childbirth","","917551000006109","CPRD_AURUM"
"917561000006110","Bladder: incontinence due to prolapse","","917561000006106","CPRD_AURUM"
"917571000006115","Bladder: overflow incontinence","","917571000006104","CPRD_AURUM"
"918171000006114","Stress incontinence","","918171000006105","CPRD_AURUM"
"918181000006112","Urge incontinence of urine","","918181000006108","CPRD_AURUM"
"961981000006117","Incontinent of urine","","961981000006101","CPRD_AURUM"
"1775341000006112","Referred to Continence Service","","1775341000006108","CPRD_AURUM"
"1776551000006113","Reason for referral: Continence Problems","","1776551000006109","CPRD_AURUM"
"1787461000006119","Continence/catheter care equipment at home","","1787461000006103","CPRD_AURUM"
"1873271000006112","Care contact service: continence advice","","1873271000006108","CPRD_AURUM"
"1873281000006110","Care contact service: continence aids","","1873281000006106","CPRD_AURUM"
"1936331000006117","H/O: continence surgery","","1936331000006101","CPRD_AURUM"
"1936401000006116","Bladder: incontinence protection worn","","1936401000006100","CPRD_AURUM"
"1936441000006119","Number of incontinence pads used in 24 hours","","1936441000006103","CPRD_AURUM"
"1936521000006113","Degree of urinary incontinence","","1936521000006109","CPRD_AURUM"
"1936541000006118","Degree of urinary incontinence: moderate","","1936541000006102","CPRD_AURUM"
"1936551000006116","Degree of urinary incontinence: severe","","1936551000006100","CPRD_AURUM"
