"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1929","Stress incontinence","1A24.00","","CPRD_GOLD"
"2739","Incontinence care","8C14.00","","CPRD_GOLD"
"3182","Stress incontinence","K198.00","","CPRD_GOLD"
"3283","[D]Incontinence of urine","R083.00","","CPRD_GOLD"
"3887","Urge incontinence of urine","1A26.00","","CPRD_GOLD"
"4202","Colposuspension of bladder neck","7B31200","","CPRD_GOLD"
"5196","Double incontinence","16F..00","","CPRD_GOLD"
"5844","Stress incontinence - symptom","1A24.11","","CPRD_GOLD"
"6161","Incontinence of urine","1A23.00","","CPRD_GOLD"
"12138","Continence care","8C14.11","","CPRD_GOLD"
"13421","Bladder: incontinent","3940.00","","CPRD_GOLD"
"13422","Bladder: occasional accident","3941.00","","CPRD_GOLD"
"15400","[D]Incontinence of urine NOS","R083z00","","CPRD_GOLD"
"17320","[D] Urge incontinence","R083200","","CPRD_GOLD"
"17620","Stress incontinence - female","K586.00","","CPRD_GOLD"
"17637","Incontinence control","8D7..12","","CPRD_GOLD"
"17771","Burch colposuspension","7B31211","","CPRD_GOLD"
"22095","Seen by continence nurse","ZLA2400","","CPRD_GOLD"
"25899","Referral to incontinence clinic","8HTX.00","","CPRD_GOLD"
"25901","Referral to continence nurse","ZL62400","","CPRD_GOLD"
"29192","Referral to continence nurse","8H7w.00","","CPRD_GOLD"
"31220","[D]Urethral sphincter incontinence","R083100","","CPRD_GOLD"
"45492","Under care of continence nurse","ZL22400","","CPRD_GOLD"
"45495","Provision of incontinence appliance","Z9EA.00","","CPRD_GOLD"
"46614","Procedures to aid continence","Z1J..00","","CPRD_GOLD"
"48601","Incontinence control","8D71.00","","CPRD_GOLD"
"52763","[X]Other specified urinary incontinence","Kyu5A00","","CPRD_GOLD"
"94021","Insertion retropubic dev fem stress urinary incontinence NEC","7B33C00","","CPRD_GOLD"
"94673","Seen by continence nurse","9Nl8.00","","CPRD_GOLD"
"97037","Introduction of transobturator sling","7B38900","","CPRD_GOLD"
"98767","Insertion retropubic device stress urinary incontinence NEC","7B33800","","CPRD_GOLD"
"106548","Continence care equipment available at home","9NgY.00","","CPRD_GOLD"
"107787","Incontinence-associated dermatitis","M129500","","CPRD_GOLD"
