"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"402202012","Fetal growth retardation NOS","Q10z.00","22033007","CPRD_AURUM"
"136771000006117","Slow fetal growth and fetal malnutrition","Q10..00","18471004","CPRD_AURUM"
"3268641000006118","Coloboma, congenital heart disease, choanal atresia, growth retardation, genital hypoplasia, ear and hearing anomaly syndrome","","47535005","CPRD_AURUM"
"2850681000006117","Fetal growth retardation","","22033007","CPRD_AURUM"
"2850761000006118","Poor foetal growth state","","22033007","CPRD_AURUM"
"2850781000006111","FGR - Foetal growth retardation","","22033007","CPRD_AURUM"
"4835601000006113","Disorder due to slow fetal growth, low and/or high birth weight","","206161005","CPRD_AURUM"
"2793331000006111","Slow foetal growth AND/OR foetal malnutrition","","18471004","CPRD_AURUM"
"4835581000006115","Disorder due to slow foetal growth, low and/or high birth weight","","206161005","CPRD_AURUM"
"2850731000006110","IUGR - Intrauterine growth retardation","","22033007","CPRD_AURUM"
"2850691000006119","Poor fetal growth state","","22033007","CPRD_AURUM"
"624801000006114","Disorders slow fetal growth, low and high birthweight NOS","Q1z..00","206161005","CPRD_AURUM"
"624811000006112","Disorders slow fetal growth, low and high birthweight OS","Q1y..00","206161005","CPRD_AURUM"
"308070019","Maternal care for intrauterine growth retardation","L265311","173300003","CPRD_AURUM"
"308071015","Maternal care for poor fetal growth","L514.00","173300003","CPRD_AURUM"
"715861000006110","Maternal care for poor fetal growth","L265300","173300003","CPRD_AURUM"
"36966018","Intrauterine growth retardation","Q10z.11","22033007","CPRD_AURUM"
"2850771000006113","Poor foetal growth","","22033007","CPRD_AURUM"
"2850751000006115","FGR - Fetal growth retardation","","22033007","CPRD_AURUM"
"624261000006111","Disorders due to slow fetal growth, low and high birthweight","Q1...00","206161005","CPRD_AURUM"
"2850741000006117","Poor fetal growth","","22033007","CPRD_AURUM"
"2850671000006115","Fetal growth restriction","","22033007","CPRD_AURUM"
"5587671000006110","Symmetrical growth retardation","","276607000","CPRD_AURUM"
"7559521000006113","Intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomaly syndrome","","702384004","CPRD_AURUM"
"5587661000006115","Asymmetrical growth retardation","","276606009","CPRD_AURUM"
"5587641000006119","Fetal growth abnormality","","276604007","CPRD_AURUM"
