"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"2664","Gestational diabetes mellitus","L180900","","CPRD_GOLD"
"8446","Gestational diabetes mellitus","L180811","","CPRD_GOLD"
"10278","Diabetes mellitus arising in pregnancy","L180800","","CPRD_GOLD"
"11359","Diabetes mellitus during pregnancy/childbirth/puerperium","L180.00","","CPRD_GOLD"
"34639","Diabetes mellitus during pregnancy - baby delivered","L180100","","CPRD_GOLD"
"49559","Diabetes mellitus during pregnancy - baby not yet delivered","L180300","","CPRD_GOLD"
"64384","Diabetes mellitus in pregnancy/childbirth/puerperium NOS","L180z00","","CPRD_GOLD"
"67635","Diabetes mellitus - unspec whether in pregnancy/puerperium","L180000","","CPRD_GOLD"
"94777","[V]Personal history of gestational diabetes mellitus","ZV13F00","","CPRD_GOLD"
"108013","Dietary advice for gestational diabetes","ZC2CB00","","CPRD_GOLD"
