"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"23994012","Hyperemesis gravidarum","L13..11","14094001","CPRD_AURUM"
"32948013","Mild hyperemesis gravidarum","L130.00","19569008","CPRD_AURUM"
"305847010","Mild hyperemesis-delivered","L130100","199022003","CPRD_AURUM"
"305850013","Hyperemesis gravidarum with metabolic disturbance","L131.00","199025001","CPRD_AURUM"
"1221051017","Hyperemesis of pregnancy","L13..12","14094001","CPRD_AURUM"
"887861000006119","Severe hyperemesis gravidarum","L131.99","199025001","CPRD_AURUM"
"305846018","Mild hyperemesis unspecified","L130000","19569008","CPRD_AURUM"
"305854016","Hyperemesis gravidarum with metabolic disturbance NOS","L131z00","199025001","CPRD_AURUM"
"830581000006119","Hyperemesis gravidarum with metabolic disturbance - not del","L131200","199028004","CPRD_AURUM"
"2810461000006117","Mild hyperemesis before end of 22 weeks of gestation","","19569008","CPRD_AURUM"
"2723351000006110","Hyperemesis in pregnancy","","14094001","CPRD_AURUM"
"2723311000006114","Hyperemesis arising during pregnancy","","14094001","CPRD_AURUM"
"2810471000006112","Mild hyperemesis in pregnancy","","19569008","CPRD_AURUM"
"305849013","Mild hyperemesis gravidarum NOS","L130z00","19569008","CPRD_AURUM"
"305848017","Mild hyperemesis-not delivered","L130200","199023008","CPRD_AURUM"
"830571000006117","Hyperemesis gravidarum with metabolic disturbance - deliv","L131100","199027009","CPRD_AURUM"
"830601000006112","Hyperemesis gravidarum with metabolic disturbance unsp","L131000","199025001","CPRD_AURUM"
"4428201000006110","Severe hyperemesis gravidarum","","129598007","CPRD_AURUM"
