"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"3327","Hyperemesis gravidarum","L13..11","","CPRD_GOLD"
"15061","Hyperemesis of pregnancy","L13..12","","CPRD_GOLD"
"15670","Mild hyperemesis gravidarum","L130.00","","CPRD_GOLD"
"20358","Mild hyperemesis unspecified","L130000","","CPRD_GOLD"
"28156","Mild hyperemesis gravidarum NOS","L130z00","","CPRD_GOLD"
"31617","Mild hyperemesis-not delivered","L130200","","CPRD_GOLD"
"50061","Hyperemesis gravidarum with metabolic disturbance","L131.00","","CPRD_GOLD"
"55304","Hyperemesis gravidarum with metabolic disturbance NOS","L131z00","","CPRD_GOLD"
"73403","Hyperemesis gravidarum with metabolic disturbance unsp","L131000","","CPRD_GOLD"
"93958","Hyperemesis gravidarum with metabolic disturbance - not del","L131200","","CPRD_GOLD"
"95635","Mild hyperemesis-delivered","L130100","","CPRD_GOLD"
"114330","Hyperemesis gravidarum with metabolic disturbance - deliv","L131100","","CPRD_GOLD"
