"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"Q07","Abdominal excision of uterus","Q07","","HES-OPCSv4.9"
"Q071","Abdominal hysterocolpectomy and excision of periuterine tissue","Q07.1","","HES-OPCSv4.9"
"Q072","Abdominal hysterectomy and excision of periuterine tissue NEC","Q07.2","","HES-OPCSv4.9"
"Q073","Abdominal hysterocolpectomy NEC","Q07.3","","HES-OPCSv4.9"
"Q074","Total abdominal hysterectomy NEC","Q07.4","","HES-OPCSv4.9"
"Q075","Subtotal abdominal hysterectomy","Q07.5","","HES-OPCSv4.9"
"Q078","Other specified abdominal excision of uterus","Q07.8","","HES-OPCSv4.9"
"Q079","Unspecified abdominal excision of uterus","Q07.9","","HES-OPCSv4.9"
"Q08","Vaginal excision of uterus","Q08","","HES-OPCSv4.9"
"Q081","Vaginal hysterocolpectomy and excision of periuterine tissue","Q08.1","","HES-OPCSv4.9"
"Q082","Vaginal hysterectomy and excision of periuterine tissue NEC","Q08.2","","HES-OPCSv4.9"
"Q083","Vaginal hysterocolpectomy NEC","Q08.3","","HES-OPCSv4.9"
"Q088","Other specified vaginal excision of uterus","Q08.8","","HES-OPCSv4.9"
"Q089","Unspecified vaginal excision of uterus","Q08.9","","HES-OPCSv4.9"
"R251","Caesarean hysterectomy","R25.1","","HES-OPCSv4.9"
