"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"316262017","Fetal death due to prelabour anoxia","Q210.00","206258000","CPRD_AURUM"
"355745015","Intrauterine death of one twin","","237363008","CPRD_AURUM"
"306210012","Continuing preg after intrauterine death one fetus or more","L192.00","199307003","CPRD_AURUM"
"4796911000006118","Continuing pregnancy after intrauterine death of one or more foetuses","","199307003","CPRD_AURUM"
"4796891000006115","Continuing pregnancy after intrauterine death of one or more fetuses","","199307003","CPRD_AURUM"
"4836571000006114","Fetal death due to prelabor anoxia","","206258000","CPRD_AURUM"
"5106171000006113","Antepartum fetal death","","237361005","CPRD_AURUM"
"2763271000006115","Fetal death before 22 weeks with retention of dead fetus","","16607004","CPRD_AURUM"
"4796921000006114","Continuing pregnancy after intrauterine death one foetus or more","","199307003","CPRD_AURUM"
"12717271000006113","Intrauterine fetal death","","199605001","CPRD_AURUM"
"888271000006112","Intra-uterine death","L264.99","199605001","CPRD_AURUM"
"12758271000006115","IUD - Intrauterine death","","199605001","CPRD_AURUM"
"12758231000006118","Antenatal death","","199605001","CPRD_AURUM"
"12758241000006111","IUFD - Intrauterine fetal death","","199605001","CPRD_AURUM"
"853471000006114","Death in utero","","853471000006105","CPRD_AURUM"
"669381000006115","Fetal death in utero","L264.11","445548006","CPRD_AURUM"
"5586161000006111","Fetal death","","276507005","CPRD_AURUM"
"5586151000006114","Foetal death","","276507005","CPRD_AURUM"
"4836561000006119","Foetal death due to prelabour anoxia","","206258000","CPRD_AURUM"
"2871584019","Antepartum foetal death","","237361005","CPRD_AURUM"
"306711012","Intrauterine death - delivered","L264100","199607009","CPRD_AURUM"
"306712017","Intrauterine death with antenatal problem","L264200","199608004","CPRD_AURUM"
"306710013","Intrauterine death unspecified","L264000","276507005","CPRD_AURUM"
"12758261000006110","Intrauterine death","","199605001","CPRD_AURUM"
"12758251000006113","FDIU - Fetal death in utero","","199605001","CPRD_AURUM"
"306713010","Intrauterine death NOS","L264z00","445548006","CPRD_AURUM"
"2763301000006118","Foetal death before 22 weeks with retention of dead foetus","","16607004","CPRD_AURUM"
"306708011","Intrauterine death","L264.00","445548006","CPRD_AURUM"
"7309961000006118","Dead fetus in utero","","445548006","CPRD_AURUM"
"3463081000006113","Undelivered in utero foetal death","","59291004","CPRD_AURUM"
"3463071000006110","Undelivered in utero fetal death","","59291004","CPRD_AURUM"
