"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"A021","Salmonella sepsis","A02.1","","ICD10"
"A207","Septicaemic plague","A20.7","","ICD10"
"A227","Anthrax sepsis","A22.7","","ICD10"
"A267","Erysipelothrix sepsis","A26.7","","ICD10"
"A327","Listerial sepsis","A32.7","","ICD10"
"A40","Streptococcal sepsis","A40","","ICD10"
"A400","Sepsis due to streptococcus, group A","A40.0","","ICD10"
"A401","Sepsis due to streptococcus, group B","A40.1","","ICD10"
"A402","Sepsis due to streptococcus, group D","A40.2","","ICD10"
"A403","Sepsis due to Streptococcus pneumoniae","A40.3","","ICD10"
"A408","Other streptococcal sepsis","A40.8","","ICD10"
"A409","Streptococcal sepsis, unspecified","A40.9","","ICD10"
"A41","Other sepsis","A41","","ICD10"
"A410","Sepsis due to Staphylococcus aureus","A41.0","","ICD10"
"A411","Sepsis due to other specified staphylococcus","A41.1","","ICD10"
"A412","Sepsis due to unspecified staphylococcus","A41.2","","ICD10"
"A413","Sepsis due to Haemophilus influenzae","A41.3","","ICD10"
"A414","Sepsis due to anaerobes","A41.4","","ICD10"
"A415","Sepsis due to other Gram-negative organisms","A41.5","","ICD10"
"A418","Other specified sepsis","A41.8","","ICD10"
"A419","Sepsis, unspecified","A41.9","","ICD10"
"A427","Actinomycotic sepsis","A42.7","","ICD10"
"B012","Varicella pneumonia","B01.2","","ICD10"
"B052","Measles complicated by pneumonia","B05.2","","ICD10"
"B206","HIV disease resulting in Pneumocystis jirovecii pneumonia","B20.6","","ICD10"
"B377","Candidal sepsis","B37.7","","ICD10"
"J100","Influenza with pneumonia, seasonal influenza virus identified","J10.0","","ICD10"
"J110","Influenza with pneumonia, virus not identified","J11.0","","ICD10"
"J12","Viral pneumonia, not elsewhere classified","J12","","ICD10"
"J120","Adenoviral pneumonia","J12.0","","ICD10"
"J121","Respiratory syncytial virus pneumonia","J12.1","","ICD10"
"J122","Parainfluenza virus pneumonia","J12.2","","ICD10"
"J123","Human metapneumovirus pneumonia","J12.3","","ICD10"
"J128","Other viral pneumonia","J12.8","","ICD10"
"J129","Viral pneumonia, unspecified","J12.9","","ICD10"
"J13X","Pneumonia due to Streptococcus pneumoniae","J13","","ICD10"
"J14X","Pneumonia due to Haemophilus influenzae","J14","","ICD10"
"J15","Bacterial pneumonia, not elsewhere classified","J15","","ICD10"
"J150","Pneumonia due to Klebsiella pneumoniae","J15.0","","ICD10"
"J151","Pneumonia due to Pseudomonas","J15.1","","ICD10"
"J152","Pneumonia due to staphylococcus","J15.2","","ICD10"
"J153","Pneumonia due to streptococcus, group B","J15.3","","ICD10"
"J154","Pneumonia due to other streptococci","J15.4","","ICD10"
"J155","Pneumonia due to Escherichia coli","J15.5","","ICD10"
"J156","Pneumonia due to other Gram-negative bacteria","J15.6","","ICD10"
"J157","Pneumonia due to Mycoplasma pneumoniae","J15.7","","ICD10"
"J158","Other bacterial pneumonia","J15.8","","ICD10"
"J159","Bacterial pneumonia, unspecified","J15.9","","ICD10"
"J16","Pneumonia due to other infectious organisms, not elsewhere classified","J16","","ICD10"
"J160","Chlamydial pneumonia","J16.0","","ICD10"
"J168","Pneumonia due to other specified infectious organisms","J16.8","","ICD10"
"J17","Pneumonia in diseases classified elsewhere","J17","","ICD10"
"J170","Pneumonia in bacterial diseases classified elsewhere","J17.0","","ICD10"
"J171","Pneumonia in viral diseases classified elsewhere","J17.1","","ICD10"
"J172","Pneumonia in mycoses","J17.2","","ICD10"
"J173","Pneumonia in parasitic diseases","J17.3","","ICD10"
"J178","Pneumonia in other diseases classified elsewhere","J17.8","","ICD10"
"J18","Pneumonia, organism unspecified","J18","","ICD10"
"J180","Bronchopneumonia, unspecified","J18.0","","ICD10"
"J181","Lobar pneumonia, unspecified","J18.1","","ICD10"
"J182","Hypostatic pneumonia, unspecified","J18.2","","ICD10"
"J188","Other pneumonia, organism unspecified","J18.8","","ICD10"
"J189","Pneumonia, unspecified","J18.9","","ICD10"
"J851","Abscess of lung with pneumonia","J85.1","","ICD10"
"N10X","Acute tubulo-interstitial nephritis","N10","","ICD10"
"N12X","Tubulo-interstitial nephritis, not specified as acute or chronic","N12","","ICD10"
"N136","Pyonephrosis","N13.6","","ICD10"
"N15","Other renal tubulo-interstitial diseases","N15","","ICD10"
"N151","Renal and perinephric abscess","N15.1","","ICD10"
"N159","Renal tubulo-interstitial disease, unspecified","N15.9","","ICD10"
"N30","Cystitis","N30","","ICD10"
"N300","Acute cystitis","N30.0","","ICD10"
"N308","Other cystitis","N30.8","","ICD10"
"N309","Cystitis, unspecified","N30.9","","ICD10"
"N34","Urethritis and urethral syndrome","N34","","ICD10"
"N340","Urethral abscess","N34.0","","ICD10"
"N341","Nonspecific urethritis","N34.1","","ICD10"
"N342","Other urethritis","N34.2","","ICD10"
"N390","Urinary tract infection, site not specified","N39.0","","ICD10"
"N71","Inflammatory disease of uterus, except cervix","N71","","ICD10"
"N710","Acute inflammatory disease of uterus","N71.0","","ICD10"
"N719","Inflammatory disease of uterus, unspecified","N71.9","","ICD10"
"O080","Genital tract and pelvic infection following abortion and ectopic and molar pregnancy","O08.0","","ICD10"
"O23","Infections of genitourinary tract in pregnancy","O23","","ICD10"
"O230","Infections of kidney in pregnancy","O23.0","","ICD10"
"O231","Infections of bladder in pregnancy","O23.1","","ICD10"
"O232","Infections of urethra in pregnancy","O23.2","","ICD10"
"O233","Infections of other parts of urinary tract in pregnancy","O23.3","","ICD10"
"O234","Unspecified infection of urinary tract in pregnancy","O23.4","","ICD10"
"O235","Infections of the genital tract in pregnancy","O23.5","","ICD10"
"O239","Other and unspecified genitourinary tract infection in pregnancy","O23.9","","ICD10"
"O753","Other infection during labour","O75.3","","ICD10"
