"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"412754014","Iatrogenic neonatal hypoglycaemia","Q447000","276562001","CPRD_AURUM"
"496430013","Neonatal hypoglycaemia","Q447.00","52767006","CPRD_AURUM"
"316953010","[X]Other neonatal hypoglycaemia","Qyu6000","52767006","CPRD_AURUM"
"2575281000006111","Maternal diabetes mellitus with hypoglycaemia affecting fetus OR newborn","","4783006","CPRD_AURUM"
"2575261000006118","Maternal diabetes mellitus with hypoglycaemia affecting foetus OR newborn","","4783006","CPRD_AURUM"
"2575271000006113","Maternal diabetes mellitus with hypoglycemia affecting fetus OR newborn","","4783006","CPRD_AURUM"
"3355601000006111","Neonatal hypoglycemia","","52767006","CPRD_AURUM"
"5587111000006110","Iatrogenic neonatal hypoglycemia","","276562001","CPRD_AURUM"
"894491000006116","Perinatal hypoglycaemia","Q447.99","52767006","CPRD_AURUM"
"3615971000006113","Hypoglycaemia of infancy","","68581004","CPRD_AURUM"
"5587081000006116","Transitory neonatal hypoglycaemia","","276561008","CPRD_AURUM"
