"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"316607017","Perinatal jaundice from bruising","Q431000","206442000","CPRD_AURUM"
"316609019","Perinatal jaundice from infection","Q431200","206444004","CPRD_AURUM"
"316612016","Perinatal jaundice from polycythaemia","Q431300","206446002","CPRD_AURUM"
"316613014","Perinatal jaundice from swallowed maternal blood","Q431400","206447006","CPRD_AURUM"
"316624011","Neonatal jaundice with Gilbert's syndrome","Q433600","206456003","CPRD_AURUM"
"316625012","Neonatal jaundice with congenital hypothyroidism","Q433700","206457007","CPRD_AURUM"
"316641013","Perinatal jaundice due to galactosaemia","Q435100","206470003","CPRD_AURUM"
"316643011","Perinatal jaundice due to mucoviscidosis","Q435200","206471004","CPRD_AURUM"
"316652019","Kernicterus not due to isoimmunisation","Q437.00","206478005","CPRD_AURUM"
"486309019","Kernicterus due to isoimmunisation","Q424.00","359007","CPRD_AURUM"
"502557018","Inspissated bile syndrome","Q434200","73876000","CPRD_AURUM"
"1490287015","Transient neonatal hyperbilirubinaemia","Q436100","276549000","CPRD_AURUM"
"894441000006113","Breast feeding jaundice","Q433299","82696006","CPRD_AURUM"
"316599018","Other perinatal jaundice","Q43..00","387712008","CPRD_AURUM"
"316603018","Perinatal jaundice from hereditary haemolytic anaemia NOS","Q430z00","56921004","CPRD_AURUM"
"316615019","Perinatal jaundice from other specified haemolysis","Q431y00","387712008","CPRD_AURUM"
"316618017","Perinatal jaundice from haemolysis NOS","Q431z00","387712008","CPRD_AURUM"
"316632015","Delayed conjugation causing neonatal jaundice NOS","Q433z00","387712008","CPRD_AURUM"
"316634019","Perinatal hepatitis causing jaundice, unspecified","Q434000","387712008","CPRD_AURUM"
"316638016","Perinatal jaundice due to hepatocellular damage NOS","Q434z00","10877007","CPRD_AURUM"
"316639012","Perinatal jaundice due to other cause","Q435.00","387712008","CPRD_AURUM"
"316644017","Perinatal jaundice due to other specified cause","Q435z00","387712008","CPRD_AURUM"
"316645016","Fetal and neonatal jaundice, unspecified","Q436.00","387712008","CPRD_AURUM"
"316646015","Icterus neonatorum, unspecified","Q436000","387712008","CPRD_AURUM"
"316653012","Kernicterus of newborn NOS","Q437z00","50143004","CPRD_AURUM"
"316654018","Perinatal jaundice NOS","Q43z.00","387712008","CPRD_AURUM"
"316939010","[X]Other specified kernicterus","Qyu5700","50143004","CPRD_AURUM"
"316944015","[X]Neonatal jaundice from other specified causes","Qyu5B00","387712008","CPRD_AURUM"
"25881000006110","Other neonatal jaundice - delayed conjugation other cause","Q433.00","17140000","CPRD_AURUM"
"234591000006117","Perinatal jaundice from maternal transmission drug or toxin","Q431100","206443005","CPRD_AURUM"
"399631000006116","[X]Neonat jaun due/drg,toxn transmit frm mother/given newbrn","Qyu5800","387712008","CPRD_AURUM"
"525211000006119","Breast feeding inhibitors causing neonatal jaundice","Q433200","82696006","CPRD_AURUM"
"612081000006114","Delayed conjugation causing neonatal jaundice + disease EC","Q433100","206453006","CPRD_AURUM"
"612101000006118","Delayed conjugation causing neonatal jaundice OS","Q433y00","17140000","CPRD_AURUM"
"679701000006118","Neonatal jaundice + glucose-6-phosphate dehydrogenase defic.","Q430000","206439006","CPRD_AURUM"
"679711000006115","Neonatal jaundice - deficiency enzyme for bilirubin conjug.","Q433y11","275360003","CPRD_AURUM"
"679721000006111","Neonatal jaundice from breast milk inhibitor","Q433A00","82696006","CPRD_AURUM"
"4837961000006110","Perinatal jaundice from polycythemia","","206446002","CPRD_AURUM"
"2504291000006119","Kernicterus due to isoimmunization","","359007","CPRD_AURUM"
"3698961000006114","Hyperbilirubinemia of prematurity","","73749009","CPRD_AURUM"
"4838081000006115","Neonatal jaundice with Rotor syndrome","","206459005","CPRD_AURUM"
"3845271000006119","Neonatal jaundice due to delayed conjugation from breast milk inhibitor","","82696006","CPRD_AURUM"
"3698941000006110","Neonatal jaundice associated with preterm delivery","","73749009","CPRD_AURUM"
"83530016","Bilirubin encephalopathy","Q437000","50143004","CPRD_AURUM"
"3698971000006119","Hyperbilirubinaemia of prematurity","","73749009","CPRD_AURUM"
"3424481000006110","Perinatal jaundice from hereditary hemolytic anemia","","56921004","CPRD_AURUM"
"3698951000006112","Jaundice due to delayed conjugation associated with preterm delivery","","73749009","CPRD_AURUM"
"6476381000006118","Icterus neonatorum","","387712008","CPRD_AURUM"
"2658301000006110","Perinatal jaundice due to foetal OR neonatal hepatitis","","9936001","CPRD_AURUM"
"3267131000006116","Transient familial neonatal hyperbilirubinaemia","","47444008","CPRD_AURUM"
"3424501000006117","Perinatal jaundice from hereditary hemolytic anemias","","56921004","CPRD_AURUM"
"4838121000006118","Perinatal jaundice due to cystic fibrosis","","206471004","CPRD_AURUM"
"3267121000006119","Lucey-Driscoll syndrome","","47444008","CPRD_AURUM"
"2658271000006113","Perinatal jaundice due to fetal OR neonatal hepatitis","","9936001","CPRD_AURUM"
"4838151000006110","Kernicterus not due to isoimmunization","","206478005","CPRD_AURUM"
"3029111000006117","Jaundice due to ABO isoimmunisation of the newborn","","32858009","CPRD_AURUM"
"3914241000006113","Jaundice due to Rh isoimmunization of the newborn","","86986002","CPRD_AURUM"
"3698991000006118","Neonatal jaundice after preterm delivery","","73749009","CPRD_AURUM"
"12728151000006118","Newborn physiological jaundice NOS","","610971000000100","CPRD_AURUM"
"12724021000006118","Perinatal jaundice from other excessive haemolysis","","603281000000101","CPRD_AURUM"
"894431000006115","Perinatal haemolytic jaundice","Q431.99","603281000000101","CPRD_AURUM"
"894451000006110","Physiological jaundice NOS","Q436299","610971000000100","CPRD_AURUM"
"1216755016","Perinatal jaundice from hereditary haemolytic anaemias","Q430.00","56921004","CPRD_AURUM"
"316623017","Neonatal jaundice with Dubin-Johnson syndrome","Q433500","206455004","CPRD_AURUM"
"316627016","Neonatal jaundice with Rotor's syndrome","Q433900","206459005","CPRD_AURUM"
"316606014","Perinatal jaundice from other excessive haemolysis","Q431.00","387712008","CPRD_AURUM"
"316650010","Unspecified fetal or neonatal jaundice NOS","Q436z00","387712008","CPRD_AURUM"
"234461000006112","Perinatal jaundice due to congenital obstruction bile duct","Q435000","206469004","CPRD_AURUM"
"399651000006111","[X]Neonatal jaundice due/other specifd excessive haemolysis","Qyu5900","387712008","CPRD_AURUM"
"733581000006112","Lucy - Driscoll syndrome","Q433300","47444008","CPRD_AURUM"
"4837991000006119","Delayed conjugation causing neonatal jaundice associated with another disorder","","206453006","CPRD_AURUM"
"5586921000006119","Transient neonatal hyperbilirubinemia","","276549000","CPRD_AURUM"
"3267141000006114","Transient familial neonatal hyperbilirubinemia","","47444008","CPRD_AURUM"
"4838041000006114","Neonatal jaundice with Gilbert syndrome","","206456003","CPRD_AURUM"
"2536512019","Giant cell hepatitis causing neonatal jaundice","Q434100","9936001","CPRD_AURUM"
"316614015","Perinatal jaundice from bleeding","Q431500","206448001","CPRD_AURUM"
"316622010","Neonatal jaundice with Crigler-Najjar syndrome","Q433400","206454000","CPRD_AURUM"
"18885015","Perinatal jaundice due to hepatocellular damage","Q434.00","10877007","CPRD_AURUM"
"399671000006118","[X]Neonatal jaundice from other+unspcf hepatocellular damage","Qyu5A00","10877007","CPRD_AURUM"
"5586931000006116","Physiologic jaundice in newborn","","276549000","CPRD_AURUM"
"3701101000006113","Perinatal jaundice due to inspissated bile syndrome","","73876000","CPRD_AURUM"
"2658281000006111","Perinatal jaundice due to giant cell hepatitis","","9936001","CPRD_AURUM"
"3845301000006117","Breast milk inhibitor jaundice","","82696006","CPRD_AURUM"
"3029031000006110","Jaundice due to ABO isoimmunization of the newborn","","32858009","CPRD_AURUM"
"4838111000006114","Perinatal jaundice due to galactosemia","","206470003","CPRD_AURUM"
"3845311000006119","Breast-feeding inhibitor causing neonatal jaundice","","82696006","CPRD_AURUM"
"316620019","Delayed conjugation causing neonatal jaundice, unspecified","Q433000","17140000","CPRD_AURUM"
"316649010","Newborn physiological jaundice NOS","Q436200","276549000","CPRD_AURUM"
"894401000006111","Kernicterus - due to isoimm.","Q424.99","359007","CPRD_AURUM"
"316626013","Neonatal jaundice with porphyria","Q433800","206458002","CPRD_AURUM"
"208371000006112","Preterm delivery associated jaundice","Q432.00","73749009","CPRD_AURUM"
"3914381000006112","Jaundice due to Rh isoimmunisation of the newborn","","86986002","CPRD_AURUM"
"2897971000006115","Perinatal jaundice from excessive haemolysis","","24911006","CPRD_AURUM"
"5653671000006117","Neonatal unconjugated hyperbilirubinaemia","","281611002","CPRD_AURUM"
"5653691000006116","Neonatal conjugated hyperbilirubinaemia","","281612009","CPRD_AURUM"
"5586941000006114","Prolonged newborn physiological jaundice","","276550000","CPRD_AURUM"
"5653651000006110","Neonatal hyperbilirubinaemia","","281610001","CPRD_AURUM"
"5087081000006119","Physiological hyperbilirubinaemia","","235905008","CPRD_AURUM"
"13718061000006116","Neonatal jaundice due to ABO incompatibility","","16716281000119108","CPRD_AURUM"
"14059251000006110","Perinatal jaundice due to hereditary haemolytic anaemia","","56921004","CPRD_AURUM"
"14071741000006116","Neonatal jaundice due to glucose-6-phosphate dehydrogenase deficiency","","206439006","CPRD_AURUM"
