"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1359","Perinatal jaundice NOS","Q43z.00","","CPRD_GOLD"
"3211","Breast feeding inhibitors causing neonatal jaundice","Q433200","","CPRD_GOLD"
"3615","Newborn physiological jaundice NOS","Q436200","","CPRD_GOLD"
"7269","Other perinatal jaundice","Q43..00","","CPRD_GOLD"
"7828","Preterm delivery associated jaundice","Q432.00","","CPRD_GOLD"
"8069","Neonatal jaundice from breast milk inhibitor","Q433A00","","CPRD_GOLD"
"19581","Fetal and neonatal jaundice, unspecified","Q436.00","","CPRD_GOLD"
"19583","Icterus neonatorum, unspecified","Q436000","","CPRD_GOLD"
"28184","Unspecified fetal or neonatal jaundice NOS","Q436z00","","CPRD_GOLD"
"28361","Transient neonatal hyperbilirubinaemia","Q436100","","CPRD_GOLD"
"31452","Kernicterus due to isoimmunisation","Q424.00","","CPRD_GOLD"
"35477","[X]Neonatal jaundice from other+unspcf hepatocellular damage","Qyu5A00","","CPRD_GOLD"
"35507","Other neonatal jaundice - delayed conjugation other cause","Q433.00","","CPRD_GOLD"
"35625","Perinatal hepatitis causing jaundice, unspecified","Q434000","","CPRD_GOLD"
"39164","Neonatal jaundice + glucose-6-phosphate dehydrogenase defic.","Q430000","","CPRD_GOLD"
"40869","[X]Neonatal jaundice from other specified causes","Qyu5B00","","CPRD_GOLD"
"45303","Delayed conjugation causing neonatal jaundice, unspecified","Q433000","","CPRD_GOLD"
"47340","Perinatal jaundice due to congenital obstruction bile duct","Q435000","","CPRD_GOLD"
"47802","Bilirubin encephalopathy","Q437000","","CPRD_GOLD"
"48009","Inspissated bile syndrome","Q434200","","CPRD_GOLD"
"48012","Kernicterus not due to isoimmunisation","Q437.00","","CPRD_GOLD"
"48638","Neonatal jaundice with porphyria","Q433800","","CPRD_GOLD"
"48869","[X]Neonatal jaundice due/other specifd excessive haemolysis","Qyu5900","","CPRD_GOLD"
"55360","Delayed conjugation causing neonatal jaundice NOS","Q433z00","","CPRD_GOLD"
"57133","Perinatal jaundice from haemolysis NOS","Q431z00","","CPRD_GOLD"
"58833","Neonatal jaundice with congenital hypothyroidism","Q433700","","CPRD_GOLD"
"59451","Perinatal jaundice due to hepatocellular damage NOS","Q434z00","","CPRD_GOLD"
"59695","Lucy - Driscoll syndrome","Q433300","","CPRD_GOLD"
"61800","Kernicterus of newborn NOS","Q437z00","","CPRD_GOLD"
"63838","Perinatal jaundice due to other cause","Q435.00","","CPRD_GOLD"
"64140","Perinatal jaundice due to other specified cause","Q435z00","","CPRD_GOLD"
"65651","Perinatal jaundice from other excessive haemolysis","Q431.00","","CPRD_GOLD"
"66985","Neonatal jaundice with Gilbert's syndrome","Q433600","","CPRD_GOLD"
"68206","[X]Neonat jaun due/drg,toxn transmit frm mother/given newbrn","Qyu5800","","CPRD_GOLD"
"69317","Perinatal jaundice from bruising","Q431000","","CPRD_GOLD"
"70324","Perinatal jaundice due to galactosaemia","Q435100","","CPRD_GOLD"
"70762","Perinatal jaundice from hereditary haemolytic anaemias","Q430.00","","CPRD_GOLD"
"71056","Delayed conjugation causing neonatal jaundice OS","Q433y00","","CPRD_GOLD"
"89653","Perinatal jaundice from bleeding","Q431500","","CPRD_GOLD"
"92680","Perinatal jaundice due to hepatocellular damage","Q434.00","","CPRD_GOLD"
"93156","Neonatal jaundice - deficiency enzyme for bilirubin conjug.","Q433y11","","CPRD_GOLD"
"94612","Neonatal jaundice with Dubin-Johnson syndrome","Q433500","","CPRD_GOLD"
"98034","Perinatal jaundice from polycythaemia","Q431300","","CPRD_GOLD"
"103252","Perinatal jaundice from hereditary haemolytic anaemia NOS","Q430z00","","CPRD_GOLD"
"104225","Giant cell hepatitis causing neonatal jaundice","Q434100","","CPRD_GOLD"
"106539","Perinatal jaundice from infection","Q431200","","CPRD_GOLD"
"110882","Perinatal jaundice from swallowed maternal blood","Q431400","","CPRD_GOLD"
"113772","Perinatal jaundice from other specified haemolysis","Q431y00","","CPRD_GOLD"
"115129","Neonatal jaundice with Crigler-Najjar syndrome","Q433400","","CPRD_GOLD"
