"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"P57","Kernicterus","P57","","ICD10"
"P570","Kernicterus due to isoimmunization","P57.0","","ICD10"
"P578","Other specified kernicterus","P57.8","","ICD10"
"P579","Kernicterus, unspecified","P57.9","","ICD10"
"P58","Neonatal jaundice due to other excessive haemolysis","P58","","ICD10"
"P580","Neonatal jaundice due to bruising","P58.0","","ICD10"
"P581","Neonatal jaundice due to bleeding","P58.1","","ICD10"
"P582","Neonatal jaundice due to infection","P58.2","","ICD10"
"P583","Neonatal jaundice due to polycythaemia","P58.3","","ICD10"
"P584","Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn","P58.4","","ICD10"
"P585","Neonatal jaundice due to swallowed maternal blood","P58.5","","ICD10"
"P588","Neonatal jaundice due to other specified excessive haemolysis","P58.8","","ICD10"
"P589","Neonatal jaundice due to excessive haemolysis, unspecified","P58.9","","ICD10"
"P59","Neonatal jaundice from other and unspecified causes","P59","","ICD10"
"P590","Neonatal jaundice associated with preterm delivery","P59.0","","ICD10"
"P591","Inspissated bile syndrome","P59.1","","ICD10"
"P592","Neonatal jaundice from other and unspecified hepatocellular damage","P59.2","","ICD10"
"P593","Neonatal jaundice from breast milk inhibitor","P59.3","","ICD10"
"P598","Neonatal jaundice from other specified causes","P59.8","","ICD10"
"P599","Neonatal jaundice, unspecified","P59.9","","ICD10"
