"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"41959016","Tracheostomy sepsis","H5y0100","25042006","CPRD_AURUM"
"286410013","Pasteurella septic infection (cat or dog bite)","A272100","186327003","CPRD_AURUM"
"299945010","Septic myocarditis - pneumococcal","G52y300","194956009","CPRD_AURUM"
"299946011","Septic myocarditis - staphylococcal","G52y400","194957000","CPRD_AURUM"
"299947019","Septic myocarditis - streptococcal","G52y500","194958005","CPRD_AURUM"
"316478018","Sepsis of the newborn","Q40A.00","206376005","CPRD_AURUM"
"454282018","Septicaemia due to enterococcus","A380400","310669007","CPRD_AURUM"
"458426011","Meningococcal meningitis with meningococcal septicaemia","A366.00","314130008","CPRD_AURUM"
"495793016","Gonococcal septicaemia","A98yz12","5085001","CPRD_AURUM"
"508853016","Septicaemic plague","A202.00","9012003","CPRD_AURUM"
"2840966012","Neutropenic sepsis","","443980004","CPRD_AURUM"
"2899980010","Sepsis due to Gram negative bacteria","A3C3.00","449082003","CPRD_AURUM"
"2900059011","Sepsis due to Staphylococcus","A3C1.00","447894003","CPRD_AURUM"
"2900111014","Sepsis due to Bacillus anthracis","A224.00","448482003","CPRD_AURUM"
"2900218013","Sepsis due to Listeria monocytogenes","A270600","449335002","CPRD_AURUM"
"2900354014","Sepsis due to Staphylococcus aureus","A3C1000","448417001","CPRD_AURUM"
"2900355010","Sepsis due to Streptococcus","A3C0.00","448418006","CPRD_AURUM"
"2900357019","Sepsis due to Streptococcus group B","A3C0100","448419003","CPRD_AURUM"
"2900358012","Sepsis due to Streptococcus group D","A3C0200","448420009","CPRD_AURUM"
"2900359016","Sepsis due to Streptococcus pneumoniae","A3C0300","448421008","CPRD_AURUM"
"2901598017","Sepsis due to anaerobic bacteria","A3C2.00","447843005","CPRD_AURUM"
"894311000006116","Umbilical sepsis - perinatal","Q404.99","42052009","CPRD_AURUM"
"317357011","[D]Septic shock","R055500","76571007","CPRD_AURUM"
"1650161000000119","Biliary sepsis","J666.00","750511000000101","CPRD_AURUM"
"1842061000006117","Suspected sepsis","","1842061000006101","CPRD_AURUM"
"2117061000000110","Anthrax sepsis","A224.11","448482003","CPRD_AURUM"
"286481019","Septicaemia due to streptococcus, group A","A380000","449504009","CPRD_AURUM"
"286484010","Septicaemia due to streptococcus, group B","A380100","448419003","CPRD_AURUM"
"286489017","Septicaemia due to streptococcus, group D","A380200","448420009","CPRD_AURUM"
"286501019","Septicaemia due to coagulase-negative staphylococcus","A381100","449505005","CPRD_AURUM"
"288048016","[X]Streptococcal septicaemia, unspecified","Ayu3F00","448418006","CPRD_AURUM"
"288049012","[X]Septicaemia due to other gram-negative organisms","Ayu3G00","449082003","CPRD_AURUM"
"288053014","[X]Septicaemia, unspecified","Ayu3J00","91302008","CPRD_AURUM"
"291664017","Septicaemia","A38..00","91302008","CPRD_AURUM"
"316410017","Other specified umbilical sepsis","Q404y00","239095007","CPRD_AURUM"
"316914018","[X]Other bacterial sepsis of newborn","Qyu4200","276669000","CPRD_AURUM"
"359981019","Congenital sepsis NOS","Q40y011","1089000","CPRD_AURUM"
"365023014","Staphylococcal septicaemia","A381.00","447894003","CPRD_AURUM"
"454280014","Septicaemia due to streptococcus pneumoniae","A380300","448421008","CPRD_AURUM"
"492921010","Septicaemia of newborn","Q40y200","206376005","CPRD_AURUM"
"509175013","Pneumococcal septicaemia","A382.00","448421008","CPRD_AURUM"
"510257017","Escherichia coli septicaemia","A384200","447899008","CPRD_AURUM"
"1209801015","Urosepsis","K190600","721104000","CPRD_AURUM"
"1216110018","[D]Septicaemic shock","R055511","76571007","CPRD_AURUM"
"1217028013","Pseudomonas septicaemia","A384300","448813005","CPRD_AURUM"
"2532525012","Vancomycin resistant enterococcal septicaemia","A380500","310649002","CPRD_AURUM"
"148841000006115","Sepsis of newborn due to other+unspecified streptococci","Q40W.00","944061000000108","CPRD_AURUM"
"425951000006117","[X]Sepsis/newborn due to other+unspecified staphylococcus","Qyu4100","944071000000101","CPRD_AURUM"
"425961000006115","[X]Septic thumb","M080.12","300946000","CPRD_AURUM"
"585081000006114","Congenital septicaemia","Q40y012","1089000","CPRD_AURUM"
"633541000006114","E.coli septicaemia","A384211","447899008","CPRD_AURUM"
"1814301000006118","Listerial sepsis","A270611","449335002","CPRD_AURUM"
"1814321000006111","Erysipelothrix sepsis","A271311","447684006","CPRD_AURUM"
"1814601000006112","Sepsis","A3C..00","91302008","CPRD_AURUM"
"1814681000006115","Streptococcal sepsis, unspecified","A3C0z00","448418006","CPRD_AURUM"
"1814721000006110","Sepsis due to staphylococcus NOS","A3C1z00","447894003","CPRD_AURUM"
"1814751000006118","Sepsis due to Gram negative organisms","A3C3.11","449082003","CPRD_AURUM"
"1814791000006112","Other specified sepsis","A3Cy.00","91302008","CPRD_AURUM"
"7347231000006119","Sepsis caused by Actinomyces","","447898000","CPRD_AURUM"
"7347251000006114","Sepsis caused by Escherichia coli","","447899008","CPRD_AURUM"
"7364481000006118","Sepsis due to Serratia","","449084002","CPRD_AURUM"
"3493041000006116","Septic arthritis of hand","","61112000","CPRD_AURUM"
"3745351000006116","Septicemic shock","","76571007","CPRD_AURUM"
"7354661000006116","Sepsis caused by Staphylococcus aureus","","448417001","CPRD_AURUM"
"3745361000006119","Sepsis-associated hypotension","","76571007","CPRD_AURUM"
"3206351000006111","Septic sore throat","","43878008","CPRD_AURUM"
"6002721000006117","Septicemia due to enterococcus","","310669007","CPRD_AURUM"
"3541401000006111","Septic myocarditis","","64043005","CPRD_AURUM"
"7371121000006115","Sepsis caused by Streptococcus pyogenes","","449504009","CPRD_AURUM"
"7364471000006116","Sepsis caused by Salmonella","","449083008","CPRD_AURUM"
"6002531000006112","Vancomycin resistant enterococcal septicemia","","310649002","CPRD_AURUM"
"4837311000006113","Sepsis of newborn caused by Escherichia coli","","206379003","CPRD_AURUM"
"7355741000006110","Sepsis caused by Bacillus anthracis","","448482003","CPRD_AURUM"
"7371151000006112","Sepsis caused by coagulase negative Staphylococcus","","449505005","CPRD_AURUM"
"2823421000006110","Septic arthritis of ankle","","20358003","CPRD_AURUM"
"3081901000006114","Acute adrenal insufficiency with meningococcal septicemia","","36102002","CPRD_AURUM"
"7368531000006110","Sepsis caused by Listeria monocytogenes","","449335002","CPRD_AURUM"
"5139041000006117","Septic arthritis of wrist","","239778009","CPRD_AURUM"
"7344571000006110","Sepsis caused by Erysipelothrix","","447684006","CPRD_AURUM"
"6002761000006111","Septicaemia caused by enterococcus","","310669007","CPRD_AURUM"
"7354691000006112","Sepsis due to Streptococcus agalactiae","","448419003","CPRD_AURUM"
"3081891000006110","Acute adrenal insufficiency with meningococcal septicaemia","","36102002","CPRD_AURUM"
"7354711000006110","Sepsis caused by Streptococcus agalactiae","","448419003","CPRD_AURUM"
"6002751000006114","Sepsis caused by enterococcus","","310669007","CPRD_AURUM"
"2580701000006114","Gonococcal septicemia","","5085001","CPRD_AURUM"
"6359931000006117","Gram-negative septic shock","","371769008","CPRD_AURUM"
"5588931000006117","Sepsis neonatorum","","276669000","CPRD_AURUM"
"7354761000006113","Sepsis caused by Streptococcus pneumoniae","","448421008","CPRD_AURUM"
"3091161000006114","Septic arthritis of shoulder region","","36678001","CPRD_AURUM"
"2564141000006115","Meningococcal septicemia","","4089001","CPRD_AURUM"
"5502181000006118","Septic arthritis of the pelvic region and thigh","","267880006","CPRD_AURUM"
"5870141000006116","Dental sepsis","","299709002","CPRD_AURUM"
"6002521000006114","Vancomycin resistant enterococcal septicaemia","","310649002","CPRD_AURUM"
"6042951000006119","Meningococcal meningitis with meningococcal septicemia","","314130008","CPRD_AURUM"
"6002731000006119","Sepsis due to enterococcus","","310669007","CPRD_AURUM"
"2515721000006111","Congenital sepsis","","1089000","CPRD_AURUM"
"6002741000006112","Septicemia caused by enterococcus","","310669007","CPRD_AURUM"
"7354681000006114","Sepsis caused by Streptococcus","","448418006","CPRD_AURUM"
"7347171000006111","Sepsis caused by Staphylococcus","","447894003","CPRD_AURUM"
"3745341000006118","Septicaemic shock","","76571007","CPRD_AURUM"
"7344591000006111","Sepsis caused by Haemophilus influenzae","","447685007","CPRD_AURUM"
"3132951000006119","Septic colitis","","39341005","CPRD_AURUM"
"3650951000006117","Septic dermatitis","","70759006","CPRD_AURUM"
"7364451000006114","Sepsis caused by Gram negative bacteria","","449082003","CPRD_AURUM"
"7360531000006112","Sepsis caused by Pseudomonas","","448813005","CPRD_AURUM"
"7364491000006115","Sepsis caused by Serratia","","449084002","CPRD_AURUM"
"127157017","Septic shock","","76571007","CPRD_AURUM"
"12705331000006113","Sepsis due to Salmonella","","449083008","CPRD_AURUM"
"12722491000006118","Sepsis due to urinary tract infection","","371093006","CPRD_AURUM"
"286405014","Erysipelothrix septicaemia","A271100","447684006","CPRD_AURUM"
"286528012","Actinomycotic septicaemia","A395.00","447898000","CPRD_AURUM"
"476954018","Anthrax septicaemia","A223.00","448482003","CPRD_AURUM"
"495504016","Salmonella septicaemia","A021.00","449083008","CPRD_AURUM"
"500396015","Listeria septicaemia","A270100","449335002","CPRD_AURUM"
"1206286018","Haemophilus influenzae septicaemia","A384100","447685007","CPRD_AURUM"
"1216098010","Septicaemia due to anaerobes","A383.00","447843005","CPRD_AURUM"
"28961000006118","Other gram negative septicaemia NOS","A384z00","449082003","CPRD_AURUM"
"149081000006113","Septicaemia due to other gram negative organisms","A384.00","449082003","CPRD_AURUM"
"806571000006110","Gram negative septicaemia NOS","A384000","449082003","CPRD_AURUM"
"1814271000006115","Salmonella sepsis","A023.00","449083008","CPRD_AURUM"
"1814351000006119","Actinomycotic sepsis","A396.11","447898000","CPRD_AURUM"
"1814741000006115","Sepsis due to anaerobes","A3C2.11","447843005","CPRD_AURUM"
"1814981000006111","Candidal sepsis","AB2y500","447841007","CPRD_AURUM"
"288052016","[X]Other specified septicaemia","Ayu3H00","91302008","CPRD_AURUM"
"1780971000006118","Urosepsis","","371093006","CPRD_AURUM"
"12758471000006116","Septic arthritis of lower leg","","267881005","CPRD_AURUM"
"12758621000006119","Urosepsis","","371093006","CPRD_AURUM"
"12758631000006116","Urinary sepsis","","371093006","CPRD_AURUM"
"495285017","Herpes simplex septicaemia","A545.00","448784003","CPRD_AURUM"
"1216989010","Serratia septicaemia","A384400","449084002","CPRD_AURUM"
"2899948013","Sepsis due to Haemophilus influenzae","A3C3000","447685007","CPRD_AURUM"
