"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"885","Septicaemia","A38..00","","CPRD_GOLD"
"1288","Septic arthritis","N010.11","","CPRD_GOLD"
"1703","Meningococcal septicaemia","A362.00","","CPRD_GOLD"
"2136","Sepsis","A38z.11","","CPRD_GOLD"
"3613","Sepsis of the newborn","Q40A.00","","CPRD_GOLD"
"5104","Gonococcal septicaemia","A98yz12","","CPRD_GOLD"
"6638","Septic spots","M07z.13","","CPRD_GOLD"
"7787","Pneumococcal septicaemia","A382.00","","CPRD_GOLD"
"10635","[D]Septic shock","R055500","","CPRD_GOLD"
"10872","Escherichia coli septicaemia","A384200","","CPRD_GOLD"
"10978","Septicaemia due to streptococcus, group B","A380100","","CPRD_GOLD"
"11660","[X]Septic thumb","M080.12","","CPRD_GOLD"
"12400","Pseudomonas septicaemia","A384300","","CPRD_GOLD"
"12578","Septicaemia due to enterococcus","A380400","","CPRD_GOLD"
"15229","Streptococcal septicaemia","A380.00","","CPRD_GOLD"
"16104","Staphylococcal septicaemia","A381.00","","CPRD_GOLD"
"18809","Salmonella septicaemia","A021.00","","CPRD_GOLD"
"21936","Meningococcal meningitis with acute meningococcal septicaem","A365.00","","CPRD_GOLD"
"22031","Septicaemia of newborn","Q40y200","","CPRD_GOLD"
"23079","[D]Septicaemic shock","R055511","","CPRD_GOLD"
"23991","E.coli septicaemia","A384211","","CPRD_GOLD"
"24577","Meningococcal meningitis with meningococcal septicaemia","A366.00","","CPRD_GOLD"
"25895","Septicaemia due to streptococcus pneumoniae","A380300","","CPRD_GOLD"
"28610","Haemophilus influenzae septicaemia","A384100","","CPRD_GOLD"
"29950","Septicaemia due to streptococcus, group A","A380000","","CPRD_GOLD"
"30102","Septicaemia due to Staphylococcus aureus","A381000","","CPRD_GOLD"
"31266","Septic shock due to transfusion","SP38000","","CPRD_GOLD"
"31517","Gram negative septicaemia NOS","A384000","","CPRD_GOLD"
"31706","Septicaemia due to anaerobes","A383.00","","CPRD_GOLD"
"33717","Candidal septicaemia","AB2y300","","CPRD_GOLD"
"33765","Septicaemia NOS","A38z.00","","CPRD_GOLD"
"35232","Septicaemia due to other gram negative organisms","A384.00","","CPRD_GOLD"
"37043","Umbilical sepsis NOS","Q404z00","","CPRD_GOLD"
"39691","Sepsis of newborn due to Staphylococcus aureus","Q40A000","","CPRD_GOLD"
"42825","Septicaemia due to coagulase-negative staphylococcus","A381100","","CPRD_GOLD"
"43283","Postoperative septic shock","SP20100","","CPRD_GOLD"
"43914","Postoperative septicaemia","SP25400","","CPRD_GOLD"
"47693","Sepsis of newborn due to other+unspecified streptococci","Q40W.00","","CPRD_GOLD"
"48716","Herpes simplex septicaemia","A545.00","","CPRD_GOLD"
"49590","Vancomycin resistant enterococcal septicaemia","A380500","","CPRD_GOLD"
"52014","Listeria septicaemia","A270100","","CPRD_GOLD"
"53182","Other specified septicaemias","A38y.00","","CPRD_GOLD"
"53762","[X]Septicaemia, unspecified","Ayu3J00","","CPRD_GOLD"
"54077","Tracheostomy sepsis","H5y0100","","CPRD_GOLD"
"54534","Serratia septicaemia","A384400","","CPRD_GOLD"
"55606","Congenital sepsis NOS","Q40y011","","CPRD_GOLD"
"55689","Neonatal candida septicaemia","Q407500","","CPRD_GOLD"
"56336","Sepsis of newborn due to Escherichia coli","Q40A100","","CPRD_GOLD"
"57743","Pasteurella septic infection (cat or dog bite)","A272100","","CPRD_GOLD"
"59048","Septicaemic plague","A202.00","","CPRD_GOLD"
"61130","Other specified umbilical sepsis","Q404y00","","CPRD_GOLD"
"71848","Septic myocarditis NOS","G52y600","","CPRD_GOLD"
"72106","[X]Other specified septicaemia","Ayu3H00","","CPRD_GOLD"
"72876","Other gram negative septicaemia NOS","A384z00","","CPRD_GOLD"
"72881","[X]Septicaemia due to other gram-negative organisms","Ayu3G00","","CPRD_GOLD"
"93976","[X]Other bacterial sepsis of newborn","Qyu4200","","CPRD_GOLD"
"95112","Neonatal monilial septicaemia","Q407511","","CPRD_GOLD"
"98366","[X]Sepsis of newborn due to other+unspecified streptococci","Qyu4800","","CPRD_GOLD"
