"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"A021","Salmonella sepsis","A02.1","","ICD10"
"A207","Septicaemic plague","A20.7","","ICD10"
"A227","Anthrax sepsis","A22.7","","ICD10"
"A267","Erysipelothrix sepsis","A26.7","","ICD10"
"A327","Listerial sepsis","A32.7","","ICD10"
"A40","Streptococcal sepsis","A40","","ICD10"
"A400","Sepsis due to streptococcus, group A","A40.0","","ICD10"
"A401","Sepsis due to streptococcus, group B","A40.1","","ICD10"
"A402","Sepsis due to streptococcus, group D","A40.2","","ICD10"
"A403","Sepsis due to Streptococcus pneumoniae","A40.3","","ICD10"
"A408","Other streptococcal sepsis","A40.8","","ICD10"
"A409","Streptococcal sepsis, unspecified","A40.9","","ICD10"
"A41","Other sepsis","A41","","ICD10"
"A410","Sepsis due to Staphylococcus aureus","A41.0","","ICD10"
"A411","Sepsis due to other specified staphylococcus","A41.1","","ICD10"
"A412","Sepsis due to unspecified staphylococcus","A41.2","","ICD10"
"A413","Sepsis due to Haemophilus influenzae","A41.3","","ICD10"
"A414","Sepsis due to anaerobes","A41.4","","ICD10"
"A415","Sepsis due to other Gram-negative organisms","A41.5","","ICD10"
"A418","Other specified sepsis","A41.8","","ICD10"
"A419","Sepsis, unspecified","A41.9","","ICD10"
"A427","Actinomycotic sepsis","A42.7","","ICD10"
"B377","Candidal sepsis","B37.7","","ICD10"
"P36","Bacterial sepsis of newborn","P36","","ICD10"
"P360","Sepsis of newborn due to streptococcus, group B","P36.0","","ICD10"
"P361","Sepsis of newborn due to other and unspecified streptococci","P36.1","","ICD10"
"P362","Sepsis of newborn due to Staphylococcus aureus","P36.2","","ICD10"
"P363","Sepsis of newborn due to other and unspecified staphylococci","P36.3","","ICD10"
"P364","Sepsis of newborn due to Escherichia coli","P36.4","","ICD10"
"P365","Sepsis of newborn due to anaerobes","P36.5","","ICD10"
"P368","Other bacterial sepsis of newborn","P36.8","","ICD10"
"P369","Bacterial sepsis of newborn, unspecified","P36.9","","ICD10"
"R572","Septic shock","R57.2","","ICD10"
"R650","Systemic Inflammatory Response Syndrome of infectious origin without organ failure","R65.0","","ICD10"
"R651","Systemic Inflammatory Response Syndrome of infectious origin with organ failure","R65.1","","ICD10"
