"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"E85","Ventilation support","E85","","HES-OPCSv4.9"
"E851","Invasive ventilation","E85.1","","HES-OPCSv4.9"
"E852","Non-invasive ventilation NEC","E85.2","","HES-OPCSv4.9"
"E853","Improving efficiency of ventilation","E85.3","","HES-OPCSv4.9"
"E854","Bag valve mask ventilation","E85.4","","HES-OPCSv4.9"
"E855","Nebuliser ventilation","E85.5","","HES-OPCSv4.9"
"E856","Continuous positive airway pressure","E85.6","","HES-OPCSv4.9"
"E858","Other specified ventilation support","E85.8","","HES-OPCSv4.9"
"E859","Unspecified ventilation support","E85.9","","HES-OPCSv4.9"
"X56","Intubation of trachea","X56","","HES-OPCSv4.9"
"X561","Nasotracheal intubation","X56.1","","HES-OPCSv4.9"
"X562","Endotracheal intubation","X56.2","","HES-OPCSv4.9"
"X563","Tracheal intubation using laryngeal mask airway","X56.3","","HES-OPCSv4.9"
"X568","Other specified intubation of trachea","X56.8","","HES-OPCSv4.9"
"X569","Unspecified intubation of trachea","X56.9","","HES-OPCSv4.9"
"Y733","Ventilatory support","Y73.3","","HES-OPCSv4.9"
"Y802","Inhalation anaesthetic using endotracheal intubation NEC","Y80.2","","HES-OPCSv4.9"
