"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1452014","Delusion of persecution","1BH0.00","216004","CPRD_AURUM"
"4569010","Delusion","1BH..11","2073000","CPRD_AURUM"
"10122017","Brief reactive psychosis","E13y100","5464005","CPRD_AURUM"
"44335019","Paraphrenia","E122.00","26472000","CPRD_AURUM"
"52897013","Chronic paranoid schizophrenia","E103200","31658008","CPRD_AURUM"
"71539017","Subchronic catatonic schizophrenia","E102100","42868002","CPRD_AURUM"
"105029017","Paranoid schizophrenia in remission","E103500","63181006","CPRD_AURUM"
"107878010","Paranoid schizophrenia","E103.00","64905009","CPRD_AURUM"
"114616017","Chronic catatonic schizophrenia","E102200","68995007","CPRD_AURUM"
"132503015","Subchronic paranoid schizophrenia","E103100","79866005","CPRD_AURUM"
"294725013","Schizophrenic disorders","E10..00","191526005","CPRD_AURUM"
"294726014","Schizophrenia simplex","E100.11","191527001","CPRD_AURUM"
"294727017","Simple schizophrenia","E100.00","191527001","CPRD_AURUM"
"294742019","Catatonic schizophrenia","E102.00","191542003","CPRD_AURUM"
"294750011","Acute exacerbation of subchronic catatonic schizophrenia","E102300","191547009","CPRD_AURUM"
"294751010","Acute exacerbation of chronic catatonic schizophrenia","E102400","191548004","CPRD_AURUM"
"294757014","Acute exacerbation of subchronic paranoid schizophrenia","E103300","191554003","CPRD_AURUM"
"294758016","Acute exacerbation of chronic paranoid schizophrenia","E103400","191555002","CPRD_AURUM"
"294764011","Latent schizophrenia","E105.00","191559008","CPRD_AURUM"
"294767016","Chronic latent schizophrenia","E105200","191562006","CPRD_AURUM"
"294769018","Acute exacerbation of chronic latent schizophrenia","E105400","191564007","CPRD_AURUM"
"294770017","Latent schizophrenia in remission","E105500","191565008","CPRD_AURUM"
"294788013","Cenesthopathic schizophrenia","E10y.11","191577003","CPRD_AURUM"
"294904016","Simple paranoid state","E120.00","191668004","CPRD_AURUM"
"294911017","Paranoia querulans","E12y000","191672000","CPRD_AURUM"
"294919015","Acute hysterical psychosis","E131.00","191677006","CPRD_AURUM"
"294920014","Reactive confusion","E132.00","191678001","CPRD_AURUM"
"294924017","Psychogenic paranoid psychosis","E134.00","191680007","CPRD_AURUM"
"294927012","Psychogenic stupor","E13y000","191683009","CPRD_AURUM"
"369805011","Grandiose delusions","1BH1.00","247667002","CPRD_AURUM"
"401768012","Chronic paranoid psychosis","E121.00","268622001","CPRD_AURUM"
"402504012","Psychotic condition, insight present","285..11","268957000","CPRD_AURUM"
"450785011","Oneirophrenia","E104.11","307504004","CPRD_AURUM"
"480834016","Delusions","1BH..00","2073000","CPRD_AURUM"
"1219653018","Atypical schizophrenia","E10y000","111484002","CPRD_AURUM"
"2549129012","O/E - paranoid delusions","225E.00","416611006","CPRD_AURUM"
